"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Zelkova"
23441	40441	"Mont Roux"	46.46832	6.1616	5	"AWI"	5	-26	932	278	52	0	4	2	1	0	0	0	1	1	0	0	0	0	2	3	0	0	18	91	0	0	5	0	0	34	0	3	0	0	0	1	0	2	0	0	1	91	16	0	0	59	0	0	0	0	4	21	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	10	"AWI"	10	12	1907	603	221	6	56	1	4	0	1	0	8	1	0	0	0	0	0	0	0	0	81	9	0	0	17	1	0	153	0	1	0	0	0	1	0	0	0	0	0	201	0	0	0	24	0	0	0	0	17	6	0	0	1	0	0	0	0	0	0	0	0	3	4	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	15	"AWI"	15	45	2891	928	258	0	23	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	87	21	0	0	1	0	0	51	0	0	0	0	0	0	0	0	0	0	0	208	13	0	0	6	0	0	0	0	25	1	0	0	0	0	0	0	1	0	0	0	0	1	55	0	1	0
23441	40441	"Mont Roux"	46.46832	6.1616	20	"AWI"	20	78	3874	1253	656	3	23	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	42	17	0	0	0	0	0	37	0	7	0	0	0	0	0	2	0	0	0	44	22	0	0	3	0	2	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	7	37	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	25	"AWI"	25	380	4283	1672	405	4	40	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	95	5	0	0	1	0	0	28	0	3	0	0	0	0	0	0	0	0	0	54	16	0	0	6	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0	0	8	149	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	30	"AWI"	30	570	4773	2171	169	1	31	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	122	2	0	0	0	0	0	25	0	6	0	0	0	0	0	0	0	0	0	6	13	0	0	5	0	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	6	171	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	35	"AWI"	35	698	5415	2613	130	7	27	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	196	8	0	0	0	0	0	35	0	7	0	0	0	0	0	0	0	0	0	4	16	0	0	8	0	0	0	0	20	1	0	0	0	0	0	0	2	0	0	0	0	6	234	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	40	"AWI"	40	816	6142	3029	54	2	22	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	158	1	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	0	0	1	10	0	0	9	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	10	153	0	1	0
23441	40441	"Mont Roux"	46.46832	6.1616	45	"AWI"	45	1178	6603	3467	28	6	14	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	120	17	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	1	12	0	0	7	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	16	169	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	50	"AWI"	50	1452	6863	3875	24	3	26	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	184	10	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	4	18	0	0	9	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	21	147	0	0	0
23441	40441	"Mont Roux"	46.46832	6.1616	55	"AWI"	55	1670	7174	4280	30	5	27	0	3	0	0	0	6	1	0	0	0	0	0	0	0	0	203	4	0	0	1	0	0	21	0	10	0	0	0	0	0	1	0	0	0	21	10	0	0	4	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	23	118	0	0	0
