"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26221	45731	"Isbenttjønn"	59.76475	7.433998	1006	"AWI"	1006	2215	2842	2520	0	26	0	0	0	0	130	0	0	0	0	0	0	10	0	31	0	0	0	0	0	1	0	0	3	1	0	0	0	0	1	2	196	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	6
26221	45731	"Isbenttjønn"	59.76475	7.433998	1010	"AWI"	1010	2299	2945	2613	0	25	0	0	1	0	0	0	0	0	0	0	0	3	1	54	0	0	0	0	0	3	0	1	14	0	0	0	0	0	1	3	213	0	0	0	0	0	1	0	14	0	0	0	0	1	4	0	0	2	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	1014	"AWI"	1014	2368	3038	2711	0	24	0	0	0	0	173	0	0	0	0	0	0	6	0	33	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	2	217	3	0	0	0	0	0	0	14	0	0	0	0	1	1	0	0	0	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	1018	"AWI"	1018	2474	3114	2805	0	22	0	0	2	0	179	0	0	0	0	0	0	10	0	44	0	12	0	0	0	2	0	0	5	0	0	0	0	0	2	0	317	0	0	0	0	0	0	0	13	0	0	1	0	1	0	1	1	6	2
26221	45731	"Isbenttjønn"	59.76475	7.433998	1022	"AWI"	1022	2547	3189	2902	0	26	0	0	0	0	181	0	0	0	0	0	0	4	0	31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	177	1	0	0	0	0	0	0	8	0	0	0	0	2	1	0	0	0	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	1026	"AWI"	1026	2692	3244	2992	0	27	1	0	0	0	199	0	0	0	0	0	0	6	0	33	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	2	298	1	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	1	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1030	"AWI"	1030	2796	3325	3092	0	41	0	0	1	0	181	0	0	0	0	0	0	6	0	31	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	15	0	0	0	0	2	0	0	0	5	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1034	"AWI"	1034	2976	3372	3179	0	22	0	0	0	0	129	0	0	0	0	0	0	3	0	21	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	1	0	0	1	2	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1038	"AWI"	1038	3084	3499	3301	0	35	0	0	0	0	164	0	0	0	0	0	0	16	0	35	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	1	1	3
26221	45731	"Isbenttjønn"	59.76475	7.433998	1042	"AWI"	1042	3160	3941	3464	0	30	0	0	0	0	160	0	0	0	0	0	0	12	0	31	0	0	0	0	1	4	0	0	4	0	0	0	0	0	0	0	314	1	0	0	0	1	0	1	14	0	0	0	0	1	1	0	0	2	4
