"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
11582	17344	"Diheen"	52.369384	-8.170892	2	"AWI"	2	-20	-6	-10	0	38	0	2	1	2	0	11	0	4	0	0	1	0	109	14	0	0	0	4	0	0	0	1	0	1	0	0	26	11	0	0	23	3	0	3	0	1	0	0	0	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	5	"AWI"	5	1	7	4	1	32	0	2	0	1	0	17	0	4	0	0	0	0	116	4	0	0	1	4	0	0	0	0	0	1	0	1	29.5	13	0	0	15	1	0	11	0	1	0	0	3	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	10	"AWI"	10	48	56	54	0	22	1	0	0	1	0	7	0	0	0	0	0	0	103	5	0	0	0	4	0	0	1	0	0	0	0	0	15.5	16	163	0	16	2	0	9	0	0	0	0	1	0	0	6	0
11582	17344	"Diheen"	52.369384	-8.170892	15	"AWI"	15	131	138	135	0	39	1	3	0	1	0	13	4	4	0	0	0	0	141	10	0	0	2	1	0	0	1	0	0	1	0	0	3	12	202	0	24	2	12	8	0	0	0	0	1	0	0	6	0
11582	17344	"Diheen"	52.369384	-8.170892	18	"AWI"	18	137	177	146	0	26	0	3	1	0	0	7	0	2	0	0	0	0	121	20	0	0	0	3	0	0	0	0	0	1	0	0	7	19	163	0	24	3	0	6	0	0	0	0	1	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	22	"AWI"	22	144	201	163	0	24	0	0	0	1	0	6	0	3	0	0	0	1	120	18	0	0	0	4	0	0	0	0	0	1	0	0	15.5	18	0	0	10	1	5	3	0	0	0	0	1	0	1	3	0
11582	17344	"Diheen"	52.369384	-8.170892	27	"AWI"	27	156	231	185	0	35	1	1	0	0	0	11	0	6	0	0	1	0	133	7	0	0	0	5	0	0	0	0	0	2	0	0	5.5	15	0	0	12	2	0	9	0	0	0	0	1	1	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	32	"AWI"	32	170	259	206	0	38	1	0	0	1	7	9	0	2	0	0	0	0	115	7	0	0	0	2	0	0	0	0	0	1	0	0	3	12	0	0	22	1	0	7	0	1	0	0	0	0	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	35	"AWI"	35	180	274	219	0	23	1	4	0	0	0	7	0	4	1	2	0	0	83	15	0	0	0	3	0	0	0	0	0	0	0	0	3	16	0	0	8	4	12	4	0	1	0	0	2	0	0	2	0
11582	17344	"Diheen"	52.369384	-8.170892	38	"AWI"	38	189	290	232	0	26	0	6	0	1	0	6	0	5	0	0	2	0	90	14	0	0	0	1	0	0	0	0	0	0	0	0	3.5	16	0	0	19	1	19	4	0	2	0	0	1	0	0	1	0
11582	17344	"Diheen"	52.369384	-8.170892	41	"AWI"	41	199	305	244	0	30	0	7	0	1	0	11	0	4	0	0	0	0	124	10	0	0	0	2	1	0	0	1	0	1	0	0	3.5	0	0	0	19	3	0	8	0	1	0	0	3	0	0	2	0
11582	17344	"Diheen"	52.369384	-8.170892	44	"AWI"	44	209	319	257	0	19	0	4	0	1	0	14	0	4	0	0	0	0	119	8	0	0	0	3	0	0	0	0	0	2	0	0	4	13	178	0	10	1	18	8	0	1	0	0	2	0	0	5	0
11582	17344	"Diheen"	52.369384	-8.170892	49	"AWI"	49	226	343	278	0	38	0	3	1	3	0	14	0	5	0	0	3	0	128	4	0	0	0	3	0	0	1	0	0	0	0	0	2	8	0	0	11	3	24	11	0	0	0	0	3	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	54	"AWI"	54	244	368	299	0	27	0	7	0	1	0	15	0	4	0	0	1	0	124	7	0	0	0	4	0	0	0	0	0	0	0	0	2	11	0	0	25	1	22	7	0	0	0	1	2	0	0	8	0
11582	17344	"Diheen"	52.369384	-8.170892	57	"AWI"	57	256	382	312	0	29	0	3	2	1	0	15	0	2	0	0	0	0	131	10	0	0	0	4	0	0	1	0	0	1	0	0	2	0	0	0	12	5	0	12	0	1	0	0	0	0	0	0	0
11582	17344	"Diheen"	52.369384	-8.170892	60	"AWI"	60	267	395	324	0	23	0	2	0	1	0	9	0	4	0	0	0	0	127	5	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	13	2	0	8	0	0	0	0	1	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	63	"AWI"	63	278	409	337	0	30	0	1	1	0	0	16	0	7	0	0	0	0	120	3	0	0	1	3	0	0	0	0	0	1	0	0	4.5	16	0	1	13	4	27	7	0	3	0	0	1	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	66	"AWI"	66	290	422	350	0	34	0	4	0	0	0	10	0	3	0	0	0	0	123	10	0	0	0	6	0	0	1	0	0	1	0	0	2	12	231	0	19	0	20	15	0	1	0	0	0	0	0	8	0
11582	17344	"Diheen"	52.369384	-8.170892	71	"AWI"	71	309	444	371	0	27	0	2	0	0	0	9	0	3	0	0	0	0	112	9	0	0	0	3	0	0	1	0	3	0	0	0	1.5	5	207	0	15	2	16	7	0	1	0	0	0	0	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	76	"AWI"	76	330	469	392	0	29	0	4	0	1	0	16	0	7	0	0	0	0	113	13	0	0	0	4	0	0	0	0	0	2	0	0	2	12	0	0	8	0	26	14	0	2	0	0	0	0	0	5	0
11582	17344	"Diheen"	52.369384	-8.170892	79	"AWI"	79	342	481	405	0	35	0	7	3	0	0	8	0	4	0	0	0	0	108	12	0	0	0	5	0	0	1	0	0	0	0	0	1	11	0	0	12	3	11	12	0	2	0	0	0	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	82	"AWI"	82	355	496	417	0	29	1	1	0	1	0	8	0	6	0	0	1	0	113	10	0	0	0	5	0	0	1	0	0	1	0	0	2.5	13	0	0	21	1	0	9	0	0	0	0	0	0	0	2	0
11582	17344	"Diheen"	52.369384	-8.170892	85	"AWI"	85	368	511	430	0	43	0	2	0	0	0	8	0	8	0	0	0	0	108	16	0	0	0	3	0	0	0	0	0	0	0	0	1.5	0	263	1	20	6	0	11	0	0	0	0	0	0	0	3	1
11582	17344	"Diheen"	52.369384	-8.170892	88	"AWI"	88	380	524	442	0	25	1	2	0	4	0	9	0	5	0	0	1	0	104	14	0	0	0	2	0	0	0	0	0	2	0	0	1.5	14	0	0	13	2	18	14	0	1	0	0	3	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	93	"AWI"	93	401	546	463	0	35	0	8	0	2	0	11	0	3	0	0	0	0	136	10	0	0	0	3	0	0	0	0	0	1	0	0	1.5	12	0	0	13	3	16	8	0	3	0	0	1	0	0	2	0
11582	17344	"Diheen"	52.369384	-8.170892	98	"AWI"	98	422	571	484	0	26	0	5	0	0	0	10	0	4	0	0	0	0	102	13	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	18	1	10	8	0	2	0	0	0	0	0	6	0
11582	17344	"Diheen"	52.369384	-8.170892	102	"AWI"	102	441	589	499	0	29	0	5	0	0	0	5	0	7	0	0	0	0	107	12	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	15	2	0	13	0	2	0	0	0	0	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	106	"AWI"	106	459	607	516	0	25	0	12	0	0	0	8	0	3	0	0	2	0	85	13	0	0	0	0	0	0	0	0	2	0	0	0	4.5	10	186	0	12	0	9	9	0	1	0	0	1	0	0	2	0
11582	17344	"Diheen"	52.369384	-8.170892	111	"AWI"	111	484	628	537	0	29	1	7	1	1	0	10	0	2	0	0	1	0	101	13	0	0	0	1	0	0	0	0	0	1	0	0	1.5	15	0	0	11	1	0	11	0	2	0	0	0	0	0	0	0
11582	17344	"Diheen"	52.369384	-8.170892	116	"AWI"	116	510	649	557	0	26	0	9	1	1	0	13	0	8	0	0	0	0	102	16	0	0	0	0	0	0	0	0	0	0	2	0	4.5	17	211	0	20	4	17	15	0	1	0	0	0	0	0	8	0
11582	17344	"Diheen"	52.369384	-8.170892	119	"AWI"	119	525	661	568	0	31	0	1	0	0	0	11	0	5	0	0	0	0	80	10	0	0	0	2	0	0	0	0	0	1	0	0	2	7	239	0	20	1	0	15	0	1	0	0	0	0	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	122	"AWI"	122	536	674	580	0	27	0	0	1	1	0	15	0	5	0	0	0	0	87	7	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	13	0	22	7	0	1	0	0	0	0	0	5	0
11582	17344	"Diheen"	52.369384	-8.170892	125	"AWI"	125	546	686	590	0	35	0	4	0	1	0	8	0	4	0	0	1	0	92	28	0	0	0	0	0	0	0	0	0	0	0	0	3.5	10	0	0	25	8	0	8	0	8	0	0	0	0	0	4	2
11582	17344	"Diheen"	52.369384	-8.170892	128	"AWI"	128	555	699	599	0	31	0	4	0	1	0	12	0	2	0	0	0	0	104	9	0	0	0	1	0	0	0	0	0	1	0	0	3	9	204	1	11	1	0	5	0	4	0	0	2	0	0	3	0
11582	17344	"Diheen"	52.369384	-8.170892	132	"AWI"	132	567	716	613	0	31	0	3	1	0	0	7	0	4	0	0	1	0	120	8	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	12	0	15	11	0	3	0	0	0	0	0	4	0
11582	17344	"Diheen"	52.369384	-8.170892	134	"AWI"	134	573	725	620	0	26	1	0	0	0	0	3	0	7	0	0	1	0	110	4	0	0	0	3	0	1	0	0	0	1	0	0	1.5	10	0	1	12	0	0	10	0	0	0	0	0	0	0	1	0
11582	17344	"Diheen"	52.369384	-8.170892	138	"AWI"	138	585	742	634	0	32	1	6	0	1	0	12	0	3	0	0	0	0	101	13	0	0	1	3	0	0	0	0	0	1	0	0	1.5	13	0	0	13	5	17	10	0	5	0	1	3	0	0	1	0
11582	17344	"Diheen"	52.369384	-8.170892	142	"AWI"	142	595	759	647	0	24	0	0	0	2	0	11	0	7	0	0	0	0	133	9	0	0	0	1	0	0	0	0	0	0	0	0	1.5	6	0	0	10	1	0	10	14	1	0	0	1	0	0	1	0
