"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14524	22757	"Plešné jezero"	48.775332	13.864648	415	"AWI"	415	15383	16113	15779	0	0	4.1044776119403	1.11940298507463	0	0	13.8059701492537	0	13.8059701492537	1.86567164179104	0	0	0	0	7.08955223880597	1.11940298507463	15.2985074626866	1.11940298507463	0.746268656716418	0	0	0	0	0	0.373134328358209	2.98507462686567	0	0	0	0	0	0	0	0	34.7014925373134	0	0	0	0	0	0	0	0	0	0.373134328358209	0	0	0	0	0	1.11940298507463	0	0	0.373134328358209	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	424	"AWI"	424	15524	16408	15957	0	0	0	2.34604105571848	0	0	7.91788856304985	0	22.8739002932551	1.17302052785924	0	0	0	0	2.93255131964809	5.86510263929619	10.8504398826979	0	0	0	0	0	0	0.293255131964809	0	1.46627565982405	0	0	0	0	0	0	0	0	40.7624633431085	0	0	0	0	0	0	0.586510263929619	0	0	0	0	0	0	0	0	1.17302052785924	0	0	1.46627565982405	0.293255131964809	0
14524	22757	"Plešné jezero"	48.775332	13.864648	445	"AWI"	445	15806	16900	16338	0	0	1.30718954248366	0.871459694989107	0	0	15.0326797385621	0	20.479302832244	0	0	0	0	0	3.26797385620915	3.26797385620915	5.22875816993464	0.217864923747277	0	0	0	0	0	0	0	1.52505446623094	0	0	0	0	0	0	0	0	44.880174291939	0	0	0	0	0	0	0	0	0	0.871459694989107	0	0	0	0	0	2.39651416122004	0	0.217864923747277	0.435729847494553	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	454	"AWI"	454	15989	16985	16510	0	0	0	1.47058823529412	0	0	8.52941176470588	0	17.9411764705882	0.588235294117647	0	0	0	0	4.11764705882353	0.882352941176471	13.5294117647059	0	0	0	0	0	0	0	0	2.94117647058824	0	0	0	0	0	0	0	0	47.6470588235294	0	0	0	0	0	0	0	0	0	0.294117647058824	0	0	0	0	0	1.76470588235294	0	0	0.294117647058824	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	463	"AWI"	463	16094	17164	16677	0	0	0	3.57142857142857	0	0	19.047619047619	0	13.6904761904762	0	0	0	0	0	2.38095238095238	1.78571428571429	23.2142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.952380952381	0	0	0	0	0	0	0	0	0	0	0	2.97619047619048	0	0	0	2.38095238095238	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	472	"AWI"	472	16361	17251	16832	0	0	0.943396226415094	3.77358490566038	0	0	30.6603773584906	0	34.4339622641509	0.471698113207547	0	0	0	0	5.18867924528302	0.943396226415094	14.622641509434	0	0	0	0	0	0	0	0	3.77358490566038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71698113207547	0	0	0.471698113207547	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	480	"AWI"	480	16503	17390	16981	0	0	0	3.33333333333333	0	0	33.9393939393939	0	12.1212121212121	2.12121212121212	0	0	0	0	6.96969696969697	0	6.06060606060606	0	0.909090909090909	0	0	0	0	0	0	1.21212121212121	0	0	0	0	0	0	0	0	28.4848484848485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84848484848485	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	481	"AWI"	481	16510	17413	17001	0	0	0	10.1694915254237	0	0	48.3050847457627	0	11.864406779661	2.54237288135593	0	0	0	0	7.6271186440678	2.54237288135593	7.6271186440678	0.847457627118644	0	0	0	0	0	0	0	3.38983050847458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69491525423729	0	0	0	0	0.847457627118644	2.54237288135593	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	499	"AWI"	499	16892	17882	17337	0	0	0	3.07262569832402	0	0	22.2067039106145	0	17.0391061452514	0.558659217877095	0.139664804469274	0	0	0	6.28491620111732	0	2.93296089385475	0	0.418994413407821	0	0	0	0	0	0	1.95530726256983	0	0	0	0	0	0	0	0	43.0167597765363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23463687150838	0	0	0.139664804469274	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	508	"AWI"	508	17041	18193	17517	0	0	0	4.79452054794521	0	0	19.8630136986301	0	11.6438356164384	0.91324200913242	0	0	0	0	6.39269406392694	0	2.96803652968037	0	0	0	0	0	0	0	0	1.59817351598174	0	0	0	0.228310502283105	0	0	0	0	49.0867579908676	0	0	0	0	0	0	0	0	0	0.45662100456621	0	0	0	0	0.228310502283105	1.82648401826484	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	517	"AWI"	517	17119	18676	17692	0	0	0	2.50783699059561	0	0	21.9435736677116	0	15.0470219435737	0.626959247648903	0	0	0	0	4.70219435736677	0	4.70219435736677	0	0.626959247648903	0	0	0	0	0	0	2.19435736677116	0	0	0	0	0	0	0	0	42.9467084639498	0	0	0	0	0	0	0	0	0	0.626959247648903	0	0	0	0	0	4.07523510971787	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	526	"AWI"	526	17243	18968	17875	0	0	0	3.29411764705882	0	0	21.1764705882353	0	11.0588235294118	1.17647058823529	0	0	0	0	3.76470588235294	0	10.3529411764706	0	0	0	0	0	0	0.470588235294118	0	2.58823529411765	0	0	0	0	0	0	0	0	43.0588235294118	0	0.235294117647059	0	0	0	0	0	0	0	0.470588235294118	0	0	0	0	0	2.35294117647059	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	535	"AWI"	535	17330	19310	18072	0	0	0	8.08823529411765	0	0	17.6470588235294	0	2.20588235294118	1.47058823529412	0	0	0	0	7.35294117647059	0	19.1176470588235	0	0	0	0	0	0	0	0	2.94117647058824	0	0	0	0	0	0	0	0	38.2352941176471	0	0	0	0	0	0	0	0	0	0.735294117647059	0	0	0	0	0	2.20588235294118	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	544	"AWI"	544	17492	19600	18264	0	0	1.15384615384615	3.84615384615385	0	0	27.6923076923077	0	8.46153846153846	2.30769230769231	0	0	0	0	4.23076923076923	0.384615384615385	11.1538461538462	0	0.769230769230769	0	0	0	0	0	0	2.30769230769231	0	0	0	0	0	0	0	0	30.3846153846154	0	0	0	0	0	0	0	0	0	1.15384615384615	0	0	0	0	0	5.76923076923077	0	0	0.384615384615385	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	556	"AWI"	556	17628	20027	18539	0	0	0	2.25225225225225	0	0	27.027027027027	0	0	1.35135135135135	0	0	0	0	7.20720720720721	1.35135135135135	25.2252252252252	0	0	0	0	0	0	0	0	2.25225225225225	0	0	0.45045045045045	0	0	0	0	0	26.1261261261261	0	0	0	0	0	0	0	0	0	0.45045045045045	0	0	0	0	0	5.85585585585586	0	0	0	0.45045045045045	0
