"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3192	4148	"Khimaditis III"	40.6125	21.58611	100	"AWI"	100	-145	25	-57	2	0	7	0	0	0	0	0	0	0	3	0	0	0	0	3	0	2	1	0	0	7	19	0	0	0	0	19	0	0	0	0	1	14	0	0	0	0	0	0	4	0	29	0	2	0	29	0	0	7	178	0	0	103	5	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
3192	4148	"Khimaditis III"	40.6125	21.58611	110	"AWI"	110	-68	629	124	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	12	0	2	0	0	30	4	0	0	0	2	13	5	0	0	0	0	0	7	0	28	0	0	0	47	1	0	6	0	0	0	115	4	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0
3192	4148	"Khimaditis III"	40.6125	21.58611	125	"AWI"	125	109	1140	466	3	1	30	0	0	5	1	25	0	0	1	0	0	0	0	4	0	1	0	1	0	13	23	0	1	0	0	44	6	0	0	3	4	11	0	0	0	0	0	0	2	1	59	0	4	0	74	1	0	4	0	0	0	243	4	0	0	1	0	8	0	0	1	0	0	0	1	1	6	0	2
3192	4148	"Khimaditis III"	40.6125	21.58611	135	"AWI"	135	244	1427	690	4	0	27	0	0	2	0	16	0	0	0	0	0	0	0	5	0	0	2	0	0	5	33	0	0	0	0	47	0	0	0	3	6	18	0	0	0	0	1	0	0	5	70	0	1	0	65	1	0	4	0	0	0	343	3	0	0	4	0	2	0	1	0	1	0	0	1	1	2	0	3
3192	4148	"Khimaditis III"	40.6125	21.58611	150	"AWI"	150	458	1892	1025	5	0	18	0	0	0	0	0	0	0	3	0	0	1	0	5	0	1	2	0	0	23	22	0	1	0	0	65	0	0	1	0	2	2	0	0	0	0	0	0	1	0	78	0	4	0	58	1	0	3	0	0	0	316	3	0	0	7	0	0	0	0	0	0	0	1	1	4	0	0	3
3192	4148	"Khimaditis III"	40.6125	21.58611	160	"AWI"	160	629	2184	1271	7	0	34	0	0	0	0	11	0	0	2	0	0	0	0	2	0	2	1	0	0	15	9	0	2	1	0	62	14	0	0	1	3	3	0	0	0	1	1	0	1	1	76	0	1	0	115	1	0	5	0	0	0	469	0	0	0	1	0	3	0	1	0	0	0	0	0	2	0	0	2
3192	4148	"Khimaditis III"	40.6125	21.58611	170	"AWI"	170	829	2528	1496	12	0	34	0	0	0	0	15	0	0	2	0	0	0	0	1	0	1	0	0	0	8	10	0	0	0	0	53	8	0	0	0	4	2	0	0	0	1	1	0	0	1	77	0	1	0	101	0	0	1	0	0	0	460	1	0	0	3	0	5	1	0	0	0	0	0	0	2	2	0	1
3192	4148	"Khimaditis III"	40.6125	21.58611	180	"AWI"	180	1023	2839	1725	16	1	29	7	0	0	0	14	0	0	2	0	0	0	0	6	0	0	0	0	0	15	14	0	1	1	0	64	0	0	0	2	1	2	0	0	0	0	2	0	0	0	96	0	0	0	112	0	0	4	0	0	0	504	3	0	0	4	0	6	1	2	0	0	0	0	0	4	2	0	0
3192	4148	"Khimaditis III"	40.6125	21.58611	190	"AWI"	190	1221	3143	1955	8	2	36	0	0	0	0	0	0	0	5	0	0	0	0	1	0	3	0	0	0	12	15	0	0	0	0	44	0	0	0	0	2	6	2	0	0	1	9	0	2	0	115	1	1	0	123	1	0	3	0	0	0	537	0	0	0	3	0	7	2	0	0	0	0	1	0	3	0	1	0
3192	4148	"Khimaditis III"	40.6125	21.58611	200	"AWI"	200	1450	3526	2197	10	1	35	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	1	1	0	16	23	0	2	0	0	46	18	0	0	0	2	3	0	0	0	0	3	0	1	0	124	0	3	0	76	3	0	6	0	0	1	461	3	0	0	4	0	9	0	1	3	0	0	2	0	3	1	0	1
3192	4148	"Khimaditis III"	40.6125	21.58611	210	"AWI"	210	1657	3833	2404	12	0	44	0	0	0	0	17	0	0	6	2	0	0	0	1	0	0	2	0	0	20	15	0	2	0	0	56	8	0	0	0	0	8	0	1	0	1	6	1	0	0	105	1	2	0	92	2	0	6	0	0	0	508	1	0	0	2	0	6	1	1	1	0	0	1	3	2	2	0	2
3192	4148	"Khimaditis III"	40.6125	21.58611	225	"AWI"	225	2067	4327	2731	18	1	40	0	0	0	0	11	0	0	2	0	0	0	0	6	0	0	0	0	0	14	16	0	1	0	0	70	20	0	0	1	5	4	0	0	0	0	2	0	0	0	112	0	0	0	129	3	0	2	0	0	0	669	4	0	0	1	0	8	0	1	1	0	0	0	1	10	1	0	1
3192	4148	"Khimaditis III"	40.6125	21.58611	235	"AWI"	235	2344	4670	2948	13	0	50	7	0	0	0	13	0	0	9	0	0	0	0	0	0	1	0	0	0	22	13	0	2	0	0	94	12	1	0	2	2	4	0	0	0	0	2	0	1	4	163	0	1	0	139	2	0	4	0	0	0	830	5	0	0	2	0	5	0	1	0	0	0	0	1	10	4	0	1
3192	4148	"Khimaditis III"	40.6125	21.58611	250	"AWI"	250	2768	5182	3264	2	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	8	7	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	3	0	0	0	63	0	2	0	22	0	0	4	0	0	0	327	2	0	0	1	0	7	0	1	2	0	0	0	0	1	0	0	5
