"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16138	24937	"Lac de Clairvaux"	46.565	5.74917	20	"AWI"	20	-35	581	179	2	1	31	1	0	0	1	0	19	0	1	3	0	1	0	0	0	0	93	1	0	0	0	25	0	5	0	0	1	0	0	0	0	27	0	7	0	0	0	0	0	0	54	2	0	0	1	6	1	0	0	0	1	2	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	25	"AWI"	25	-26	733	234	13	0	57	0	1	0	2	0	13	0	0	0	0	0	0	0	0	0	103	4	0	0	0	72	0	7	0	0	1	2	2	0	0	17	3	18	0	0	0	0	0	0	84	1	0	0	0	0	2	0	0	0	0	5	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	30	"AWI"	30	-19	886	286	13	1	36	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	91	3	1	0	0	81	0	5	0	0	1	3	1	0	0	23	3	9	0	5	0	0	0	0	87	1	0	0	0	0	3	0	0	0	0	2	0	0	1
16138	24937	"Lac de Clairvaux"	46.565	5.74917	35	"AWI"	35	-12	1037	339	2	0	60	1	0	0	1	0	5	0	0	4	0	0	0	0	0	0	106	8	1	0	0	84	0	7	0	0	1	1	2	0	0	5	0	6	0	0	0	0	0	0	101	1	0	0	0	4	2	0	0	0	0	1	0	1	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	40	"AWI"	40	36	1115	400	27	0	33	0	0	0	4	0	3	0	0	2	0	2	0	0	0	0	110	1	3	0	0	61	0	2	0	0	0	0	0	1	0	9	3	10	0	0	0	0	1	0	98	2	0	0	0	4	3	0	0	0	0	3	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	45	"AWI"	45	81	1152	469	1	0	42	2	0	0	4	0	3	0	1	3	0	0	0	0	0	0	124	6	0	0	0	55	0	7	0	0	0	0	0	0	0	5	3	9	0	5	0	0	0	0	97	5	1	0	0	0	1	0	0	0	0	2	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	50	"AWI"	50	113	1195	537	5	0	40	1	0	0	3	0	3	0	1	10	0	0	0	0	0	0	103	6	0	0	0	54	0	6	0	0	1	2	0	0	0	7	2	4	0	0	16	0	0	0	129	6	0	0	1	8	3	0	1	0	0	2	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	55	"AWI"	55	142	1242	605	14	0	32	2	0	1	1	0	6	0	1	4	0	3	0	0	0	0	95	2	1	0	0	80	0	3	0	0	1	0	2	0	0	7	4	12	0	0	23	0	0	1	166	1	0	0	0	5	1	0	0	0	0	4	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	60	"AWI"	60	164	1295	674	11	0	48	1	0	0	0	0	15	0	0	1	0	1	0	0	0	0	118	2	0	0	0	84	0	1	0	0	1	0	1	0	0	6	4	5	0	0	0	0	0	0	150	0	0	0	0	2	0	0	0	0	0	1	0	0	0
16138	24937	"Lac de Clairvaux"	46.565	5.74917	65	"AWI"	65	187	1366	738	4	0	34	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	103	1	2	0	0	69	0	2	0	0	0	0	0	0	0	4	6	2	0	0	0	0	0	0	194	1	0	0	0	0	2	0	1	0	0	0	0	0	0
