"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15992	24671	"Petit Rocher"	46.66306	-1.91556	3	"AWI"	3	5022	5642	5376	0	1	8	359	3	1	2	0	11	2	0	4	0	0	0	0	6	0	0	0	0	14	0	43	0	1	0	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	235	0	0	0	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	6	"AWI"	6	5091	5707	5446	0	0	3	217	2	1	1	0	12	2	0	1	0	0	0	0	9	0	0	0	0	9	0	6	0	1	0	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	155	1	0	0	0	1	0	1	0	0	1	0	0	0	3	1	1	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	9	"AWI"	9	5137	5795	5509	0	0	12	466	4	0	1	0	0	1	0	1	0	0	0	0	27	0	0	0	0	17	1	35	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	364	9	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1
15992	24671	"Petit Rocher"	46.66306	-1.91556	12	"AWI"	12	5179	5897	5570	0	1	5	151	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	125	2	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	15	"AWI"	15	5206	6011	5629	0	0	6	209	1	1	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	62	5	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	18	"AWI"	18	5255	6066	5672	0	1	8	97	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	26	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	28	2	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	21	"AWI"	21	5305	6088	5713	0	0	18	282	1	1	9	0	17	6	0	3	0	2	0	0	0	0	0	0	0	25	1	38	1	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	84	0	8	0	0	0	0	0	82	3	1	0	0	0	2	0	0	0	0	0	0	0	4	4	3	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	24	"AWI"	24	5343	6107	5749	0	0	5	191	1	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	17	0	20	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	27	"AWI"	27	5372	6144	5785	0	0	20	249	3	0	6	0	0	1	0	8	0	0	0	0	0	0	0	0	0	17	0	21	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	77	2	1	0	0	2	0	1	0	0	0	1	0	1	4	1	3	0	0
15992	24671	"Petit Rocher"	46.66306	-1.91556	30	"AWI"	30	5397	6189	5817	0	0	6	184	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1
