"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15684	24044	"Brentenlohe"	49.78722	12.4625	0	"AWI"	0	-131	31	-44	1	1	14	2	3	0	0	0	71	0	0	0	1	0	1	0	11	81	0	0	0	1	0	11	1	0	0	0	1	1	0	0	0	0	0	3	0	208	295	0	0	0	1	0	21	0	0	0	11	0	0	0	0	0	4	15	0
15684	24044	"Brentenlohe"	49.78722	12.4625	5	"AWI"	5	-63	355	82	1	0	17	1	0	0	2	0	61	0	0	0	1	0	0	0	8	109	0	0	0	0	0	9	0	3	0	1	2	1	0	0	0	0	0	9	0	145	314	0	0	0	0	0	12	0	0	0	2	2	0	0	0	1	1	25	0
15684	24044	"Brentenlohe"	49.78722	12.4625	10	"AWI"	10	-36	754	206	0	0	18	3	1	0	4	0	33	0	0	0	0	0	1	0	4	230	1	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	10	0	88	229	0	0	0	1	0	12	0	0	1	22	5	0	0	0	0	2	16	0
15684	24044	"Brentenlohe"	49.78722	12.4625	15	"AWI"	15	63	895	350	1	0	13	4	2	0	2	0	45	0	3	0	0	0	0	0	2	290	0	0	4	0	0	5	1	1	0	0	1	0	0	0	0	0	0	4	0	82	215	0	0	0	0	0	21	0	0	1	10	4	0	0	0	1	3	12	0
15684	24044	"Brentenlohe"	49.78722	12.4625	20	"AWI"	20	116	1139	497	1	0	11	4	0	0	3	0	42	0	1	0	0	0	1	0	3	197	0	0	3	0	0	5	0	2	0	0	2	0	0	0	0	0	0	3	0	74	202	0	0	0	0	0	22	0	0	2	26	2	0	0	0	0	2	25	0
15684	24044	"Brentenlohe"	49.78722	12.4625	25	"AWI"	25	266	1279	639	1	0	6	3	2	0	3	0	13	0	2	0	1	0	0	0	8	310	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	3	1	31	66	0	0	0	1	0	5	0	0	0	26	0	0	0	0	0	5	8	0
15684	24044	"Brentenlohe"	49.78722	12.4625	30	"AWI"	30	338	1535	784	1	0	5	2	3	0	0	0	23	0	3	0	0	0	0	0	6	607	0	0	4	0	0	6	0	3	0	0	1	0	0	0	0	0	0	1	0	63	125	0	0	0	0	0	11	0	0	0	26	1	0	0	0	0	2	12	0
15684	24044	"Brentenlohe"	49.78722	12.4625	35	"AWI"	35	630	1791	991	9	0	35	2	3	0	3	0	52	0	5	1	0	0	2	0	43	400	0	0	7	0	0	6	0	2	0	0	3	0	0	0	0	0	0	2	0	68	131	0	0	0	0	0	12	0	0	1	46	3	0	0	0	5	5	9	0
15684	24044	"Brentenlohe"	49.78722	12.4625	40	"AWI"	40	739	2156	1195	16	2	95	2	1	0	2	0	205	1	6	1	3	0	0	0	282	253	0	0	28	1	0	43	2	20	0	0	9	0	0	0	0	0	0	4	0	141	166	0	0	0	1	0	54	0	0	0	22	3	0	0	0	50	49	4	0
15684	24044	"Brentenlohe"	49.78722	12.4625	45	"AWI"	45	1090	3071	1902	19	1	76	0	1	0	4	0	239	0	0	1	0	0	1	0	317	65	0	0	16	0	0	20	1	17	0	0	10	1	0	0	0	0	0	2	0	116	86	0	0	0	1	2	51	0	0	0	3	4	0	0	0	47	46	3	0
