"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	0	"AWI"	0	-108	77	-34	0	1	13	6	0	0	2	3	28	0	0	0	1	8	137	61	21	2	0	0	0	0	0	12	142	78	6	80	0	0	0	14	0	0	0	1	4	0	0	0	0	2	0	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	5	"AWI"	5	-36	246	100	0	0	5	8	2	0	2	2	22	0	0	0	0	5	532	0	21	0	0	0	0	0	0	5	170	69	0	93	2	0	0	8	2	0	0	0	14	0	0	0	0	0	0	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	8	"AWI"	8	-18	385	179	1	2	5	2	0	0	2	3	26	2	0	0	0	10	714	36	37	1	0	1	0	0	0	3	145	65	0	74	0	0	0	30	0	0	0	0	5	2	0	0	0	0	1	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	10	"AWI"	10	-7	481	230	1	0	16	1	0	0	1	4	30	1	0	0	0	12	302	0	39	0	0	1	0	0	0	3	98	57	0	61	0	0	0	54	1	0	0	1	12	2	0	0	0	0	0	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	12	"AWI"	12	4	583	283	1	1	15	0	0	0	0	2	31	2	0	0	0	15	99	0	52	0	0	1	0	0	1	6	99	51	0	45	2	0	0	48	0	0	0	0	6	3	0	0	1	1	1	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	15	"AWI"	15	18	735	360	1	0	11	2	0	0	3	2	33	1	0	0	0	18	213	0	44	1	0	2	0	0	0	5	110	36	7	66	0	0	0	56	0	0	0	0	12	1	0	0	0	1	0	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	18	"AWI"	18	157	753	436	0	1	9	0	1	0	4	0	73	3	0	0	0	29	103	0	37	2	0	0	0	0	0	9	111	59	3	41	2	0	0	49	0	0	0	0	9	0	0	0	0	1	2	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	20	"AWI"	20	246	767	486	1	1	26	2	0	0	1	0	84	2	0	0	0	31	367	0	50	0	0	1	0	0	0	13	38	48	12	43	2	0	0	50	0	0	0	0	7	3	0	0	0	1	1	6
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	21	"AWI"	21	288	775	512	1	1	32	1	1	0	4	0	65	1	0	0	0	33	282	0	61	0	0	0	0	0	0	14	46	43	0	49	0	0	0	36	1	0	0	0	3	0	0	0	0	1	4	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	22	"AWI"	22	329	782	537	1	0	17	0	2	0	0	2	97	1	0	0	0	24	211	0	41	0	0	0	0	0	0	5	89	28	0	57	0	0	0	38	0	0	0	0	5	2	0	0	0	0	3	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	25	"AWI"	25	439	811	615	5	1	12	4	2	0	0	6	79	4	0	0	0	29	142	132	50	1	0	1	0	0	0	10	84	30	0	87	0	0	0	23	0	0	0	0	14	2	0	0	0	1	1	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	28	"AWI"	28	527	857	697	1	0	24	3	2	0	4	5	117	1	0	0	0	51	296	181	40	1	0	0	0	0	1	15	44	19	12	133	0	0	0	40	0	0	0	0	18	5	0	0	0	3	3	6
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	30	"AWI"	30	572	902	752	3	0	31	0	4	0	2	0	61	0	0	0	0	53	103	161	51	2	0	0	0	0	0	13	53	61	7	60	2	0	0	23	1	0	0	0	10	6	0	0	0	0	4	4
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	32	"AWI"	32	614	909	767	1	1	23	3	2	0	3	0	69	0	0	1	0	44	81	129	73	0	0	0	0	0	0	11	13	54	0	71	0	0	0	50	0	0	0	0	8	4	0	0	0	2	4	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	35	"AWI"	35	669	921	792	1	0	23	0	1	1	3	2	61	0	0	0	0	28	23	0	83	2	0	0	0	0	0	21	24	49	0	43	0	0	0	31	0	0	0	0	2	4	0	0	0	1	1	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	38	"AWI"	38	701	938	818	1	0	33	0	2	0	2	3	55	0	0	0	0	39	45	0	89	1	0	0	0	0	0	18	17	38	4	27	0	0	0	39	0	0	0	0	6	5	0	0	0	3	4	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	40	"AWI"	40	718	952	837	2	1	10	3	0	0	1	0	24	0	1	0	0	17	55	0	58	1	0	0	0	0	0	8	46	38	0	25	0	0	0	15	0	0	0	1	5	1	0	0	0	1	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	42	"AWI"	42	735	972	856	2	2	20	0	0	0	3	2	29	0	0	0	0	22	125	52	78	0	0	0	0	0	0	8	74	48	3	26	0	0	0	35	0	0	0	0	3	2	0	0	0	1	1	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	45	"AWI"	45	750	1015	883	1	3	9	0	0	0	1	0	23	0	0	0	0	15	16	0	135	4	0	0	0	0	0	18	49	26	0	37	0	0	0	25	0	0	0	0	4	3	0	0	0	1	4	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	48	"AWI"	48	776	1026	901	0	1	7	1	0	0	1	0	44	0	0	0	0	22	26	96	115	1	0	0	0	0	0	14	33	56	13	21	0	0	0	38	0	0	0	0	7	2	0	0	0	1	6	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	50	"AWI"	50	790	1034	913	1	1	25	0	0	0	1	0	49	0	0	0	0	28	7	138	108	3	0	0	0	0	0	15	43	29	0	20	0	0	0	29	0	0	0	1	8	2	0	0	0	1	5	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	52	"AWI"	52	801	1043	924	2	1	15	0	0	0	4	0	63	0	0	0	0	35	17	0	90	2	0	0	0	0	0	13	36	27	0	38	0	0	0	35	0	0	0	0	8	7	1	0	0	3	15	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	55	"AWI"	55	814	1061	941	1	0	9	1	0	0	1	0	46	0	0	0	0	26	7	0	168	2	0	0	0	0	0	14	34	16	0	32	0	0	0	30	0	0	0	0	1	2	0	0	0	1	5	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	60	"AWI"	60	829	1105	967	2	1	36	0	0	0	3	0	31	1	0	0	0	22	10	42	94	1	0	0	0	0	0	25	65	36	0	26	0	0	0	20	0	0	0	0	3	0	0	0	0	0	0	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	65	"AWI"	65	876	1123	991	0	2	23	1	0	0	2	0	54	0	0	0	0	17	13	0	88	2	0	0	1	0	1	22	34	32	0	32	0	0	0	34	0	0	0	0	3	5	0	0	0	1	3	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	70	"AWI"	70	907	1144	1018	1	2	23	0	0	0	0	0	16	0	0	0	0	10	6	26	100	4	0	0	0	0	0	15	57	51	0	12	0	0	0	28	0	0	0	0	4	0	0	0	0	1	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	75	"AWI"	75	929	1176	1046	2	1	44	0	0	0	1	0	19	0	0	0	0	22	35	42	92	3	0	0	0	0	0	21	37	48	0	17	0	0	0	22	0	0	0	0	3	1	0	0	0	4	9	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	80	"AWI"	80	965	1197	1072	1	1	43	0	0	0	0	0	21	0	0	0	0	22	13	35	106	2	0	0	0	0	2	29	30	42	0	12	0	0	0	17	0	0	0	0	1	0	0	0	0	3	8	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	85	"AWI"	85	988	1223	1098	2	1	39	1	0	0	1	0	18	0	0	0	0	21	11	9	134	0	0	0	0	0	0	30	24	41	0	11	0	0	0	22	0	0	0	0	0	0	0	0	0	2	5	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	90	"AWI"	90	1005	1259	1125	2	1	55	0	0	0	1	0	30	0	0	0	0	23	93	0	87	3	0	0	0	0	0	45	15	44	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0	1	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	95	"AWI"	95	1037	1291	1161	4	3	35	0	1	0	2	0	30	0	0	0	0	26	10	44	113	4	0	0	0	0	0	45	22	24	0	9	0	0	0	24	0	0	0	0	0	0	0	0	1	0	3	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	100	"AWI"	100	1058	1336	1195	3	1	48	0	0	0	1	0	15	0	0	0	0	19	9	103	104	3	0	0	0	0	0	43	32	30	0	12	0	0	0	23	0	0	0	0	1	0	0	0	0	2	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	105	"AWI"	105	1074	1406	1230	1	2	66	0	0	0	4	0	26	0	0	0	0	24	69	24	97	2	0	0	0	0	38	35	8	24	0	6	0	0	0	30	0	0	0	0	0	0	0	0	0	1	10	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	110	"AWI"	110	1122	1429	1267	0	1	32	0	0	0	3	0	14	0	0	0	0	16	16	0	128	1	0	0	0	0	0	23	28	53	0	8	0	0	0	20	0	0	0	0	0	0	0	0	0	0	6	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	115	"AWI"	115	1152	1459	1306	2	1	38	0	1	0	1	0	16	0	0	0	0	7	9	7	118	1	0	0	0	0	2	35	19	30	0	9	0	0	0	38	0	0	0	0	0	1	0	1	0	1	6	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	120	"AWI"	120	1173	1511	1343	6	0	65	0	0	0	1	0	31	0	0	0	0	14	2	0	126	4	0	0	0	0	0	20	23	32	0	9	0	0	0	17	0	0	0	1	0	1	0	1	0	3	5	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	125	"AWI"	125	1246	1532	1377	1	2	40	2	1	0	0	0	26	0	0	0	0	19	6	0	150	6	0	0	0	0	0	32	9	31	0	0	0	0	0	30	0	0	0	1	0	1	0	0	0	3	6	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	130	"AWI"	130	1294	1567	1415	3	1	68	0	1	1	1	0	20	0	0	0	0	15	11	14	108	4	0	0	0	0	0	37	15	28	0	0	0	0	0	29	0	0	0	0	1	0	0	0	0	3	6	7
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	135	"AWI"	135	1324	1608	1454	1	1	43	1	0	0	3	0	21	0	0	0	0	19	8	0	163	1	0	0	0	0	0	10	12	22	0	0	0	0	0	29	0	0	0	0	0	0	0	0	1	4	1	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	140	"AWI"	140	1371	1652	1506	2	0	64	1	0	0	0	0	23	0	0	0	0	35	44	0	102	1	0	0	0	0	11	14	34	40	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	2	2	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	145	"AWI"	145	1396	1737	1554	3	1	63	1	0	0	0	0	31	1	0	0	0	18	105	4	86	4	0	0	0	0	39	6	43	38	0	0	0	0	0	34	0	0	0	1	1	0	0	0	0	0	2	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	150	"AWI"	150	1413	1839	1601	3	1	48	1	0	0	4	0	32	0	0	0	0	19	40	0	120	4	0	0	0	0	1	12	22	43	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	2	3	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	155	"AWI"	155	1466	1874	1655	4	1	76	1	0	0	1	0	36	0	0	0	0	29	7	0	125	3	0	0	0	0	0	14	22	102	0	0	0	0	0	26	0	0	2	0	1	1	0	0	0	1	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	160	"AWI"	160	1500	1922	1712	4	3	93	1	1	0	1	0	21	0	0	0	0	41	11	5	79	1	0	0	0	0	1	7	26	62	0	0	0	0	0	29	0	0	0	0	3	0	0	1	0	2	2	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	165	"AWI"	165	1525	1990	1764	2	1	60	1	0	0	1	0	49	0	0	0	0	23	11	0	118	3	0	0	0	0	0	7	16	21	0	0	0	0	0	28	0	0	0	1	0	1	0	0	0	3	5	4
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	170	"AWI"	170	1619	2015	1814	1	1	33	1	1	0	5	0	50	0	0	0	0	19	3	0	138	3	1	0	0	0	0	7	34	32	0	0	0	1	0	32	0	0	0	0	3	0	1	0	0	3	1	5
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	175	"AWI"	175	1680	2050	1866	1	2	33	0	0	0	3	0	69	0	0	0	0	16	28	0	122	1	0	0	0	0	0	8	21	16	0	0	0	0	1	22	0	1	0	0	1	1	0	0	0	2	5	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	180	"AWI"	180	1720	2099	1919	5	1	44	0	1	0	1	0	73	0	0	0	0	11	15	0	95	2	0	0	0	0	0	8	26	15	0	22	0	0	0	32	0	2	0	0	0	0	0	0	0	2	8	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	185	"AWI"	185	1758	2140	1959	1	2	95	0	0	0	7	0	39	0	0	0	0	19	10	0	83	4	0	0	0	0	1	5	17	22	0	0	0	0	0	43	0	0	0	0	2	0	0	0	0	3	1	2
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	190	"AWI"	190	1784	2219	1995	0	1	49	2	1	0	2	0	31	0	0	0	0	22	11	0	111	0	0	0	0	0	0	5	25	34	0	0	0	0	0	35	2	0	0	0	1	2	0	0	0	1	8	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	195	"AWI"	195	1804	2317	2029	3	1	58	1	1	0	3	0	45	0	0	0	0	25	14	0	102	5	0	0	0	0	0	7	23	19	6	0	0	0	0	32	0	0	0	0	2	1	0	0	0	1	5	6
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	200	"AWI"	200	1839	2362	2067	1	1	39	0	0	0	3	0	57	0	0	0	0	37	70	0	80	8	0	0	0	0	3	5	46	47	0	0	0	0	0	31	0	0	0	1	8	0	0	0	0	2	6	6
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	205	"AWI"	205	1864	2426	2103	0	2	45	2	2	0	10	0	49	0	0	0	0	36	29	0	164	7	0	0	0	0	2	1	46	53	0	0	0	0	0	41	0	0	0	1	8	1	0	0	1	4	10	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	210	"AWI"	210	1882	2498	2137	2	1	43	1	1	0	4	0	41	0	0	0	0	27	3	0	115	4	0	0	0	0	0	1	12	58	0	0	0	0	0	21	0	0	0	0	3	1	0	0	0	1	4	3
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	215	"AWI"	215	1912	2538	2174	4	1	42	0	0	0	2	0	24	0	0	0	0	36	13	0	64	7	0	0	0	0	7	1	44	93	0	0	0	0	0	18	1	0	0	0	1	1	0	0	0	6	3	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	220	"AWI"	220	1934	2598	2211	0	2	64	0	0	0	0	0	37	0	0	0	0	173	6	0	28	0	0	0	0	2	5	2	38	83	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	33	7	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	225	"AWI"	225	1956	2666	2246	1	1	97	0	0	0	0	0	33	0	0	0	0	85	18	0	22	7	0	0	0	1	53	2	34	71	0	0	0	0	0	18	0	0	0	0	0	1	0	0	1	8	9	1
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	230	"AWI"	230	1989	2711	2284	1	0	80	0	0	1	2	0	39	0	0	0	0	124	2	0	9	0	0	0	0	1	3	1	47	72	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	15	7	0
23962	41653	"Sonnenberger Moor"	51.765098	10.51139	235	"AWI"	235	2010	2756	2321	0	0	69	0	0	0	0	0	14	0	0	1	0	258	1	0	1	0	0	0	0	1	0	0	33	55	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	31	1	0
