"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
26041	45144	"Lake Bled"	46.36667	14.1	8	"AWI"	8	9288	9754	9444	0	3	3	0	0	0	0	0	29	0	0	0	0	0	30	9	0	0	0	0	0	0	0	0	1	0	102	225	0	0	0	0	52	1	0	0	2	22	51	0
26041	45144	"Lake Bled"	46.36667	14.1	16	"AWI"	16	9373	9984	9617	16	2	10	0	0	0	3	0	28	0	1	0	0	0	15	6	0	0	3	0	17	0	1	1	5	7	54	230	1	0	0	1	52	0	3	0	1	18	39	0
26041	45144	"Lake Bled"	46.36667	14.1	24	"AWI"	24	9479	10179	9794	0	1	2	0	0	0	0	0	25	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	3	0	75	296	0	0	0	0	38	1	0	0	2	25	67	0
26041	45144	"Lake Bled"	46.36667	14.1	32	"AWI"	32	9599	10346	9968	19	0	13	1	0	0	6	0	76	0	1	0	0	0	28	8	0	0	1	0	0	0	0	0	7	20	42	196	0	0	0	0	35	0	1	0	1	22	55	0
26041	45144	"Lake Bled"	46.36667	14.1	40	"AWI"	40	9729	10486	10145	0	0	4	1	1	0	2	0	23	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	4	0	71	341	0	0	0	0	38	0	0	0	0	7	31	0
26041	45144	"Lake Bled"	46.36667	14.1	48	"AWI"	48	9944	10576	10321	6	2	5	3	0	0	4	0	47	0	2	0	0	0	11	8	0	1	1	0	0	0	0	2	7	3	14	309	0	0	0	0	45	0	2	0	2	10	27	0
26041	45144	"Lake Bled"	46.36667	14.1	56	"AWI"	56	10258	10660	10473	0	0	1	0	0	0	0	0	21	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	8	0	98	125	0	0	0	0	33	0	0	1	0	2	15	0
26041	45144	"Lake Bled"	46.36667	14.1	64	"AWI"	64	10429	10884	10642	27	2	6	1	2	0	7	0	77	1	0	0	0	0	24	16	0	0	3	0	0	0	0	2	16	11	42	170	0	0	0	0	35	0	1	0	3	7	20	2
26041	45144	"Lake Bled"	46.36667	14.1	104	"AWI"	104	11056	12136	11562	17	1	10	5	2	0	28	0	41	1	2	0	0	0	18	7	0	0	1	0	0	0	0	0	10	19	75	241	0	0	0	0	12	0	2	1	4	3	0	2
26041	45144	"Lake Bled"	46.36667	14.1	112	"AWI"	112	11237	12296	11756	14	0	9	15	3	1	31	0	34	1	0	0	0	0	10	17	0	0	2	0	57	1	0	4	25	10	49	242	1	0	0	1	14	0	0	0	2	1	3	1
26041	45144	"Lake Bled"	46.36667	14.1	120	"AWI"	120	11414	12476	11947	0	0	1	4	0	0	10	0	15	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	11	0	118	321	0	0	0	0	10	0	0	0	0	0	0	0
26041	45144	"Lake Bled"	46.36667	14.1	128	"AWI"	128	11569	12639	12115	13	0	3	10	1	0	19	0	9	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	10	0	82	318	0	0	0	0	13	0	8	0	0	5	0	0
26041	45144	"Lake Bled"	46.36667	14.1	136	"AWI"	136	11719	12815	12279	0	0	5	3	0	0	11	0	16	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	24	0	122	320	0	0	0	0	6	0	0	0	2	1	0	0
26041	45144	"Lake Bled"	46.36667	14.1	144	"AWI"	144	11884	12990	12444	0	0	2	5	3	0	36	0	31	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	7	0	73	306	0	0	0	0	16	0	1	0	0	1	0	0
26041	45144	"Lake Bled"	46.36667	14.1	152	"AWI"	152	12037	13166	12616	0	0	1	5	0	0	12	0	9	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	16	0	105	374	0	0	0	0	7	0	0	0	0	0	0	0
26041	45144	"Lake Bled"	46.36667	14.1	160	"AWI"	160	12180	13329	12782	0	1	2	2	0	0	12	0	33	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	2	0	65	368	0	0	0	0	21	0	0	2	0	5	3	0
26041	45144	"Lake Bled"	46.36667	14.1	168	"AWI"	168	12355	13453	12948	0	0	0	2	0	0	2	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	15	0	106	433	0	0	0	0	19	0	0	1	0	3	8	0
26041	45144	"Lake Bled"	46.36667	14.1	176	"AWI"	176	12568	13569	13118	0	0	0	0	0	0	3	0	5	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	58	402	1	0	0	0	9	0	0	0	0	7	2	0
26041	45144	"Lake Bled"	46.36667	14.1	184	"AWI"	184	12759	13693	13292	0	0	1	1	0	0	4	0	18	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	83	375	0	0	0	0	30	0	0	0	1	4	1	0
