"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3110	4047	"Mobeche Forest"	48.51667	-1	67	"AWI"	67	235	553	414	0	259	1	2	0	0	0	3	1	0	0	5	2	0	0	1	0	0	1	0	1	0	2	0	1	2	54	0	20	0	0	0	3	1	0	0	0	0	1
3110	4047	"Mobeche Forest"	48.51667	-1	70	"AWI"	70	255	570	434	0	371	0	5	5	1	0	2	3	0	1	10	6	0	0	10	0	1	0	0	0	0	3	0	0	8	83	0	32	0	0	0	4	5	1	0	0	0	2
3110	4047	"Mobeche Forest"	48.51667	-1	72	"AWI"	72	278	575	445	0	324	1	2	1	2	0	1	0	0	0	4	3	0	0	6	0	0	0	0	0	0	3	0	0	1	73	0	35	1	0	0	3	4	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	75	"AWI"	75	306	583	464	0	215	0	4	2	0	0	0	0	0	1	7	3	0	0	1	0	0	0	0	0	0	0	0	0	7	58	0	13	0	0	0	4	1	0	0	1	0	1
3110	4047	"Mobeche Forest"	48.51667	-1	77	"AWI"	77	322	590	477	0	120	0	5	0	1	0	4	0	0	0	3	3	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	20	1	0	0	2	2	0	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	80	"AWI"	80	339	604	497	0	132	0	1	2	1	0	3	2	0	0	14	0	0	0	6	0	0	1	0	2	0	0	0	0	4	80	0	24	1	0	0	4	6	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	82	"AWI"	82	350	615	511	0	99	0	1	1	0	0	0	0	0	0	17	4	0	0	0	0	0	0	0	0	0	0	0	1	4	53	0	21	0	0	0	2	2	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	85	"AWI"	85	388	626	526	0	195	0	5	1	1	0	2	0	0	0	30	2	0	0	4	0	0	0	0	2	0	0	0	0	5	62	0	23	0	0	0	5	2	0	0	2	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	87	"AWI"	87	418	630	536	0	170	1	1	1	2	0	2	4	0	1	25	4	0	0	4	3	0	0	0	0	0	1	0	0	1	58	0	33	0	0	0	4	2	0	0	0	0	1
3110	4047	"Mobeche Forest"	48.51667	-1	90	"AWI"	90	459	638	551	0	166	0	7	2	2	8	4	0	0	0	27	2	0	0	3	1	0	0	0	0	0	0	0	0	8	57	0	30	0	0	0	6	7	0	0	2	0	0
