"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Coriariaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Oleaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14457	22628	"Albufera Alcudia"	39.79278	3.11917	255	"AWI"	255	-129	30	-42	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	0	1	6	0	0	13	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	265	"AWI"	265	-107	77	-10	0	0	2	8	1	0	7	0	2	0	0	1	0	0	0	0	1	7	0	1	11	0	0	0	0	1	1	0	0	30	0	1	42	2	16	26	0	4	24	0	0	0	0	2	0	1	0	1	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	275	"AWI"	275	-89	134	19	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	4	0	1	11	0	0	15	5	1	0	0	4	11	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	285	"AWI"	285	-76	204	48	0	0	0	1	1	0	2	0	2	0	0	5	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	23	0	4	66	0	2	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	295	"AWI"	295	-24	222	91	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	0	0	2	0	2	20	0	0	28	5	1	0	0	5	13	0	0	0	0	0	0	0	1	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	305	"AWI"	305	16	234	155	0	0	0	18	4	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	4	0	0	19	0	2	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	315	"AWI"	315	42	254	229	0	0	0	22	5	0	1	0	0	0	0	0	0	0	0	0	0	6	0	6	3	0	0	0	0	0	4	0	9	19	0	0	36	9	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	325	"AWI"	325	104	422	299	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	4	0	0	23	0	3	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	335	"AWI"	335	196	959	576	0	0	0	5	3	0	7	0	0	0	1	0	0	0	0	0	1	7	0	9	4	0	0	0	0	0	7	0	12	50	0	0	29	12	2	0	0	17	53	0	0	0	0	2	0	0	0	0	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	345	"AWI"	345	259	1528	876	0	0	0	3	0	0	11	0	2	0	0	1	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	31	0	0	56	0	3	0	0	7	42	0	0	0	0	4	0	0	0	0	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	365	"AWI"	365	682	2376	1482	0	0	2	9	3	0	10	0	0	0	0	0	0	0	0	0	1	2	0	0	8	0	0	0	0	0	0	0	0	52	0	0	104	3	6	0	0	14	22	0	0	0	0	3	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	375	"AWI"	375	1244	2437	1801	0	0	0	7	0	0	14	0	1	0	1	0	0	0	0	0	0	5	0	1	6	0	0	0	0	0	4	0	0	59	0	0	98	28	3	27	0	2	23	1	0	0	0	1	0	0	0	0	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	385	"AWI"	385	1768	2518	2124	0	0	3	47	1	0	17	0	4	0	0	0	0	0	0	0	5	10	0	2	6	0	0	1	0	1	0	0	0	88	0	0	104	2	6	0	0	14	31	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	395	"AWI"	395	2188	2664	2443	0	0	3	58	5	0	26	0	3	0	0	0	0	0	0	0	3	8	0	2	12	0	0	0	0	0	3	0	4	41	0	0	46	25	3	0	0	19	25	2	0	0	0	0	0	0	0	0	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	405	"AWI"	405	2418	3163	2740	0	0	5	32	2	0	19	0	4	0	0	0	0	0	0	0	7	5	0	0	6	1	0	1	0	1	0	0	0	39	0	0	39	5	14	0	0	23	58	0	0	0	0	1	1	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	415	"AWI"	415	2486	3944	2993	0	0	4	41	1	0	15	0	0	0	1	0	0	0	0	0	6	12	0	0	4	0	0	1	0	0	2	0	1	29	0	0	82	44	3	0	0	9	37	0	0	0	0	0	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	425	"AWI"	425	2542	4732	3256	1	0	3	50	3	0	20	0	1	0	1	1	0	0	0	0	13	4	0	0	5	0	0	1	0	0	3	0	0	82	0	0	164	4	25	0	0	40	44	0	0	0	0	1	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	435	"AWI"	435	2694	5315	3535	0	0	1	33	3	0	15	0	1	0	0	0	0	0	0	0	5	6	0	5	1	0	0	2	0	0	2	0	2	57	0	0	76	24	10	0	0	18	20	14	0	0	0	3	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	445	"AWI"	445	2900	5506	3885	0	0	10	56	1	0	25	0	8	0	0	0	0	0	0	0	14	4	0	1	4	0	0	1	0	0	3	0	0	75	0	0	79	4	13	0	0	57	57	0	0	0	0	3	0	0	0	2	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	455	"AWI"	455	3027	5744	4229	0	0	2	25	2	0	7	0	3	0	0	0	0	0	0	0	10	3	0	3	2	0	0	3	0	0	2	0	0	47	0	0	136	6	22	0	0	11	25	2	0	0	0	1	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	465	"AWI"	465	3141	6153	4547	0	0	6	90	4	0	16	0	6	0	1	0	0	0	0	0	10	8	0	2	11	0	0	8	0	0	2	0	1	89	0	0	172	3	33	0	0	93	65	0	0	0	0	1	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	475	"AWI"	475	3480	6365	4846	0	0	4	65	2	0	13	0	0	2	0	0	0	0	0	0	13	10	0	1	14	0	1	4	0	0	1	0	0	84	0	0	117	13	20	0	0	18	47	3	0	0	0	1	0	0	0	0	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	485	"AWI"	485	3828	6453	5160	0	0	4	14	1	0	6	0	3	0	0	0	0	0	0	0	5	4	0	2	3	0	0	1	0	0	0	0	0	24	0	0	93	1	9	0	0	15	24	0	0	0	0	0	0	0	0	0	0	3
14457	22628	"Albufera Alcudia"	39.79278	3.11917	495	"AWI"	495	4005	6595	5495	0	0	16	97	6	0	6	0	2	1	0	0	0	0	0	1	10	14	0	6	4	0	0	5	0	0	3	0	0	73	0	0	52	10	24	0	0	39	41	5	0	0	0	0	0	0	0	1	1	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	505	"AWI"	505	4206	6847	5823	0	0	3	49	3	0	10	0	3	0	0	0	0	0	0	0	19	2	0	3	4	0	0	7	0	0	1	0	0	53	0	0	11	1	25	0	0	41	21	0	0	0	0	0	0	0	0	1	0	1
14457	22628	"Albufera Alcudia"	39.79278	3.11917	515	"AWI"	515	4877	6898	6101	0	0	9	31	8	0	6	0	3	0	5	0	0	0	0	0	16	6	0	6	3	0	1	5	0	0	14	0	0	41	0	0	15	12	38	0	0	20	56	6	1	0	1	0	0	0	0	0	1	2
14457	22628	"Albufera Alcudia"	39.79278	3.11917	525	"AWI"	525	5464	6969	6376	0	0	10	57	2	1	6	0	1	0	1	0	0	0	0	0	22	2	0	1	5	0	0	2	0	0	3	0	0	50	0	0	14	1	23	0	0	36	23	0	0	0	1	3	0	0	0	1	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	535	"AWI"	535	5928	7076	6682	0	0	4	36	11	0	5	0	1	2	1	0	0	0	0	0	10	14	0	17	4	0	0	2	0	0	39	0	0	30	0	0	45	10	32	0	0	26	50	10	0	0	0	2	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	545	"AWI"	545	6166	7201	6898	0	0	11	48	12	0	4	0	2	0	3	0	0	0	0	0	13	6	0	2	3	0	0	2	0	0	14	0	0	19	1	1	46	1	29	0	0	48	29	0	0	0	0	3	0	0	0	0	0	0
14457	22628	"Albufera Alcudia"	39.79278	3.11917	555	"AWI"	555	6318	7234	6978	0	0	7	40	6	0	1	0	1	1	9	0	0	0	0	0	17	5	0	55	2	0	0	0	0	0	120	0	0	3	0	0	18	15	14	0	0	23	21	3	0	0	0	0	9	0	0	2	0	0
