"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	5	"AWI"	5	-119	45	-34	1.85185185185185	0.925925925925926	5.55555555555556	0	0.925925925925926	0	1.85185185185185	0	0	7.87037037037037	5.09259259259259	0	0.462962962962963	0.925925925925926	0	0	0	0.462962962962963	0	0	0	0	2.31481481481481	1.38888888888889	62.037037037037	0	3.7037037037037	0.925925925925926	0.462962962962963	0	0	0	0.462962962962963	1.85185185185185	0.925925925925926
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	10	"AWI"	10	-102	73	-14	1.27388535031847	0.636942675159236	5.73248407643312	0	0	0	1.91082802547771	0.636942675159236	1.91082802547771	10.828025477707	15.2866242038217	0	0	0	1.27388535031847	0	0.636942675159236	0	0	0	0	0	1.27388535031847	1.27388535031847	50.9554140127389	0	5.73248407643312	0	0.636942675159236	0	0	0	0	0	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	15	"AWI"	15	-89	106	6	1.97368421052632	1.31578947368421	3.28947368421053	0.657894736842105	0	0	2.63157894736842	0	0.657894736842105	13.8157894736842	17.1052631578947	0	0	0	0	0	0	0	0	0	0	0	1.31578947368421	2.63157894736842	44.078947368421	0	9.21052631578947	0	0.657894736842105	0	0	0	0	0.657894736842105	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	20	"AWI"	20	-81	144	25	0.574712643678161	1.14942528735632	1.14942528735632	0	0	0	1.72413793103448	0.574712643678161	0.574712643678161	9.19540229885057	22.4137931034483	0	0	0	0	0	0	0	0	0.574712643678161	0	0	2.29885057471264	4.02298850574713	41.9540229885057	0	8.04597701149425	0	4.59770114942529	0	0.574712643678161	0	0	0	0.574712643678161
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	25	"AWI"	25	-72	184	45	3.96039603960396	2.47524752475248	0	0	0.99009900990099	18.8118811881188	1.48514851485149	0.99009900990099	0	12.3762376237624	15.8415841584158	0	0.495049504950495	0	0	0	0.495049504950495	0	0.495049504950495	0	0	0	0.495049504950495	1.98019801980198	31.6831683168317	0	3.96039603960396	0	2.97029702970297	0	0	0.495049504950495	0	0	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	32	"AWI"	32	-64	243	71	2.7027027027027	0.540540540540541	3.24324324324324	0.540540540540541	0	0	0.540540540540541	3.24324324324324	0	8.10810810810811	15.6756756756757	0	1.08108108108108	0	0	0	0	0	0	0	0	0	1.62162162162162	4.86486486486486	43.2432432432432	0	8.10810810810811	0	3.78378378378378	0	1.08108108108108	1.08108108108108	0	0.540540540540541	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	40	"AWI"	40	-57	311	102	1.13636363636364	0	3.97727272727273	0	0	13.0681818181818	1.13636363636364	1.70454545454545	1.13636363636364	5.68181818181818	13.6363636363636	0	0.568181818181818	0	0	0	0	0	0	0	0	0	1.70454545454545	2.27272727272727	43.1818181818182	0	7.38636363636364	0	1.70454545454545	0	0.568181818181818	1.13636363636364	0	0	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	44	"AWI"	44	-54	346	118	5.02793296089385	0.558659217877095	3.91061452513966	0	0.558659217877095	0	0.558659217877095	0	2.79329608938547	5.02793296089385	5.02793296089385	0	0.558659217877095	0.558659217877095	0	0.558659217877095	0	0	0	0	0	0.558659217877095	1.67597765363128	5.58659217877095	53.6312849162011	0	7.26256983240224	1.11731843575419	2.79329608938547	0	1.11731843575419	0	0.558659217877095	0.558659217877095	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	54	"AWI"	54	-15	398	160	2.42424242424242	0	1.21212121212121	0.606060606060606	0	0	1.21212121212121	1.81818181818182	2.42424242424242	18.7878787878788	12.1212121212121	0	0.606060606060606	0.606060606060606	0	0.606060606060606	0	0	0.606060606060606	0	0	0	1.81818181818182	2.42424242424242	39.3939393939394	0	9.09090909090909	0.606060606060606	3.03030303030303	0	0	0.606060606060606	0	0	0
16235	25435	"Anse Saint-Martin"	49.70389	-1.87861	64	"AWI"	64	28	418	208	3.61990950226244	0	0.452488687782805	1.35746606334842	0	0	0.904977375565611	2.26244343891403	3.61990950226244	6.33484162895928	15.3846153846154	0	0	0	0	0	0.452488687782805	0	0.452488687782805	1.80995475113122	0	1.80995475113122	0.904977375565611	2.71493212669683	43.4389140271493	0	11.7647058823529	0	1.80995475113122	0	0.452488687782805	0	0	0.452488687782805	0
