"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26574	46473	"Selikhovo"	53.21161	35.77489	5	"AWI"	5	-78	126	24	0	9	9	0	10	0	40	11	0	0	1	2	0	40	0	0	2	0	1	1	0	0	0	52	321	0	41	0	18	0	0	0	2	10	0	2	1
26574	46473	"Selikhovo"	53.21161	35.77489	10	"AWI"	10	-53	269	96	0	4	3	0	8	0	10	4	0	0	5	0	0	73	0	0	1	0	2	1	0	0	0	53	217	0	60	0	5	2	2	0	0	1	0	0	1
26574	46473	"Selikhovo"	53.21161	35.77489	15	"AWI"	15	-33	425	168	0	10	11	1	2	0	28	6	0	0	2	0	0	85	1	0	0	0	1	1	0	0	0	82	194	0	46	0	25	0	2	0	0	1	0	4	1
26574	46473	"Selikhovo"	53.21161	35.77489	20	"AWI"	20	92	458	253	0	6	6	0	16	23	27	3	0	0	5	0	3	124	1	0	0	3	0	1	0	0	0	77	178	2	50	0	20	0	1	2	0	2	0	2	2
26574	46473	"Selikhovo"	53.21161	35.77489	25	"AWI"	25	200	494	342	0	8	5	2	5	0	29	6	0	0	1	0	0	173	0	0	0	0	0	1	0	0	0	46	172	0	31	0	23	1	0	2	3	0	0	0	1
26574	46473	"Selikhovo"	53.21161	35.77489	30	"AWI"	30	285	587	437	0	10	5	0	10	0	49	4	0	0	3	0	4	103	1	1	1	0	1	4	0	1	0	17	145	1	0	0	97	0	3	1	10	0	1	3	9
26574	46473	"Selikhovo"	53.21161	35.77489	35	"AWI"	35	409	684	552	0	8	4	2	8	0	56	2	0	0	2	0	2	51	0	0	0	0	1	6	0	0	0	32	174	0	0	0	28	0	3	1	0	0	1	5	5
26574	46473	"Selikhovo"	53.21161	35.77489	40	"AWI"	40	506	846	677	0	16	3	0	3	0	69	1	0	0	2	0	1	57	0	0	0	0	0	0	0	0	0	62	248	0	0	0	15	0	6	0	1	1	0	8	4
26574	46473	"Selikhovo"	53.21161	35.77489	45	"AWI"	45	569	1042	806	0	6	2	0	4	0	266	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	15	170	0	0	0	12	0	1	0	1	0	0	3	4
26574	46473	"Selikhovo"	53.21161	35.77489	50	"AWI"	50	742	1139	930	0	9	4	0	12	0	48	4	0	0	5	0	4	20	0	0	0	0	0	0	0	0	0	43	283	0	0	0	34	0	4	0	1	2	0	5	4
26574	46473	"Selikhovo"	53.21161	35.77489	55	"AWI"	55	834	1254	1050	0	12	2	0	11	0	37	2	0	0	7	0	1	31	0	1	1	0	0	0	0	0	0	74	265	0	0	0	54	0	2	0	3	1	0	1	0
26574	46473	"Selikhovo"	53.21161	35.77489	60	"AWI"	60	874	1464	1164	0	16	4	0	10	0	130	2	0	0	1	0	3	19	0	1	0	0	0	0	0	0	0	47	203	0	0	0	25	0	1	0	1	0	0	2	5
26574	46473	"Selikhovo"	53.21161	35.77489	65	"AWI"	65	1014	1561	1267	0	11	4	0	6	0	373	0	0	0	3	0	2	3	0	1	0	0	0	0	0	0	0	7	18	0	0	0	11	0	0	0	0	0	0	1	6
26574	46473	"Selikhovo"	53.21161	35.77489	70	"AWI"	70	1156	1624	1370	0	11	2	0	10	0	330	1	0	0	1	0	2	10	0	0	0	0	0	0	0	1	0	19	20	0	0	0	11	0	2	0	0	1	0	4	2
26574	46473	"Selikhovo"	53.21161	35.77489	75	"AWI"	75	1249	1715	1481	0	13	2	0	11	0	84	0	0	0	5	0	3	14	0	0	0	0	0	1	0	0	0	58	113	0	15	0	65	0	4	0	2	0	1	4	4
26574	46473	"Selikhovo"	53.21161	35.77489	80	"AWI"	80	1412	1816	1605	0	9	1	1	1	0	192	3	0	0	1	0	2	18	0	0	0	0	0	1	0	0	0	27	97	0	0	0	27	0	5	0	0	0	0	2	4
26574	46473	"Selikhovo"	53.21161	35.77489	85	"AWI"	85	1514	1981	1744	0	23	3	1	12	0	38	1	0	0	0	0	4	26	1	0	0	0	0	1	0	0	0	29	197	0	0	0	30	0	4	0	0	1	0	3	4
26574	46473	"Selikhovo"	53.21161	35.77489	90	"AWI"	90	1574	2256	1871	1	16	4	0	11	0	44	0	0	0	2	1	4	16	0	0	0	0	0	2	0	0	0	78	196	0	21	0	33	0	8	0	0	2	0	6	3
26574	46473	"Selikhovo"	53.21161	35.77489	100	"AWI"	100	2090	2676	2313	1	16	4	1	7	0	42	0	0	0	1	0	19	28	0	0	0	0	0	0	0	0	0	40	182	0	43	0	33	0	3	0	0	0	0	4	3
26574	46473	"Selikhovo"	53.21161	35.77489	105	"AWI"	105	2219	3067	2543	0	29	6	0	7	0	50	0	0	0	0	0	17	14	0	0	0	0	0	1	0	0	0	49	151	0	59	0	23	0	3	0	0	0	1	13	4
26574	46473	"Selikhovo"	53.21161	35.77489	110	"AWI"	110	2517	3338	2837	0	16	1	0	16	0	73	0	0	0	1	0	2	12	0	1	0	0	0	0	0	0	0	44	183	0	0	0	23	0	3	0	0	0	0	5	3
26574	46473	"Selikhovo"	53.21161	35.77489	115	"AWI"	115	2976	3469	3187	0	25	3	1	11	0	20	2	0	0	0	0	15	25	0	0	1	0	0	0	0	0	0	37	230	0	42	0	28	0	5	0	0	0	2	2	0
26574	46473	"Selikhovo"	53.21161	35.77489	120	"AWI"	120	3297	3730	3529	0	46	2	1	10	0	33	0	0	0	3	0	7	29	0	0	0	0	0	1	0	0	0	34	239	0	0	0	27	0	1	0	0	1	1	11	2
26574	46473	"Selikhovo"	53.21161	35.77489	125	"AWI"	125	3516	3995	3762	0	39	7	2	22	0	46	1	0	0	1	1	16	10	0	0	0	0	0	0	0	0	0	27	137	0	55	0	21	0	4	0	0	2	0	10	6
26574	46473	"Selikhovo"	53.21161	35.77489	130	"AWI"	130	3644	4088	3874	0	39	3	0	7	0	37	0	0	0	1	0	14	49	0	0	0	0	0	0	0	0	0	24	165	0	0	0	11	0	4	0	0	0	0	5	1
26574	46473	"Selikhovo"	53.21161	35.77489	135	"AWI"	135	3713	4241	3984	1	18	0	0	14	0	20	0	0	0	2	0	12	26	0	0	0	0	0	1	0	0	0	13	115	0	0	0	9	0	3	0	0	0	0	5	2
26574	46473	"Selikhovo"	53.21161	35.77489	140	"AWI"	140	3818	4371	4092	0	37	5	1	8	0	38	0	0	0	3	0	14	29	0	0	1	0	0	0	0	0	0	13	101	0	0	0	12	0	2	0	0	0	0	3	2
