"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23934	41589	"Iffigsee"	46.38679	7.40589	0	"AWI"	0	-132	14	-55	0	0	49	0	0	0	0	1	0	1	3	0	0	0	0	4	0	0	15	0	6	0	0	0	0	0	5	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0
23934	41589	"Iffigsee"	46.38679	7.40589	8	"AWI"	8	-97	72	-17	0	0	26	1	0	0	0	4	0	0	2	2	0	0	0	1	0	0	5	0	5	0	0	0	0	0	5	1	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
23934	41589	"Iffigsee"	46.38679	7.40589	24	"AWI"	24	-49	192	56	0	0	33	1	0	0	0	2	0	3	3	2	0	0	0	3	0	0	16	0	9	0	0	0	0	0	2	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	6	0	0	0	0	1	0	1	2	9	0
23934	41589	"Iffigsee"	46.38679	7.40589	40	"AWI"	40	13	278	131	0	0	43	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	13	0	9	0	0	0	0	0	1	1	0	1	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	2	18	0
23934	41589	"Iffigsee"	46.38679	7.40589	56	"AWI"	56	81	336	210	0	0	42	0	0	0	0	3	0	2	0	0	0	0	0	5	0	0	15	0	11	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	4	21	0
23934	41589	"Iffigsee"	46.38679	7.40589	72	"AWI"	72	158	403	291	0	0	36	1	0	0	0	2	0	1	0	0	0	0	0	8	0	0	10	0	6	0	0	0	0	0	1	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	1	8	0	0	0	0	0	2	0	0	15	0
23934	41589	"Iffigsee"	46.38679	7.40589	88	"AWI"	88	267	456	372	0	1	22	0	0	0	0	0	0	1	0	3	0	0	0	11	0	0	10	0	9	0	0	0	0	0	0	1	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	1	0	0	2	6	0	0	0	0	0	2	0	5	6	0
23934	41589	"Iffigsee"	46.38679	7.40589	96	"AWI"	96	318	493	417	0	0	30	0	0	0	0	0	0	1	1	4	0	0	0	2	0	0	23	0	10	0	0	0	0	0	0	3	0	0	0	0	1	6	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	1	2	1	6	12	0
23934	41589	"Iffigsee"	46.38679	7.40589	104	"AWI"	104	343	582	460	0	1	52	2	0	0	0	3	0	0	2	1	0	0	0	6	0	0	11	0	9	0	0	0	0	0	1	2	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	2	0	10	16	0
23934	41589	"Iffigsee"	46.38679	7.40589	112	"AWI"	112	397	637	517	0	2	24	0	0	0	0	3	0	0	1	0	0	0	0	7	0	1	15	0	18	0	0	0	0	0	2	1	0	0	0	1	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	2	0	0	3	0	3	4	0
