"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3424	4437	"Moselotte"	48.03194	7	5	"AWI"	5	-25	718	176	49	0	12	6	0	0	3	0	13	0	0	0	0	0	0	13	0	8	0	0	46	3	0	0	12	4	35	0	0	0	24	0	0	0	3	2	0	0	1	0	1
3424	4437	"Moselotte"	48.03194	7	8	"AWI"	8	62	894	360	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
3424	4437	"Moselotte"	48.03194	7	10	"AWI"	10	98	1134	468	44	0	21	4	0	0	1	0	48	0	1	0	0	0	2	23	0	104	0	21	79	9	5	0	9	8	68	0	236	0	49	0	0	1	12	2	0	0	0	0	3
3424	4437	"Moselotte"	48.03194	7	13	"AWI"	13	207	1281	627	37	0	15	5	0	0	2	0	36	0	1	0	6	0	3	35	0	35	0	0	104	2	6	1	18	4	50	0	285	0	93	0	0	0	15	1	0	0	0	0	2
3424	4437	"Moselotte"	48.03194	7	15	"AWI"	15	251	1436	732	72	2	33	1	0	0	11	0	47	0	0	0	1	0	4	48	0	8	0	0	139	1	2	0	14	4	27	0	283	0	81	0	0	2	5	3	0	0	1	0	3
3424	4437	"Moselotte"	48.03194	7	18	"AWI"	18	357	1576	905	26	0	39	1	0	0	6	0	105	0	0	0	3	0	4	58	0	30	0	0	138	2	1	3	17	0	17	0	0	0	71	0	0	2	7	5	0	0	0	0	4
3424	4437	"Moselotte"	48.03194	7	20	"AWI"	20	413	1743	1013	80	6	45	3	0	0	10	0	130	0	0	0	13	0	1	104	0	56	0	0	264	4	3	0	32	1	13	0	172	0	68	0	0	0	12	9	0	0	0	1	6
3424	4437	"Moselotte"	48.03194	7	23	"AWI"	23	563	1875	1178	35	2	18	2	0	0	4	0	69	0	0	0	4	0	1	51	0	35	0	0	139	1	0	0	18	0	5	0	88	0	45	0	0	0	6	4	0	0	0	0	4
3424	4437	"Moselotte"	48.03194	7	25	"AWI"	25	629	2003	1282	71	2	26	0	0	0	1	0	35	0	0	0	1	0	0	57	0	15	0	0	211	4	0	0	28	0	9	0	105	0	54	0	0	0	8	3	0	0	0	0	7
3424	4437	"Moselotte"	48.03194	7	28	"AWI"	28	777	2132	1447	39	2	47	0	0	0	5	0	16	0	0	0	1	0	0	38	0	15	0	0	100	2	0	0	18	0	4	0	0	0	45	0	0	0	3	1	0	0	0	0	3
