"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15947	24578	"Bois-Jésus"	47.41333	0.63806	100	"AWI"	100	1385	1744	1565	0	13.0813953488372	0.872093023255814	0.290697674418605	0	0.290697674418605	6.97674418604651	0	0	0.581395348837209	0	0	0	0	0	0.872093023255814	0	71.5116279069768	0	0	0	0.290697674418605	0	0	0	0	1.45348837209302	0	0	0	0	0.581395348837209	0.872093023255814	0	0.290697674418605	0	0.872093023255814	0.872093023255814	0	0	0	0.290697674418605	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	105	"AWI"	105	1528	1881	1710	0	50.9933774834437	0.662251655629139	0	0	0	8.60927152317881	0	0	0	0	0	0	0	0	4.63576158940397	0	25.8278145695364	0	0	0	0	0	0	0	0	0.662251655629139	0	0	0	0	5.96026490066225	0.662251655629139	0	0	0	1.98675496688742	0	0	0	0	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	110	"AWI"	110	1681	1931	1811	0	22.9411764705882	0	0.588235294117647	0	0	28.2352941176471	0.294117647058824	0	0	0	0	0	0	0	0.882352941176471	0	42.9411764705882	0	0	0	0	0	0	0	0	0.294117647058824	0	0	0	0	1.17647058823529	1.17647058823529	0	0	0	0.294117647058824	0.882352941176471	0	0	0	0	0	0	0	0.294117647058824	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	255	"AWI"	255	4472	6347	5787	0	69.0647482014388	0	0	0	0.359712230215827	1.07913669064748	0	0	0.359712230215827	0	0	0	0	0	7.9136690647482	0	6.47482014388489	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51798561151079	0	0	0	0.719424460431655	8.99280575539568	0	0	0	0.359712230215827	0	0	0.359712230215827	1.43884892086331	0.359712230215827	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	265	"AWI"	265	5664	7604	7031	0	60.9195402298851	0	0	1.14942528735632	0	0	0	0	0	0	0.574712643678161	0	0	0	15.5172413793103	0	4.02298850574713	0	0	0	0	0	0	0	0	0.574712643678161	0	0	0	0	1.14942528735632	0	0	0	0	13.7931034482759	0.574712643678161	0	0	0	0	0	0	0.574712643678161	0.574712643678161	0.574712643678161	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	270	"AWI"	270	6324	7686	7310	0	94.2675159235669	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22929936305732	0	0.318471337579618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318471337579618	0	0	0	0	2.54777070063694	0	0	0	0.318471337579618	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	275	"AWI"	275	6751	7981	7593	0	18.8622754491018	0	0.898203592814371	0.29940119760479	0.29940119760479	1.19760479041916	0	0	0	0	0	0	0.29940119760479	0	33.8323353293413	0	8.38323353293413	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4730538922156	0.29940119760479	0	0	0.598802395209581	14.3712574850299	0	0	0	0.598802395209581	0.898203592814371	0	0	0.29940119760479	2.69461077844311	2.09580838323353	0.598802395209581
15947	24578	"Bois-Jésus"	47.41333	0.63806	280	"AWI"	280	6976	8359	7762	0	21.6606498194946	0.36101083032491	1.08303249097473	0.36101083032491	0.36101083032491	0	0.36101083032491	0	0	0	0	0	0	0	36.4620938628159	0	4.33212996389892	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77617328519856	0	0	0	2.52707581227437	11.1913357400722	0	0	0	1.08303249097473	5.05415162454874	0.36101083032491	0	0	3.6101083032491	5.05415162454874	0.36101083032491
15947	24578	"Bois-Jésus"	47.41333	0.63806	285	"AWI"	285	7112	8453	7861	0	45.3453453453453	0	0	0	0.3003003003003	0	0	0	0	0	0	0	0.3003003003003	0	30.6306306306306	0	7.20720720720721	0	0	0	0	0	0	0	0	0.3003003003003	0	0	0	0	3.003003003003	0.3003003003003	0	0	0.900900900900901	6.60660660660661	0	0	0	0.3003003003003	0.900900900900901	0	0	0.600600600600601	1.2012012012012	1.8018018018018	0.3003003003003
15947	24578	"Bois-Jésus"	47.41333	0.63806	290	"AWI"	290	7217	8573	7953	0	3.90879478827362	0.325732899022801	0.325732899022801	0	1.30293159609121	2.60586319218241	0.651465798045603	0	0	0	0	0	0	0	43.6482084690554	0	13.0293159609121	0	0	0	0	0	0	0	0	0.651465798045603	0	0	0	0	17.5895765472313	0	0	0	0	8.79478827361564	0	0	0	1.95439739413681	0.325732899022801	0	0	0	1.95439739413681	2.93159609120521	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	295	"AWI"	295	7313	8712	8044	0	19.5205479452055	0.342465753424658	0.342465753424658	0	0.684931506849315	1.36986301369863	0	0.342465753424658	0.342465753424658	0	0	0	0.342465753424658	0	31.8493150684932	0	11.3013698630137	0	0	0	0	0.342465753424658	0	0	0	0.342465753424658	0	0	0	0	22.2602739726027	0	0	0	0	6.50684931506849	0.342465753424658	0	0	1.36986301369863	0.342465753424658	0	0	0	1.02739726027397	1.02739726027397	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	300	"AWI"	300	7447	8770	8132	0	12.2448979591837	0.340136054421769	0	0	0.340136054421769	5.10204081632653	0	0	0	0	0	0	0	0	23.8095238095238	0	16.3265306122449	0	0	0	0	0	0	0	0	1.02040816326531	0	0	0	0	37.0748299319728	0	0	0	0	2.72108843537415	0	0	0	0.340136054421769	0.340136054421769	0	0	0	0.340136054421769	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	325	"AWI"	325	8043	9226	8590	0	6.43086816720257	0	0.643086816720257	0	0.643086816720257	3.85852090032154	0	0	0	0	0	0	0	0	44.3729903536978	0	14.4694533762058	0	0	0	0.321543408360129	0	0	0	0	0.321543408360129	0	0	0	0	18.3279742765273	0	0	0	0.321543408360129	4.5016077170418	0	0	0	2.2508038585209	1.60771704180064	0	0	0.321543408360129	1.28617363344051	0.321543408360129	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	330	"AWI"	330	8135	9334	8683	0	0	0	0.355871886120996	0	0.355871886120996	5.69395017793594	0.711743772241993	0	0	0	0	0	0.355871886120996	0	29.1814946619217	0	17.0818505338078	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2135231316726	0	0	0	0.355871886120996	4.62633451957295	0	0	0.355871886120996	0	0.711743772241993	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	335	"AWI"	335	8333	9415	8802	0	15.884476534296	0	1.08303249097473	0	0	0	3.24909747292419	0	0	0	0	0	0	0	40.4332129963899	0	6.13718411552347	0	0	0	1.80505415162455	0	0.72202166064982	0	0	0.36101083032491	0	0	0	0	20.5776173285199	0.36101083032491	0	0	0	6.85920577617329	0	0	0	0.36101083032491	1.08303249097473	0	0	0	0.36101083032491	0.72202166064982	0
