"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Taxus"	"Ulmus"	"Urticaceae"	"Viburnum"
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	0	"AWI"	0	-118	48	-37	44	0	0	4	2	166	0	0	10	0	12	0	0	0	2	0	6	57	0	0	4	1	25	0	18	0	0	1	0	1	0	0	1	3	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	10	"AWI"	10	44	904	333	138	0	0	8	0	42	0	0	17	0	11	0	0	0	0	2	7	101	0	0	0	1	69	0	14	0	0	0	0	2	0	1	1	2	1	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	20	"AWI"	20	289	1471	762	23	0	0	0	1	18	0	0	3	0	14	0	0	0	1	0	2	63	0	0	1	1	19	0	9	0	0	0	0	1	0	0	2	1	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	30	"AWI"	30	604	1933	1212	48	0	0	1	2	20	0	0	6	0	10	0	0	0	1	0	6	90	0	1	0	0	18	0	13	0	0	0	0	5	0	1	0	2	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	40	"AWI"	40	958	2356	1648	165	0	1	0	0	15	0	0	11	0	4	0	0	0	0	0	7	80	0	0	0	1	60	0	18	0	0	0	0	0	0	1	2	1	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	50	"AWI"	50	1349	2777	2073	45	0	0	1	0	139	0	0	15	0	3	0	0	0	2	0	3	90	0	1	0	0	69	0	23	0	0	0	0	4	0	1	0	0	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	60	"AWI"	60	1765	3146	2502	73	0	0	0	0	86	0	0	8	0	0	0	0	0	0	0	3	28	0	0	0	1	84	0	5	0	0	0	0	4	0	1	0	1	1	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	70	"AWI"	70	2247	3476	2934	119	0	1	1	0	90	0	0	20	0	30	0	0	0	1	0	3	116	0	0	12	0	33	0	17	2	0	0	0	2	0	0	0	0	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	80	"AWI"	80	2766	3758	3360	96	0	0	0	0	37	0	0	8	0	24	0	0	0	0	0	3	82	0	0	21	0	7	0	9	0	0	0	0	0	0	0	0	1	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	90	"AWI"	90	3457	3996	3758	174	0	0	2	1	137	0	0	21	0	34	0	0	0	0	0	7	116	0	0	22	0	45	0	25	3	0	0	0	2	0	0	2	1	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	100	"AWI"	100	4069	5651	4707	16	0	0	0	0	16	0	0	3	0	4	0	0	0	1	0	1	45	0	1	66	1	4	0	11	0	0	0	0	1	0	0	1	3	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	110	"AWI"	110	4933	6444	5887	58	1	0	2	0	23	0	0	29	0	32	0	0	0	0	1	3	87	0	0	149	0	4	0	11	0	0	0	0	0	0	0	0	4	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	120	"AWI"	120	6321	6968	6621	2	0	0	2	1	38	0	0	17	0	23	0	0	0	0	0	0	135	0	0	297	0	10	0	7	0	0	0	0	9	0	0	0	5	0	3
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	130	"AWI"	130	6543	7353	6916	41	0	5	0	8	67	0	0	24	0	23	0	0	0	0	0	1	147	0	0	225	0	19	1	20	0	0	0	0	6	0	0	0	6	0	1
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	140	"AWI"	140	6767	7704	7205	4	0	0	1	0	26	0	0	3	0	14	0	0	0	0	0	0	145	0	0	144	0	12	0	9	0	0	0	0	2	0	0	0	0	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	150	"AWI"	150	7015	8021	7511	1	0	0	0	0	13	0	0	3	0	28	0	0	0	0	0	0	79	0	0	134	0	6	0	9	0	0	0	0	3	0	0	0	2	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	160	"AWI"	160	7297	8315	7803	1	0	0	0	0	10	0	0	6	0	7	0	0	0	0	0	0	58	0	0	111	0	1	0	4	0	0	0	0	0	0	0	0	2	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	170	"AWI"	170	7599	8585	8110	6	0	0	1	1	13	0	0	8	0	11	0	0	0	0	0	0	66	0	0	160	0	6	0	17	0	0	0	0	1	0	0	0	2	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	180	"AWI"	180	7941	8826	8409	2	0	0	0	3	21	0	0	7	0	4	0	0	0	0	0	0	56	0	0	145	0	3	0	21	0	0	0	0	5	0	0	0	4	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	190	"AWI"	190	8328	9042	8702	5	0	0	0	0	17	0	0	4	0	4	0	0	0	0	1	0	105	0	0	180	0	3	0	17	0	0	0	0	3	0	0	0	5	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	200	"AWI"	200	8673	9234	8924	5	0	0	0	1	24	0	0	8	0	21	0	0	0	0	0	0	110	0	0	171	0	2	0	11	0	0	0	0	2	0	0	0	3	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	210	"AWI"	210	8817	9411	9088	124	0	0	1	2	59	0	0	14	0	25	0	1	0	2	0	3	89	1	1	73	0	36	0	14	0	0	0	0	8	0	1	0	1	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	220	"AWI"	220	8982	9587	9252	28	0	0	0	2	47	0	0	12	0	44	0	0	0	0	0	0	75	0	0	59	0	13	0	13	0	0	0	0	29	0	0	0	0	0	1
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	230	"AWI"	230	9142	9775	9409	8	0	0	0	0	48	0	0	4	0	17	0	0	0	0	0	0	64	0	0	20	0	9	0	9	0	0	0	0	12	0	0	0	2	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	240	"AWI"	240	9327	9931	9562	1	0	0	0	0	32	0	0	4	0	4	0	0	0	0	0	0	24	0	0	20	0	1	0	2	0	0	0	0	5	0	0	0	2	0	1
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	250	"AWI"	250	9549	10115	9726	61	0	0	1	0	95	0	0	28	1	14	0	0	0	0	0	1	55	0	0	29	0	30	0	17	0	8	0	0	48	0	0	0	0	0	0
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	260	"AWI"	260	9713	10354	9977	23	0	0	1	0	95	0	0	32	0	22	0	0	0	0	0	1	105	0	2	29	0	41	0	27	0	0	0	0	7	0	0	0	1	0	2
10525	16207	"Glaisín na Marbh"	52.007262	-9.57091	270	"AWI"	270	9927	10605	10225	57	0	0	0	2	108	0	1	29	0	16	0	0	0	3	2	2	102	0	1	31	0	37	0	7	0	0	0	0	26	0	0	0	1	0	1
