"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	488	"AWI"	488	-142	24	-56	9	0	0	0	0	0	0	0	0	0	0	0	0	17	0	9	0	0	0	9	0	26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	493	"AWI"	493	-64	438	107	11	0	0	0	0	292	0	0	0	0	1	2	0	23	0	0	0	0	0	10	0	62	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	498	"AWI"	498	27	640	288	11	0	0	1	0	346	0	0	0	0	0	0	0	21	0	16	0	0	0	9	0	69	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	502	"AWI"	502	139	757	436	12	0	0	1	0	325	0	0	0	0	0	0	0	20	0	0	0	0	0	10	0	48	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	507	"AWI"	507	292	908	614	12	0	0	0	0	345	0	0	0	0	0	0	0	19	0	9	0	0	0	11	0	39	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	511	"AWI"	511	471	1017	749	18	0	0	0	0	381	0	0	0	0	0	0	0	16	0	0	0	0	0	6	1	14	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	515	"AWI"	515	678	1132	890	15	0	0	1	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	6	0	23	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	519	"AWI"	519	838	1281	1040	20	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	4	0	11	0	0	0	0	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	523	"AWI"	523	912	1590	1192	8	0	0	0	0	379	0	0	0	0	2	0	0	14	0	12	0	0	0	1	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26168	45639	"Gammelheimenvatnet"	68.48221	17.75935	527	"AWI"	527	1030	1764	1364	28	0	0	0	0	398	0	0	0	0	1	0	0	19	0	0	0	0	0	5	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
