"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"	"Urticaceae"
3072	4004	"Slieve Croob"	54.33333	-5.98333	41	"AWI"	41	154	1381	646	36.9369369369369	0	0	0	8.10810810810811	0	36.036036036036	7.20720720720721	0	0	0	0.900900900900901	0	0	9.90990990990991	0	0	0	0	0.900900900900901	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	57	"AWI"	57	323	1786	939	7.12166172106825	0	0	0	16.0237388724036	0	55.1928783382789	1.78041543026706	0	0.593471810089021	0	0	0	10.3857566765579	8.30860534124629	0	0	0	0.593471810089021	0	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	73	"AWI"	73	496	2114	1223	11.6666666666667	0	0	0	8.33333333333333	0	62.5	3.33333333333333	0	2.5	1.66666666666667	0	0	0	7.5	0.833333333333333	0	0	0.833333333333333	0.833333333333333	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	89	"AWI"	89	725	2426	1542	9.62962962962963	0	0	0	15.5555555555556	0	69.2592592592593	1.11111111111111	0	1.85185185185185	0	0	0	0	2.22222222222222	0	0	0	0	0.37037037037037	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	105	"AWI"	105	1012	2647	1812	12.0320855614973	0	0	0	16.3101604278075	0	64.7058823529412	0.802139037433155	0	0	0	0	0	0	4.54545454545455	0	0	0	0	0.802139037433155	0.802139037433155	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	121	"AWI"	121	1288	2876	2107	16.9312169312169	0	0	0	15.3439153439153	0	50.2645502645503	4.76190476190476	0	3.7037037037037	1.05820105820106	0	0	0	4.76190476190476	0.529100529100529	0	0	0	2.11640211640212	0.529100529100529	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	233	"AWI"	233	4005	4559	4294	15.552099533437	0	0	0	3.26594090202177	0	65.1632970451011	1.5552099533437	0	0.933125972006221	0.31104199066874	0.15552099533437	0	0	9.48678071539658	0.15552099533437	0	0	0	0.622083981337481	2.48833592534992	0.31104199066874
3072	4004	"Slieve Croob"	54.33333	-5.98333	235	"AWI"	235	4062	4578	4322	26.1682242990654	0	0	0	3.73831775700935	0	38.3177570093458	14.9532710280374	0	1.86915887850467	0	0.934579439252336	0	0	12.1495327102804	0	0	0	0	0	1.86915887850467	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	237	"AWI"	237	4116	4595	4349	8.97058823529412	0	0.147058823529412	0	2.35294117647059	0	30.5882352941176	15.5882352941176	5.58823529411765	1.47058823529412	0	0.882352941176471	0	23.6764705882353	9.41176470588235	0	0	0	0	0.294117647058824	1.02941176470588	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	239	"AWI"	239	4163	4615	4378	19.205298013245	0	0	0	5.29801324503311	0	40.6181015452539	21.6335540838852	0	0.883002207505519	0	0.441501103752759	0	0	10.3752759381898	0	0	0	0	0.22075055187638	1.32450331125828	0
