"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Ericales"	"Fraxinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26145	45387	"Viitna Linajärv"	59.45139	26.01389	0	"AWI"	0	-151	15	-60	35	0	0	0	0	112	1	0	0	0	0	48	178	0	4	0	0	0	0	0	3	1
26145	45387	"Viitna Linajärv"	59.45139	26.01389	10	"AWI"	10	-117	78	-24	27	0	0	2	0	81	0	1	0	2	0	43	349	0	3	0	0	0	1	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	30	"AWI"	30	-87	287	39	22	1	0	1	0	43	0	0	1	0	0	55	376	0	0	0	2	0	1	0	1	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	50	"AWI"	50	-34	386	124	44	0	0	3	0	105	0	0	2	0	0	58	288	0	6	0	2	0	0	0	1	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	60	"AWI"	60	-22	464	163	42	0	0	0	0	74	0	0	1	5	0	62	319	1	6	0	1	0	0	0	1	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	80	"AWI"	80	37	555	247	52	2	0	0	0	61	0	0	0	0	0	41	345	1	5	0	1	0	0	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	93	"AWI"	93	66	638	297	60	2	0	3	0	104	0	1	1	10	0	60	266	0	15	0	2	0	0	1	7	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	100	"AWI"	100	97	658	328	24	0	0	0	0	40	0	0	0	0	0	23	412	0	3	0	0	0	0	0	1	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	110	"AWI"	110	128	700	369	46	4	0	2	0	113	0	0	4	21	0	43	285	0	6	0	6	0	0	1	3	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	136	"AWI"	136	215	827	473	52	0	0	4	0	92	0	0	7	11	0	42	292	0	0	0	5	0	0	0	4	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	160	"AWI"	160	291	954	566	41	1	0	3	0	95	0	0	2	12	0	45	312	0	0	0	1	0	0	0	4	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	180	"AWI"	180	365	1025	643	56	3	3	3	0	107	0	0	4	11	0	32	296	0	5	0	1	0	0	0	4	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	200	"AWI"	200	474	1104	720	54	0	0	1	0	93	0	0	0	7	0	22	325	0	2	0	3	0	0	0	3	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	220	"AWI"	220	574	1194	800	51	1	2	1	0	108	0	0	0	16	0	25	308	0	5	0	5	0	0	0	3	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	240	"AWI"	240	719	1281	889	53	0	2	0	0	194	0	0	1	4	0	34	210	0	0	0	6	0	0	0	2	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	310	"AWI"	310	1247	3302	2118	89	0	2	0	0	115	0	0	4	11	0	44	233	0	0	0	4	0	0	0	9	2
26145	45387	"Viitna Linajärv"	59.45139	26.01389	330	"AWI"	330	1581	3559	2516	65	0	0	0	0	125	0	0	3	2	0	64	213	0	0	0	8	0	0	0	7	15
26145	45387	"Viitna Linajärv"	59.45139	26.01389	350	"AWI"	350	1873	3882	2900	65	0	0	0	0	102	0	0	1	0	0	72	243	0	0	3	6	0	0	1	0	8
26145	45387	"Viitna Linajärv"	59.45139	26.01389	370	"AWI"	370	2159	4192	3312	118	0	0	0	0	102	0	0	6	0	0	82	157	0	0	0	8	0	0	0	16	11
26145	45387	"Viitna Linajärv"	59.45139	26.01389	390	"AWI"	390	2586	4383	3694	103	0	0	0	0	103	0	0	14	0	0	66	159	0	0	0	14	0	0	0	28	13
26145	45387	"Viitna Linajärv"	59.45139	26.01389	410	"AWI"	410	3126	4619	4060	133	0	1	1	0	81	0	0	8	0	0	49	143	0	0	0	10	0	0	1	50	26
26145	45387	"Viitna Linajärv"	59.45139	26.01389	430	"AWI"	430	3920	4764	4399	110	0	0	0	0	56	0	0	4	0	0	114	151	0	0	0	10	0	0	0	38	17
26145	45387	"Viitna Linajärv"	59.45139	26.01389	450	"AWI"	450	4338	5345	4801	144	0	2	0	0	153	0	0	10	3	5	44	98	0	0	0	6	0	0	0	19	21
26145	45387	"Viitna Linajärv"	59.45139	26.01389	470	"AWI"	470	4543	6274	5159	119	0	0	0	0	164	0	0	20	0	4	18	109	0	0	0	6	0	0	0	37	23
26145	45387	"Viitna Linajärv"	59.45139	26.01389	490	"AWI"	490	4738	6705	5551	134	1	2	0	0	142	0	0	20	0	2	25	107	0	0	0	5	0	0	0	43	22
26145	45387	"Viitna Linajärv"	59.45139	26.01389	510	"AWI"	510	4997	7148	5943	107	0	0	0	0	155	0	0	10	0	9	4	121	0	0	0	8	0	0	1	50	36
26145	45387	"Viitna Linajärv"	59.45139	26.01389	530	"AWI"	530	5211	7620	6369	147	0	1	0	0	140	0	0	15	0	4	2	109	0	0	0	9	0	0	0	33	41
26145	45387	"Viitna Linajärv"	59.45139	26.01389	550	"AWI"	550	5583	7916	6804	126	0	0	0	0	145	0	0	5	0	2	1	140	0	0	0	4	0	0	0	39	38
26145	45387	"Viitna Linajärv"	59.45139	26.01389	570	"AWI"	570	6061	8256	7226	108	0	0	0	0	139	0	0	1	0	0	2	210	0	0	0	0	0	0	0	22	18
26145	45387	"Viitna Linajärv"	59.45139	26.01389	590	"AWI"	590	6388	8595	7651	140	2	0	0	0	150	0	0	1	0	2	6	139	0	0	0	1	0	0	0	22	39
26145	45387	"Viitna Linajärv"	59.45139	26.01389	610	"AWI"	610	6930	8794	8052	120	0	0	0	0	215	0	0	0	0	3	2	128	0	0	0	1	0	0	0	13	18
26145	45387	"Viitna Linajärv"	59.45139	26.01389	630	"AWI"	630	7608	9051	8425	126	0	0	0	0	205	0	0	0	0	0	2	126	0	0	0	0	0	0	0	9	32
26145	45387	"Viitna Linajärv"	59.45139	26.01389	650	"AWI"	650	8365	9267	8789	47	0	0	0	0	185	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	12
26145	45387	"Viitna Linajärv"	59.45139	26.01389	670	"AWI"	670	8638	9560	9129	89	0	0	0	0	263	0	0	0	0	1	1	108	0	0	0	1	0	0	0	0	37
26145	45387	"Viitna Linajärv"	59.45139	26.01389	690	"AWI"	690	8959	9936	9439	104	0	0	0	0	233	0	0	0	0	0	1	111	0	0	0	0	0	0	0	1	50
26145	45387	"Viitna Linajärv"	59.45139	26.01389	710	"AWI"	710	9393	10138	9760	19	0	0	0	0	129	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	11
26145	45387	"Viitna Linajärv"	59.45139	26.01389	730	"AWI"	730	9590	10321	9956	2	0	0	0	0	68	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	4
26145	45387	"Viitna Linajärv"	59.45139	26.01389	750	"AWI"	750	9706	10547	10108	89	0	0	0	0	296	0	0	0	0	0	2	93	0	0	0	1	0	0	0	0	19
26145	45387	"Viitna Linajärv"	59.45139	26.01389	770	"AWI"	770	9820	10711	10248	83	0	0	0	0	244	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	17
26145	45387	"Viitna Linajärv"	59.45139	26.01389	790	"AWI"	790	9974	10853	10387	3	0	0	0	0	150	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	16
26145	45387	"Viitna Linajärv"	59.45139	26.01389	810	"AWI"	810	10104	11013	10521	0	0	0	0	0	126	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
26145	45387	"Viitna Linajärv"	59.45139	26.01389	830	"AWI"	830	10270	11101	10651	0	0	0	0	0	111	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	850	"AWI"	850	10433	11298	10833	0	0	0	0	0	62	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	870	"AWI"	870	10540	11663	11034	0	0	0	2	0	84	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	890	"AWI"	890	10699	11897	11228	0	0	0	0	0	87	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0
26145	45387	"Viitna Linajärv"	59.45139	26.01389	900	"AWI"	900	10748	12085	11321	0	0	0	0	0	150	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	4
26145	45387	"Viitna Linajärv"	59.45139	26.01389	920	"AWI"	920	10966	12277	11523	10	0	0	3	0	241	0	0	0	0	0	1	117	0	0	0	0	0	0	0	2	6
26145	45387	"Viitna Linajärv"	59.45139	26.01389	930	"AWI"	930	11037	12431	11621	2	0	0	11	0	186	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	1
