"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
3369	4369	"Raigastvere Lake"	58.59222	26.64967	350	"AWI"	350	-152	13	-68	0	70	0	0	2	0	97	0	0	2	11	0	1	0	0	25	101	0	36	2	0	0	3	4	2	2	0
3369	4369	"Raigastvere Lake"	58.59222	26.64967	360	"AWI"	360	-94	177	25	0	65	4	2	2	0	93	0	0	2	7	0	0	0	0	32	101	1	39	2	1	0	2	4	4	3	0
3369	4369	"Raigastvere Lake"	58.59222	26.64967	370	"AWI"	370	-58	380	114	0	54	0	1	5	2	103	0	1	4	7	1	0	0	0	36	99	2	38	3	1	0	5	7	1	4	0
3369	4369	"Raigastvere Lake"	58.59222	26.64967	380	"AWI"	380	10	435	217	0	58	0	0	4	0	126	0	0	2	8	0	0	1	0	23	85	0	52	2	1	0	10	3	0	5	0
3369	4369	"Raigastvere Lake"	58.59222	26.64967	390	"AWI"	390	81	529	312	0	52	3	0	9	2	152	1	0	0	6	2	0	0	1	20	68	0	71	2	0	0	7	7	3	2	0
3369	4369	"Raigastvere Lake"	58.59222	26.64967	400	"AWI"	400	191	568	401	0	73	2	0	6	3	123	0	0	3	6	1	0	0	1	23	76	0	67	3	2	4	8	5	0	1	3
3369	4369	"Raigastvere Lake"	58.59222	26.64967	410	"AWI"	410	302	628	498	0	76	0	0	5	0	151	0	0	3	0	0	0	0	0	15	56	0	44	0	1	0	0	6	0	2	1
3369	4369	"Raigastvere Lake"	58.59222	26.64967	420	"AWI"	420	396	766	605	0	73	0	0	3	0	144	0	0	1	1	1	0	0	2	38	54	0	39	6	0	0	1	6	0	2	1
3369	4369	"Raigastvere Lake"	58.59222	26.64967	430	"AWI"	430	490	967	715	0	16	0	0	3	0	171	0	1	3	4	0	0	0	1	40	65	0	35	3	0	0	1	10	1	3	1
3369	4369	"Raigastvere Lake"	58.59222	26.64967	440	"AWI"	440	563	1151	829	0	77	0	0	4	0	193	0	0	8	6	0	1	0	3	35	85	0	38	8	0	3	1	4	0	6	2
