"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamaricaceae"	"Tamarix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26022	45101	"Nisi Fen"	40.81667	21.91667	898	"AWI"	898	7394	8565	7877	11	1	6	1	4	1	4	0	2	2	1	0	0	0	0	0	24	0	0	0	0	0	0	20	0	0	0	30	2	0	0	0	0	3	0	56	8	0	0	30	0	0	0	0	86	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	2	0	0	4
26022	45101	"Nisi Fen"	40.81667	21.91667	904	"AWI"	904	7440	8644	7941	5	0	3	1	4	1	11	0	0	0	0	0	0	0	0	0	27	0	5	0	0	0	0	16	0	0	0	23	0	0	0	1	0	6	0	79	6	0	0	50	0	0	1	0	56	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	10	3	0	0	3
26022	45101	"Nisi Fen"	40.81667	21.91667	911	"AWI"	911	7479	8766	8011	5	0	1	4	6	0	14	0	1	4	0	0	0	1	0	0	16	0	208	0	0	0	0	7	0	0	0	42	0	0	0	0	0	0	0	53	2	0	0	0	0	0	0	0	64	0	0	0	0	0	8	0	0	1	0	0	0	0	0	1	4	3	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	917	"AWI"	917	7542	8842	8081	5	0	2	0	0	0	6	0	0	2	0	0	0	0	0	0	19	0	2	0	0	0	0	19	0	0	0	16	0	0	0	0	0	6	1	112	4	0	0	24	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	923	"AWI"	923	7597	8922	8168	5	0	3	0	1	0	1	0	0	3	1	0	0	0	0	0	13	1	15	0	1	3	0	8	0	0	0	18	0	0	0	0	0	30	0	69	2	0	0	44	0	0	0	0	91	3	0	1	0	0	0	3	0	0	1	0	0	1	0	0	2	3	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	930	"AWI"	930	7654	9046	8261	9	0	6	1	3	0	4	0	1	1	0	0	0	0	0	0	27	0	10	0	0	0	0	21	0	0	0	26	0	0	0	0	0	0	2	83	2	0	1	0	0	0	1	0	70	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	3	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	936	"AWI"	936	7716	9146	8344	0	0	2	1	1	0	4	0	0	1	0	0	0	1	0	0	10	1	52	0	0	0	0	3	0	0	0	10	0	0	0	0	0	0	0	56	2	0	0	0	0	0	2	0	149	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	6	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	944	"AWI"	944	7834	9223	8482	7	1	4	0	0	1	7	0	0	2	0	0	0	0	0	0	40	0	17	0	0	0	0	15	0	0	0	28	0	0	0	0	0	0	1	62	6	0	0	40	0	0	1	0	69	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	10	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	953	"AWI"	953	7930	9358	8640	5	0	2	0	4	0	1	0	1	4	0	0	0	0	0	0	16	0	22	0	0	0	0	16	0	0	0	18	0	0	0	0	0	0	0	49	2	0	0	0	0	0	0	0	69	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	3
26022	45101	"Nisi Fen"	40.81667	21.91667	961	"AWI"	961	8084	9448	8770	7	0	3	1	1	0	1	0	0	4	0	0	0	0	0	0	18	0	27	0	0	0	0	15	0	0	0	21	0	0	0	0	0	0	2	46	2	0	0	0	0	0	3	0	81	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	1	0	0	2
26022	45101	"Nisi Fen"	40.81667	21.91667	970	"AWI"	970	8244	9547	8933	2	2	1	1	1	0	3	0	1	0	0	0	0	0	0	0	10	0	131	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	40	2	0	0	0	0	0	0	0	131	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	5	6	0	0	1
26022	45101	"Nisi Fen"	40.81667	21.91667	982	"AWI"	982	8435	9741	9134	3	0	3	0	5	0	6	0	2	0	0	0	1	1	0	0	20	1	19	0	0	0	0	18	0	22	0	18	0	0	0	0	0	0	0	60	8	0	0	0	0	0	76	0	69	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	2
26022	45101	"Nisi Fen"	40.81667	21.91667	993	"AWI"	993	8636	9847	9320	3	0	3	2	3	0	5	0	0	1	0	0	0	0	0	0	13	0	33	0	0	0	0	16	0	0	0	21	0	0	0	0	0	0	0	67	4	0	1	0	0	0	1	0	83	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	1018	"AWI"	1018	9210	10088	9751	2	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	6	1	40	0	0	0	0	13	0	0	0	32	0	0	0	0	0	0	0	45	4	0	0	0	0	0	7	0	68	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	6	0	0	0	2
26022	45101	"Nisi Fen"	40.81667	21.91667	1049	"AWI"	1049	9910	10334	10191	2	0	1	4	1	0	3	0	1	0	0	0	0	0	0	0	3	0	29	0	0	0	0	7	0	0	0	30	0	0	0	0	0	0	1	50	6	0	0	0	0	0	0	0	75	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	1080	"AWI"	1080	10278	10872	10591	1	0	5	1	1	0	5	0	1	0	0	0	0	1	0	0	0	0	149	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	115	0	0	0	0	0	1	11	0	0	0	0	0	0	0	1	1	10	0	0	1
26022	45101	"Nisi Fen"	40.81667	21.91667	1100	"AWI"	1100	10404	11134	10748	0	0	6	9	4	0	5	0	7	4	0	0	0	2	0	0	1	0	23	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	57	2	0	0	0	0	0	0	0	165	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	5	5	0	0	0
26022	45101	"Nisi Fen"	40.81667	21.91667	1120	"AWI"	1120	10505	11428	10864	0	0	5	3	2	0	3	0	4	0	0	0	0	2	0	0	3	0	16	0	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	115	4	0	0	0	0	1	12	0	0	0	0	0	0	0	0	1	14	0	0	2
26022	45101	"Nisi Fen"	40.81667	21.91667	1140	"AWI"	1140	10622	11747	10965	1	0	4	3	3	0	6	0	2	1	0	0	0	3	0	0	3	0	30	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	104	0	0	1	0	0	2	11	1	0	0	0	0	0	0	3	2	6	0	0	0
