"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	0	"AWI"	0	-106	57	-20	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	1	0	0	0	0	0	0	10	1	0	0	0	0	63	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	710	"AWI"	710	10692	12639	11691	1	0	0	1	0	0	0	0	25	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	720	"AWI"	720	11117	12928	12032	0	0	0	0	0	0	0	0	24	0	9	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	730	"AWI"	730	11506	13260	12374	0	0	0	0	1	0	0	0	18	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	740	"AWI"	740	12074	13517	12689	0	0	0	1	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	5	0	0	0	0	0	3	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	742	"AWI"	742	12143	13585	12758	0	0	0	2	0	0	0	0	63	0	38	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	6	3	0	0	1	0	0	0	0	1	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	745	"AWI"	745	12334	13722	12968	0	0	0	2	0	0	0	0	27	0	61	4	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	11	0	0	0	0	0	0	2	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	747.5	"AWI"	747.5	12423	13867.5	13159	0	0	0	0	0	0	0	0	19	0	126	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	750	"AWI"	750	12488	14050	13343	0	0	0	1	0	0	0	0	8	0	25	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
15749	24195	"Mittlere Hellelen"	46.28306	7.84417	755	"AWI"	755	12593	14535	13675	0	0	0	0	1	0	0	1	19	0	130	0	0	0	0	0	0	0	1	1	4	4	0	0	0	0	0	0	0	0	0	0	25	0	2	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	1	0	0	0	0	0
