"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9591	14110	"Kelly's Lough"	52.958352	-6.426246	90	"AWI"	90	363	729	530	1	56	1	2	0	0	0	16	0	0	0	0	0	0	180	0	53	0	0	0	9	0	0	65	0	0	0	0	6	0	0	0	0	14.5	17	156	1	0	16	0	25	3	0	2	0	0	0	3	0	1	11	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	95	"AWI"	95	414	759	561	0	39	1	0	0	2	0	17	0	0	2	0	0	0	147	0	36	0	0	0	3	0	1	42	0	0	0	0	5	0	0	0	0	2.5	15	119	0	1	27	0	16	1	0	1	0	0	0	1	0	0	8	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	100	"AWI"	100	442	802	593	0	40	0	1	0	2	0	19	0	0	0	0	1	0	155	2	44	0	0	0	6	0	1	102	0	0	0	1	3	0	0	0	0	6.5	18	122	0	1	19	0	36	0	7	1	0	0	0	3	0	0	8	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	105	"AWI"	105	491	847	650	0	42	0	2	0	1	0	15	0	0	3	0	1	1	118	0	31	0	0	0	2	0	1	94	0	0	0	0	4	0	0	0	0	5	8	0	0	0	19	3	15	1	0	1	0	0	0	2	0	0	9	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	110	"AWI"	110	518	928	704	0	47	0	1	0	3	0	22	0	0	0	0	0	0	159	0	54	0	0	0	3	0	0	89	0	0	0	0	2	0	0	0	0	8.5	14	0	0	0	23	0	30	4	0	4	0	0	0	2	0	0	6	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	115	"AWI"	115	571	965	764	0	49	0	0	1	1	0	23	1	0	0	0	0	0	144	0	27	0	0	0	3	0	0	88	0	0	0	0	1	0	0	0	0	8.5	12	129	0	0	18	0	33	5	0	0	0	0	0	3	0	0	13	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	120	"AWI"	120	606	1038	819	0	37	0	0	1	2	0	9	0	0	0	0	1	0	128	0	41	0	0	1	3	0	0	101	0	0	3	0	3	0	0	0	0	5	18	148	0	0	17	0	16	5	0	0	0	0	1	1	0	0	7	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	125	"AWI"	125	681	1072	876	0	44	1	1	2	0	0	23	0	0	0	0	0	0	138	0	28	0	0	1	3	0	0	109	0	0	0	0	2	0	0	0	0	16	16	0	0	0	14	0	20	3	0	1	0	0	0	2	0	0	8	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	130	"AWI"	130	724	1125	934	0	34	1	2	0	2	0	12	0	0	1	0	1	0	136	0	29	0	0	0	3	0	0	66	0	0	2	0	0	0	0	0	0	7	13	0	0	1	25	7	20	2	0	3	0	0	0	0	0	0	8	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	135	"AWI"	135	812	1147	988	0	51	0	1	0	0	0	19	0	0	0	0	0	0	127	0	30	0	0	0	2	0	1	89	0	0	0	0	4	0	0	0	0	7.5	13	190	0	0	10	0	0	10	0	1	1	0	0	5	0	0	5	0
