"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15709	24106	"Lake Maliq"	40.76667	20.78333	160	"AWI"	160	1178	2238	1731	14	0	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	127	0	1	0	0	0	5	0	0	0	0	3	0	0	0	0	1	157	0	1	0	0	0	0	59	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	170	"AWI"	170	1240	2328	1860	15	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	6	0	0	0	0	3	1	1	0	3	0	120	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	180	"AWI"	180	1412	2382	2001	6	0	14	6	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	1	69	0	0	0	0	0	20	7	0	0	0	4	0	1	0	0	0	75	0	0	0	0	0	0	80	2	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	190	"AWI"	190	1611	2447	2118	3	0	8	4	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	4	84	0	0	0	0	0	21	0	0	0	1	5	0	1	0	11	1	102	2	1	0	0	0	0	99	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	200	"AWI"	200	1792	2536	2246	5	0	6	6	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	90	0	1	0	0	0	3	0	0	0	0	0	0	3	2	5	0	76	2	0	0	0	0	0	66	1	0	0	0	8	3	6	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	215	"AWI"	215	2134	2680	2396	8	0	3	4	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	50	0	0	0	0	0	12	0	0	0	0	3	0	2	1	6	0	119	2	3	0	0	0	0	81	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	225	"AWI"	225	2214	2758	2470	9	0	4	3	0	0	4	0	4	0	0	1	0	0	0	0	0	0	0	0	35	0	0	0	0	0	3	0	0	0	0	1	0	2	0	3	0	92	0	1	0	0	0	0	89	0	0	0	0	13	0	1	0	0	0	0	1	2	2	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	235	"AWI"	235	2278	2867	2528	6	0	10	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	90	0	1	0	0	0	22	0	0	0	1	3	0	2	0	11	0	124	0	0	0	0	0	0	95	0	1	0	0	3	0	21	0	0	0	0	0	1	0	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	240	"AWI"	240	2302	2938	2548	7	0	7	3	1	0	4	0	3	0	0	0	0	0	0	1	0	0	0	1	102	0	0	0	0	0	14	0	0	0	1	1	1	1	0	0	0	71	2	1	0	0	0	0	57	1	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	245	"AWI"	245	2330	3017	2570	3	0	6	2	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	97	0	0	0	0	0	20	0	0	0	0	0	0	0	0	19	0	86	2	0	0	0	0	0	101	0	0	1	0	1	0	10	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	250	"AWI"	250	2364	3081	2589	8	0	6	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	159	0	0	0	0	0	13	0	0	0	0	1	1	2	0	0	0	75	0	0	0	0	0	0	54	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	255	"AWI"	255	2418	3131	2609	9	0	6	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	194	0	0	0	0	0	23	0	0	0	0	0	0	0	0	12	0	137	1	0	0	0	0	0	90	2	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	260	"AWI"	260	2460	3195	2630	3	0	6	6	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	259	0	1	0	0	0	6	0	0	0	0	0	1	0	0	5	0	70	0	0	0	0	0	0	39	0	1	0	0	1	0	18	0	0	1	0	0	0	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	265	"AWI"	265	2492	3265	2650	8	0	1	4	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	94	0	0	0	0	0	8	0	0	0	1	0	1	1	0	3	0	105	0	0	0	0	0	0	27	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	267	"AWI"	267	2513	3277	2654	10	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	73	0	0	0	0	0	8	3	0	0	0	1	2	1	0	0	0	76	0	0	0	0	0	0	38	0	1	0	0	1	0	14	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	275	"AWI"	275	2568	3338	2678	10	0	12	2	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	3	60	0	0	0	0	0	9	0	0	0	1	0	0	0	0	7	0	91	1	0	0	0	0	0	54	0	0	0	0	1	0	6	0	0	0	0	0	2	1	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	280	"AWI"	280	2676	3415	2773	16	0	6	3	1	0	0	0	0	2	0	38	0	0	0	0	0	0	0	2	47	0	0	0	0	0	15	0	0	0	0	1	0	1	0	3	0	116	0	0	0	0	0	0	54	0	2	0	0	1	0	4	0	0	0	0	0	0	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	285	"AWI"	285	3070	3619	3183	24	0	3	8	2	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	84	0	0	0	0	0	9	0	0	0	0	2	0	1	0	0	0	143	0	0	0	0	0	0	53	2	2	0	0	4	0	1	0	0	1	0	0	2	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	290	"AWI"	290	3426	3838	3590	23	0	1	4	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	1	176	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	156	1	0	0	0	0	0	85	0	3	0	0	1	0	0	0	0	0	0	0	1	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	295	"AWI"	295	3745	4147	3942	43	0	3	4	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	109	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
