"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Ligustrum"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
26066	45219	"Malham Tarn"	54.09639	-2.16361	2	"AWI"	2	-86	161	3	1.23456790123457	0.823045267489712	0.823045267489712	0	0	0	5.34979423868313	0	0.411522633744856	0	0	0	7.81893004115226	0	2.05761316872428	0	0	0	0	0.823045267489712	1.23456790123457	0	0	0.411522633744856	0	0	0	0	0	6.5843621399177	0	63.7860082304527	0	0	7.40740740740741	0	0	0	0	0	0	0	0	0	0.411522633744856	0	0	0.823045267489712	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	10	"AWI"	10	15	519	224	3.2967032967033	0	0	0	0	0	4.3956043956044	0	0.366300366300366	0	0	0	2.56410256410256	0	17.2161172161172	0	0	0	0.366300366300366	1.0989010989011	1.46520146520147	0	0	0	0.366300366300366	0	0	0	0	4.76190476190476	0	53.8461538461538	0	0	6.22710622710623	0	0	0.366300366300366	0	0.732600732600733	0	0	0	0	0	0	0	2.93040293040293	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	18	"AWI"	18	193	682	458	0.958466453674121	0	0.958466453674121	0.319488817891374	0.319488817891374	0	1.91693290734824	0.319488817891374	0	0	0	0	5.75079872204473	0	29.073482428115	0	0	0	0	0.319488817891374	3.19488817891374	0	9.90415335463259	0	0.319488817891374	0	0	0	0	1.2779552715655	0	40.2555910543131	0	0	3.51437699680511	0	0	0	0	0	0	0	0	0	0	0	0	1.59744408945687	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	26	"AWI"	26	460	839	694	4.24242424242424	0.303030303030303	0.303030303030303	0	0.303030303030303	0	3.03030303030303	0.303030303030303	0	0	0	0	9.39393939393939	0	30.6060606060606	0	0	0	0.303030303030303	0.303030303030303	0.909090909090909	0	0	0	0.303030303030303	0	0	0	0.303030303030303	0.909090909090909	0	36.969696969697	0	0	5.45454545454545	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0.303030303030303	2.42424242424242	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	34	"AWI"	34	791	984	885	12.2257053291536	0	0.626959247648903	0	0.313479623824451	0	8.15047021943574	0	0	0.626959247648903	0	0	20.6896551724138	0	20.6896551724138	0	0	0	0	0.313479623824451	1.56739811912226	0	0	0	0	0	0	0.626959247648903	0	0.313479623824451	0	19.435736677116	0	0	12.2257053291536	0	0	0	0	0.626959247648903	0	0	0	0	0	0	0	1.56739811912226	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	42	"AWI"	42	894	1179	1040	13.5135135135135	0	0	0	0.600600600600601	0	14.1141141141141	0	0	0.3003003003003	0	0	15.3153153153153	0.3003003003003	19.5195195195195	0	0	0.3003003003003	0	0	1.8018018018018	0	0	0	0	0	0	0	0	0	0	26.4264264264264	0	0	6.30630630630631	0	0	0.3003003003003	0	0.3003003003003	0.3003003003003	0	0	0	0	0	0	0.600600600600601	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	50	"AWI"	50	1030	1306	1206	14.0562248995984	0.401606425702811	0	0	0.803212851405622	0	8.03212851405623	0.401606425702811	0	0.803212851405622	0	0	24.8995983935743	0	22.8915662650602	0	0.401606425702811	0	0	1.20481927710843	1.60642570281124	0.401606425702811	0	0	0	0	0	0.803212851405622	0	0	0	0	0	0	15.6626506024096	0	0	0.401606425702811	4.81927710843374	1.20481927710843	0.401606425702811	0	0	0	0.401606425702811	0	0	0.401606425702811	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	58	"AWI"	58	1277	1437	1347	15.3638814016173	0	0.269541778975741	0	0	0	9.70350404312669	0	0	0.808625336927224	0	0	25.3369272237197	0	17.2506738544474	0	0	0	0	0.808625336927224	0.808625336927224	0	4.5822102425876	0	0	0	0	0.269541778975741	0	0.539083557951483	0	17.2506738544474	0	0	6.19946091644205	0	0	0	0	0.269541778975741	0	0	0.269541778975741	0	0	0	0	0.269541778975741	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	66	"AWI"	66	1362	1719	1496	14.1479099678457	0	0	0	0.321543408360129	0	9.64630225080386	0	0	0	0	0	18.6495176848875	0	43.0868167202572	0	0	0	0	0	0.964630225080386	0	0	0	0	0	0	0	0	0.643086816720257	0	0	0	0	8.68167202572347	0	0	0.321543408360129	1.60771704180064	0.964630225080386	0	0	0	0	0	0	0	0.964630225080386	0	0
26066	45219	"Malham Tarn"	54.09639	-2.16361	74	"AWI"	74	1460	1908	1668	7.66283524904215	0.766283524904214	0	0	1.14942528735632	0	3.44827586206897	0.383141762452107	0	0	0	0	18.3908045977011	0	54.4061302681992	0	0	0	0	0	1.53256704980843	0	4.59770114942529	0	0	0	0	0	0	0.383141762452107	0	0	0	0	6.13026819923372	0	0	0.383141762452107	0	0	0	0	0	0	0.383141762452107	0	0	0.383141762452107	0	0
