"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	25	"AWI"	25	212	1161	648	165	6	0	0	1	0	1	0	0	0	0	0	13	67	0	0	0	0	1	2	0	2	5	0	0	18	1	0	0	0	0	0	2	0	0	6	6	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	30	"AWI"	30	685	1624	1119	166	1	2	1	0	0	0	0	0	0	0	0	20	18	0	0	3	0	0	1	0	2	0	0	0	15	0	0	0	0	0	0	1	0	0	3	3	2
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	35	"AWI"	35	1627	2320	1970	228	1	1	1	0	0	0	0	0	0	0	0	59	5	0	0	3	0	0	0	1	0	1	0	0	20	0	0	0	0	0	0	0	0	0	8	6	1
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	40	"AWI"	40	2562	3051	2816	59	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	45	"AWI"	45	3473	3816	3662	199	1	2	3	0	0	0	0	0	0	0	0	35	16	0	0	1	0	0	0	0	4	0	0	0	19	0	0	0	0	1	0	1	0	0	7	10	1
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	50	"AWI"	50	4259	4636	4518	211	0	2	0	3	0	0	2	0	0	0	0	28	22	0	0	1	0	0	0	0	8	2	0	0	17	0	0	0	0	0	0	4	0	0	5	5	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	55	"AWI"	55	4974	5516	5386	281	1	4	0	0	0	0	2	0	0	0	0	32	18	0	4	0	0	0	0	0	3	0	0	0	33	0	0	0	0	0	0	4	0	0	8	0	2
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	60	"AWI"	60	5082	5587	5474	178	0	5	0	0	0	1	1	1	0	0	0	16	26	0	2	0	0	0	0	0	1	1	9	0	24	0	0	0	0	4	0	12	0	0	2	2	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	65	"AWI"	65	5149	5609	5500	239	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	70	"AWI"	70	5232	5656	5518	257	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	1	0	0	15	0	0	0	0	0	0	2	0	0	2	1	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	75	"AWI"	75	5319	5709	5542	60	0	1	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	80	"AWI"	80	5355	5769	5566	99	0	0	1	0	0	0	1	0	0	0	0	14	14	0	0	0	0	0	1	0	4	0	0	0	19	0	0	0	0	0	0	1	0	0	1	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	85	"AWI"	85	5486	5866	5675	359	0	8	1	0	0	0	0	0	0	0	0	28	12	0	0	0	2	0	0	1	2	1	0	0	46	0	0	0	0	0	0	4	0	0	4	1	1
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	90	"AWI"	90	5676	6115	5901	277	0	1	0	0	0	1	1	0	0	0	0	14	34	0	0	0	2	0	1	0	0	1	0	1	28	0	0	0	0	2	1	0	1	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	95	"AWI"	95	5764	6467	6117	33	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	100	"AWI"	100	5834	6812	6341	72	0	0	0	0	0	2	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	105	"AWI"	105	5894	7178	6567	123	0	0	1	1	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	1	0	1	0	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	110	"AWI"	110	5951	7538	6800	105	0	0	1	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	1	0	0	0	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	115	"AWI"	115	6348	7689	7069	155	0	1	3	0	0	0	0	0	0	0	0	28	9	0	0	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	0	0	0	0	1	1	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	120	"AWI"	120	6806	7813	7345	111	0	1	0	0	0	0	0	0	0	0	0	29	2	0	0	0	0	0	0	0	4	1	0	0	3	0	1	0	0	0	0	1	0	0	15	4	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	150	"AWI"	150	8205	8652	8424	22	0	0	0	0	0	1	0	0	0	0	0	27	3	0	0	1	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	1	3	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	160	"AWI"	160	8272	8727	8481	2	0	1	0	1	0	0	0	0	0	0	0	107	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	1	1	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	165	"AWI"	165	8301	8780	8509	9	0	0	0	0	0	0	0	0	0	0	0	35	6	0	0	0	0	0	1	0	9	0	0	0	3	0	0	0	0	0	0	1	0	0	0	9	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	175	"AWI"	175	8419	8831	8570	24	0	1	1	0	0	0	0	0	0	0	0	41	2	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	1	0	0	2	7	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	185	"AWI"	185	8477	8893	8642	24	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	205	"AWI"	205	8618	9013	8801	22	2	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	0	0	0	25	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	215	"AWI"	215	8673	9074	8893	1	0	4	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	2	0	17	1	0	0	5	0	0	0	0	1	0	2	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	225	"AWI"	225	8731	9148	8964	49	0	2	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	2	0	0	2	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	230	"AWI"	230	8770	9167	8995	36	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	240	"AWI"	240	8825	9222	9045	118	0	2	0	0	12	0	0	0	0	0	0	37	20	0	0	2	0	0	0	0	9	0	0	0	15	0	0	0	0	0	0	1	0	0	4	1	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	290	"AWI"	290	9168	9475	9329	0	0	0	0	0	0	0	0	0	0	1	0	39	1	0	0	0	0	1	1	0	5	0	0	0	8	0	0	0	0	0	0	3	0	0	0	6	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	300	"AWI"	300	9216	9549	9393	0	1	3	1	0	0	0	0	0	0	0	0	30	5	0	0	0	0	0	2	0	8	0	0	1	15	0	0	0	0	0	0	0	0	0	0	6	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	305	"AWI"	305	9245	9596	9427	1	0	1	0	0	0	0	0	0	0	0	0	40	3	0	0	0	0	0	0	0	3	2	0	0	12	0	0	0	0	0	0	1	0	0	0	6	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	310	"AWI"	310	9310	9624	9473	0	1	2	0	0	0	0	0	0	0	0	0	62	6	0	0	0	0	0	0	0	6	0	0	0	29	0	0	0	0	0	0	0	0	0	0	7	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	315	"AWI"	315	9363	9679	9518	0	0	1	0	1	0	0	0	0	0	0	0	54	1	0	0	0	0	0	0	0	8	0	0	0	19	0	0	0	0	0	0	1	0	0	0	10	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	340	"AWI"	340	10110	10619	10346	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	350	"AWI"	350	10793	11491	11226	8	0	1	0	1	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	96	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	355	"AWI"	355	11120	11972	11663	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	360	"AWI"	360	11411	12448	12072	0	0	3	0	1	0	4	0	0	0	0	0	2	9	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	375	"AWI"	375	11643	12562	12215	0	0	7	0	1	0	2	0	0	1	0	0	3	23	0	0	0	0	0	1	0	230	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	380	"AWI"	380	11686	12617	12260	0	0	3	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	395	"AWI"	395	12123	12786	12484	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	400	"AWI"	400	12337	12852	12592	0	0	2	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	1	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	405	"AWI"	405	12467	12931	12699	0	0	8	0	3	0	2	0	0	0	0	0	1	12	0	0	0	0	0	1	0	207	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	408	"AWI"	408	12516	13009	12755	14	1	20	0	31	0	2	0	0	0	1	1	17	12	0	0	1	0	0	5	0	103	0	0	1	4	0	0	0	1	1	0	1	0	4	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	411	"AWI"	411	12544	13126	12814	0	0	11	0	11	0	10	0	0	0	0	0	0	17	0	0	0	0	0	1	0	168	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0
15926	24534	"Tourbière de Parcay-sur-Vienne"	47.09222	0.48056	415	"AWI"	415	12584	13311	12896	16	0	4	0	7	0	5	0	0	0	2	0	14	21	0	0	0	0	0	0	1	164	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
