"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	480	"AWI"	480	5040	5752	5382	107	1	23	0	0	0	0	11	0	0	0	0	0	0	0	6	5	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	0	958	55	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	500	"AWI"	500	5295	5866	5551	56	0	9	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	975	31	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	520	"AWI"	520	5460	6233	5766	169	1	43	0	0	1	0	13	0	0	0	0	0	0	0	9	18	0	0	0	0	45	0	0	0	0	0	2	0	0	0	0	0	0	58	0	0	0	3	0	0	0	0	0	0	0	0	2	6	1
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	540	"AWI"	540	5624	6758	6067	74	0	96	0	2	1	0	19	0	0	0	0	0	0	0	28	62	0	0	0	1	65	0	1	0	0	0	0	0	0	0	0	0	0	66	0	0	0	3	0	0	0	0	0	0	0	0	5	4	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	560	"AWI"	560	5797	7229	6379	40	2	14	0	1	1	0	4	0	0	0	0	0	0	0	19	5	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	580	"AWI"	580	5993	7655	6695	45	0	34	1	1	0	0	7	0	0	0	0	0	0	0	4	18	0	0	0	1	33	0	1	0	0	0	1	0	2	0	0	0	767	62	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	600	"AWI"	600	6202	8050	7007	86	5	64	1	2	2	8	16	0	0	0	0	0	1	0	22	13	0	0	0	0	24	0	4	0	0	0	2	0	0	1	0	0	0	139	0	0	0	3	0	0	0	0	1	1	0	0	2	6	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	620	"AWI"	620	6466	8362	7337	36	2	194	0	3	3	0	39	1	0	0	0	2	1	0	54	28	0	0	0	0	46	0	5	0	0	0	2	0	0	1	0	0	0	126	0	0	0	4	0	0	0	0	0	3	0	0	3	20	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	640	"AWI"	640	6717	8651	7661	52	1	122	0	2	1	0	25	0	0	0	0	0	0	0	47	7	0	0	0	0	57	0	0	0	0	0	2	1	0	0	0	0	0	160	0	0	0	1	0	0	0	0	0	2	0	0	2	11	1
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	660	"AWI"	660	6972	8923	7979	54	0	71	0	1	2	0	6	0	0	0	0	0	0	0	44	2	0	0	0	0	49	0	0	0	0	0	1	0	0	0	0	0	0	102	0	0	0	1	0	0	0	0	0	3	0	0	7	10	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	680	"AWI"	680	7260	9212	8291	39	0	178	2	1	3	0	26	0	0	0	0	0	1	0	66	4	0	0	0	1	66	0	2	0	0	0	0	0	1	0	0	0	0	112	0	0	0	2	0	0	0	0	0	0	0	0	9	14	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	700	"AWI"	700	7569	9447	8631	17	0	116	2	4	0	0	10	1	0	0	0	0	0	0	30	5	0	0	0	1	34	0	2	0	0	0	0	0	0	0	0	0	996	66	0	0	0	3	0	0	0	0	0	0	0	0	8	19	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	710	"AWI"	710	7797	9549	8789	5	1	112	1	2	2	0	36	0	0	0	0	0	0	0	50	4	0	0	0	0	36	0	2	0	0	0	0	0	1	0	0	0	895	71	0	0	0	2	0	0	1	0	0	0	0	0	7	43	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	720	"AWI"	720	7975	9651	8958	2	2	150	0	0	3	0	30	0	0	0	0	0	0	0	69	6	0	0	0	0	23	0	2	0	0	0	0	0	1	0	0	0	0	134	0	0	0	2	0	0	1	0	1	1	0	0	15	55	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	730	"AWI"	730	8146	9775	9116	0	2	46	0	1	2	0	65	1	1	0	0	0	0	0	80	4	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	681	320	0	0	0	4	0	0	0	0	0	1	0	0	6	23	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	740	"AWI"	740	8433	9851	9265	0	0	49	1	2	4	0	49	1	0	0	0	0	0	0	146	3	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	726	295	0	0	0	5	0	0	0	0	0	2	0	0	13	53	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	750	"AWI"	750	8628	9968	9424	0	0	33	0	3	3	18	109	0	0	0	0	0	0	0	28	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	227	934	0	0	0	1	0	0	2	0	0	1	0	1	3	49	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	760	"AWI"	760	8792	10074	9558	0	0	13	8	5	47	22	131	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	8	0	2	0	0	0	43	0	0	0	0	3	0	0	1	0	7	0	0	2	1	0	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	770	"AWI"	770	8946	10176	9685	0	0	16	9	4	36	17	342	0	0	0	0	0	0	2	0	7	5	0	0	2	0	0	0	0	0	0	10	0	3	2	0	0	46	0	0	0	0	0	0	0	5	0	0	0	0	3	1	6	0
3089	4024	"Dürrenecksee-Moor"	47.16667	13.86667	780	"AWI"	780	9037	10367	9812	0	0	3	5	0	3	0	55	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	616	0	0	0	0	0	0	1	0	2	0	0	2	1	1	0
