"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14630	22942	"Woryty"	53.7525	20.206322	20	"AWI"	20	-6	783	269	0	0	38	1	0	0	0	16	0	0	0	0	10	1	9	0	0	0	0	8	0	0	0	0	0	0	9	0	1	0	0	15	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
14630	22942	"Woryty"	53.7525	20.206322	40	"AWI"	40	107	1405	571	0	0	49	2	0	0	0	11	0	0	0	0	13	3	15	0	0	0	0	13	0	0	0	0	0	0	8	2	0	0	0	11	0	0	0	0	0	13	0	11	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
14630	22942	"Woryty"	53.7525	20.206322	60	"AWI"	60	235	1603	886	0	0	130	2	0	0	0	7	0	0	0	0	4	0	11	0	0	0	0	31	0	0	0	0	0	0	21	0	4	0	0	2	0	0	1	0	2	107	0	8	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	11	0	0
14630	22942	"Woryty"	53.7525	20.206322	80	"AWI"	80	528	1806	1202	0	0	160	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	38	0	0	0	0	0	0	26	0	6	0	0	2	0	0	0	0	0	214	0	4	0	0	0	0	0	0	1	92	0	0	0	0	0	0	0	0	0	0	0	1	0	0	33	12	0	0
14630	22942	"Woryty"	53.7525	20.206322	100	"AWI"	100	794	2021	1547	0	0	203	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	45	0	0	0	0	0	0	12	2	9	0	0	0	0	0	0	0	0	48	0	4	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	5	0	0
14630	22942	"Woryty"	53.7525	20.206322	120	"AWI"	120	1413	2118	1797	0	1	226	2	0	0	0	10	0	0	0	0	2	0	5	0	0	0	0	60	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	45	0	5	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	5	0	0
14630	22942	"Woryty"	53.7525	20.206322	130	"AWI"	130	1648	2193	1929	1	0	179	2	0	0	0	21	0	0	0	0	2	2	0	0	0	0	0	59	16	0	0	0	0	0	10	0	6	0	0	1	0	0	0	0	0	54	0	3	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0
14630	22942	"Woryty"	53.7525	20.206322	140	"AWI"	140	1783	2283	2033	1	0	238	2	0	0	0	22	0	0	0	0	0	0	7	0	0	0	0	36	0	0	0	0	0	0	9	2	7	2	0	0	0	0	0	0	0	94	0	4	0	0	0	0	5	0	0	112	0	0	0	0	0	0	0	0	1	0	0	0	0	1	16	10	0	0
14630	22942	"Woryty"	53.7525	20.206322	150	"AWI"	150	1887	2341	2112	0	2	202	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	175	0	4	0	0	0	0	0	0	1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0
14630	22942	"Woryty"	53.7525	20.206322	160	"AWI"	160	1950	2465	2183	0	2	221	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	63	0	0	0	0	0	0	3	0	10	0	0	0	0	0	1	0	0	146	0	4	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	16	0
