"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Ulmus"
3065	3995	"Coolteen"	52.35	-6.6	100	"AWI"	100	12451	13097	12784	23	0	0	0	0	0	1	0	0	0	0	125	19	0	0	0	0	0	1	0	1	10	3	0	0	1	0	0	15	0	0	0	44	0	0	0	2	23	0	0	0	0	10
3065	3995	"Coolteen"	52.35	-6.6	102	"AWI"	102	12465	13101	12791	0	0	0	0	3	0	0	0	0	2	0	0	58	0	0	0	0	0	0	0	0	1	109	0	0	0	0	0	70	0	0	0	0	4	0	2	5	27	0	0	0	0	0
3065	3995	"Coolteen"	52.35	-6.6	108	"AWI"	108	12496	13123	12815	0	0	1	0	0	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	2	216	0	0	3	0	0	115	0	0	0	0	16	0	0	18	47	1	1	0	4	0
3065	3995	"Coolteen"	52.35	-6.6	116	"AWI"	116	12541	13150	12847	0	0	0	1	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	3	171	0	0	0	0	0	110	0	0	0	0	15	0	1	14	27	0	0	0	3	0
3065	3995	"Coolteen"	52.35	-6.6	125	"AWI"	125	12591	13182	12881	0	1	0	3	5	0	0	0	0	2	0	1	103	0	0	0	0	0	0	0	0	7	7	0	0	5	0	0	173	0	0	0	1	24	0	0	25	6	0	0	0	2	0
3065	3995	"Coolteen"	52.35	-6.6	135	"AWI"	135	12635	13217	12922	0	0	0	14	2	0	0	0	0	14	1	4	132	0	0	0	0	0	0	0	0	15	0	0	0	13	0	0	93	0	0	0	0	11	0	1	15	27	0	0	0	8	0
3065	3995	"Coolteen"	52.35	-6.6	145	"AWI"	145	12670	13258	12965	0	0	0	5	0	0	2	0	0	31	1	1	167	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	81	0	0	0	0	1	0	1	9	33	0	0	0	5	0
3065	3995	"Coolteen"	52.35	-6.6	160	"AWI"	160	12735	13320	13029	0	2	0	8	2	0	4	0	0	22	0	1	153	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	129	0	0	0	0	0	0	0	15	25	0	0	0	5	0
3065	3995	"Coolteen"	52.35	-6.6	170	"AWI"	170	12785	13364	13072	5	0	1	12	2	7	1	0	0	9	0	1	100	0	0	0	0	0	0	0	0	16	0	0	0	16	0	0	109	0	0	0	1	10	0	0	24	15	0	0	0	5	0
3065	3995	"Coolteen"	52.35	-6.6	180	"AWI"	180	12821	13412	13115	2	0	0	35	0	5	0	0	0	9	0	1	119	0	0	0	0	0	0	0	0	10	1	0	0	10	0	0	99	2	0	0	0	1	0	0	11	10	1	0	0	3	0
3065	3995	"Coolteen"	52.35	-6.6	200	"AWI"	200	12905	13487	13198	0	0	0	4	0	0	1	0	0	10	0	0	160	1	0	0	0	0	0	0	0	14	1	0	0	7	0	0	149	0	0	0	0	0	0	0	23	8	0	0	0	0	0
3065	3995	"Coolteen"	52.35	-6.6	215	"AWI"	215	12975	13544	13261	0	0	1	3	3	0	5	0	0	23	0	2	154	0	0	0	0	0	0	0	0	8	0	0	0	6	0	1	104	0	0	0	0	2	0	0	54	15	0	0	0	3	0
3065	3995	"Coolteen"	52.35	-6.6	230	"AWI"	230	13039	13599	13323	1	0	0	11	4	0	7	0	0	10	0	1	128	0	0	0	0	0	0	0	0	15	0	0	0	6	0	0	106	0	0	0	0	0	0	3	44	5	0	0	0	4	1
3065	3995	"Coolteen"	52.35	-6.6	245	"AWI"	245	13104	13664	13387	0	0	3	1	5	0	3	0	0	5	0	1	92	0	0	0	0	0	0	0	0	5	6	0	0	11	0	0	182	0	1	0	0	2	0	2	14	1	0	0	0	3	0
3065	3995	"Coolteen"	52.35	-6.6	262	"AWI"	262	13179	13726	13458	0	0	2	1	2	9	1	0	0	2	0	0	79	0	0	0	0	0	0	0	0	6	4	0	0	7	0	0	256	0	0	0	0	16	0	7	16	1	0	0	0	2	0
3065	3995	"Coolteen"	52.35	-6.6	276	"AWI"	276	13222	13780	13507	0	1	0	0	0	0	1	0	0	3	0	0	47	0	0	0	0	0	0	0	0	22	8	2	0	2	0	0	270	0	0	0	0	18	0	3	13	1	0	0	0	0	0
3065	3995	"Coolteen"	52.35	-6.6	286	"AWI"	286	13260	13814	13540	0	0	1	1	0	0	0	0	0	0	0	1	62	0	0	0	0	0	0	0	0	2	4	0	0	4	0	0	204	0	0	0	0	10	0	2	10	1	0	0	0	1	0
3065	3995	"Coolteen"	52.35	-6.6	300	"AWI"	300	13307	13865	13586	0	0	0	0	5	0	0	0	0	5	1	3	60	0	0	0	0	0	0	0	0	14	4	0	0	4	0	0	209	0	0	0	0	11	0	3	7	1	0	0	0	2	0
3065	3995	"Coolteen"	52.35	-6.6	315	"AWI"	315	13360	13923	13636	0	0	1	2	0	6	0	0	0	2	0	1	35	0	0	0	0	0	0	0	0	13	4	0	0	2	0	0	241	0	0	0	0	17	0	8	12	2	0	0	0	1	0
3065	3995	"Coolteen"	52.35	-6.6	325	"AWI"	325	13392	13963	13671	1	0	2	0	0	5	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	229	0	0	0	0	5	0	0	12	3	1	0	1	2	0
3065	3995	"Coolteen"	52.35	-6.6	341	"AWI"	341	13447	14022	13724	3	0	0	0	0	7	1	0	0	3	0	0	65	0	0	0	0	1	0	1	0	12	0	0	0	7	0	0	203	0	0	0	0	5	0	5	9	0	0	0	0	0	0
3065	3995	"Coolteen"	52.35	-6.6	356	"AWI"	356	13496	14073	13774	0	1	0	1	0	0	0	0	0	2	0	1	58	0	0	0	0	0	0	0	0	5	3	0	0	7	0	0	240	0	0	0	1	7	0	5	16	2	0	0	0	2	0
3065	3995	"Coolteen"	52.35	-6.6	370	"AWI"	370	13543	14121	13820	0	0	5	1	2	5	0	0	0	0	0	1	63	0	0	1	0	0	0	0	0	11	1	0	0	8	0	0	212	0	0	0	0	7	0	7	5	3	0	0	0	0	0
3065	3995	"Coolteen"	52.35	-6.6	386	"AWI"	386	13599	14196	13877	5	0	0	1	15	0	0	3	0	5	0	1	37	0	0	0	0	0	0	0	0	6	1	0	0	10	0	0	282	0	0	0	0	17	0	10	38	1	0	0	1	0	0
