"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26575	46475	"Velikoye raised bog"	54.95167	22.34111	0	"AWI"	0	-125	44	-50	13.2492113564669	0.315457413249211	0.315457413249211	4.10094637223975	0	0	0	0.946372239747634	0.315457413249211	19.2429022082019	0	0.946372239747634	2.20820189274448	1.26182965299685	39.1167192429022	1.26182965299685	13.5646687697161	0.630914826498423	0	0	1.26182965299685	0.630914826498423	0.315457413249211	0.315457413249211	0
26575	46475	"Velikoye raised bog"	54.95167	22.34111	20	"AWI"	20	8	423	320	10.9137055837563	1.01522842639594	0.253807106598985	2.53807106598985	0.761421319796954	0	0.253807106598985	1.01522842639594	3.04568527918782	15.7360406091371	0	0	0.761421319796954	8.88324873096447	35.7868020304569	0.50761421319797	14.7208121827411	1.01522842639594	0	0	2.03045685279188	0.761421319796954	0	0	0
26575	46475	"Velikoye raised bog"	54.95167	22.34111	40	"AWI"	40	309	564	493	12.7725856697819	0.311526479750779	0	1.24610591900312	0	29.9065420560748	0	2.18068535825545	0.623052959501558	10.5919003115265	0.311526479750779	0	4.04984423676012	6.54205607476635	20.8722741433022	0.934579439252336	5.60747663551402	2.80373831775701	0	0	0.311526479750779	0	0	0.623052959501558	0.311526479750779
26575	46475	"Velikoye raised bog"	54.95167	22.34111	70	"AWI"	70	523	693	608	23.5127478753541	0	0	0.56657223796034	0	22.6628895184136	0	3.96600566572238	0.84985835694051	2.8328611898017	0	0	8.21529745042493	13.8810198300283	13.8810198300283	0.28328611898017	3.68271954674221	3.96600566572238	0	0	0	0.56657223796034	0	0.84985835694051	0.28328611898017
26575	46475	"Velikoye raised bog"	54.95167	22.34111	90	"AWI"	90	619	821	708	26.9607843137255	0	0	0.245098039215686	0	25	0	1.7156862745098	0	6.37254901960784	0	0.245098039215686	4.41176470588235	4.16666666666667	20.8333333333333	0.245098039215686	2.69607843137255	3.18627450980392	0	0	0	0.490196078431373	0	1.7156862745098	1.7156862745098
26575	46475	"Velikoye raised bog"	54.95167	22.34111	160	"AWI"	160	903	1152	1016	18.8311688311688	0	0	0.649350649350649	0	0	1.94805194805195	5.19480519480519	0.649350649350649	4.54545454545455	0.649350649350649	0.649350649350649	16.8831168831169	14.9350649350649	24.6753246753247	0	0	6.49350649350649	0	0	0	0	0	2.5974025974026	1.2987012987013
26575	46475	"Velikoye raised bog"	54.95167	22.34111	220	"AWI"	220	1155	1391	1287	37.4407582938389	0	0	0	0	0	0	6.16113744075829	0.947867298578199	0	0	0.4739336492891	6.63507109004739	11.8483412322275	31.2796208530806	0	0	3.7914691943128	0	0	0	0	0	0.947867298578199	0.4739336492891
26575	46475	"Velikoye raised bog"	54.95167	22.34111	300	"AWI"	300	1517	1752	1652	21.7592592592593	0	0	0	0	35.1851851851852	0	3.7037037037037	0.925925925925926	1.38888888888889	0	0	8.33333333333333	8.7962962962963	12.037037037037	0	0	5.09259259259259	0	0	0.925925925925926	0.925925925925926	0	0.462962962962963	0.462962962962963
26575	46475	"Velikoye raised bog"	54.95167	22.34111	390	"AWI"	390	1941	2149	2053	21.0526315789474	0	0	0	0	27.4853801169591	0	6.4327485380117	1.16959064327485	0	0.584795321637427	1.16959064327485	4.67836257309941	14.6198830409357	16.374269005848	0	0	3.50877192982456	0	0	0	0	0	2.33918128654971	0.584795321637427
26575	46475	"Velikoye raised bog"	54.95167	22.34111	500	"AWI"	500	2250	2714	2340	21.0958904109589	0	0	0.273972602739726	0	19.7260273972603	0	6.84931506849315	0.547945205479452	13.1506849315068	0.273972602739726	0	4.93150684931507	4.10958904109589	19.1780821917808	0	0	6.02739726027397	0	0	0.273972602739726	0.273972602739726	0	1.91780821917808	1.36986301369863
