"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15710	24108	"Velký Ded"	50.084794	17.217524	0	"AWI"	0	-113	53	-29	18	1	66	5	0	0	12	0	90	0	0	0	4	0	0	0	27	25	0	0	0	0	58	1	7	0	0	0	0	1	3	0	1	0	0	17	19	0	128	191	0	207	0	0	0	30	0	0	0	0	8	2	0	0	0	1	0	2	2	24
15710	24108	"Velký Ded"	50.084794	17.217524	5	"AWI"	5	-21	839	232	43	1	83	4	2	0	14	0	60	0	0	0	6	0	0	0	43	53	0	10	0	0	84	0	3	1	0	1	0	3	5	0	2	0	0	9	34	0	142	140	0	166	0	0	0	31	0	0	1	0	3	1	0	0	0	0	1	10	8	13
15710	24108	"Velký Ded"	50.084794	17.217524	10	"AWI"	10	119	1181	542	34	2	66	6	1	0	13	0	60	0	0	0	1	0	3	0	27	63	0	11	0	0	86	1	2	0	0	0	0	3	6	0	1	0	0	28	19	0	204	137	0	123	0	1	0	32	7	0	0	0	4	3	0	0	0	0	1	7	7	5
15710	24108	"Velký Ded"	50.084794	17.217524	15	"AWI"	15	323	1468	842	59	1	66	4	3	0	18	0	99	0	0	0	6	0	0	0	44	58	0	22	0	0	115	0	5	0	0	0	0	1	3	2	0	1	0	4	25	1	115	143	0	142	0	3	0	50	0	0	4	0	3	0	0	0	1	0	0	7	5	4
15710	24108	"Velký Ded"	50.084794	17.217524	20	"AWI"	20	567	1716	1141	20	0	67	3	5	0	6	0	79	0	5	0	9	0	3	0	25	69	0	13	3	0	64	0	0	0	0	0	1	2	6	0	0	0	0	11	11	1	156	237	0	237	0	0	2	37	0	0	1	32	3	0	0	3	0	1	0	0	5	4
15710	24108	"Velký Ded"	50.084794	17.217524	25	"AWI"	25	919	1929	1438	119	5	70	4	1	0	31	0	95	0	0	0	7	0	0	0	18	60	0	22	0	0	207	0	4	0	0	1	2	0	1	0	0	0	0	13	36	0	115	151	0	94	0	6	0	25	0	0	2	0	6	0	0	0	0	2	1	2	24	4
15710	24108	"Velký Ded"	50.084794	17.217524	30	"AWI"	30	1340	2155	1711	116	2	91	1	4	0	31	0	87	0	0	1	2	0	0	0	18	48	0	14	0	0	124	0	3	0	0	2	0	0	1	0	0	0	0	28	49	0	68	83	0	0	0	2	0	26	8	0	3	0	1	1	0	1	0	0	0	4	9	7
15710	24108	"Velký Ded"	50.084794	17.217524	35	"AWI"	35	1571	2557	1997	168	1	83	1	1	0	24	0	96	0	0	0	4	0	0	1	16	53	0	0	0	0	239	0	4	0	0	0	1	0	3	0	0	0	0	8	53	0	59	95	0	0	0	2	0	38	0	0	2	0	4	0	0	0	0	0	1	3	12	0
15710	24108	"Velký Ded"	50.084794	17.217524	40	"AWI"	40	1795	2908	2282	195	0	78	1	1	0	18	0	101	0	0	0	5	0	0	0	30	52	0	0	0	0	220	0	5	0	0	0	0	0	0	0	0	0	0	11	77	0	40	71	0	0	0	1	0	44	0	0	1	0	1	0	0	0	0	1	0	1	13	3
15710	24108	"Velký Ded"	50.084794	17.217524	45	"AWI"	45	2065	3248	2566	144	5	102	2	5	0	18	0	64	0	0	0	2	0	0	0	18	52	1	15	0	0	239	0	3	0	0	0	0	0	4	0	0	0	0	12	79	0	62	78	0	0	0	2	0	36	0	0	0	0	2	0	0	0	0	0	1	2	8	1
15710	24108	"Velký Ded"	50.084794	17.217524	50	"AWI"	50	2376	3914	3002	184	1	104	2	3	0	17	0	114	0	0	0	4	0	0	0	9	65	0	8	0	0	136	0	3	0	0	0	0	0	2	0	0	0	0	9	71	0	72	107	0	0	0	3	0	33	0	0	0	7	3	0	0	0	0	0	1	3	14	4
15710	24108	"Velký Ded"	50.084794	17.217524	55	"AWI"	55	2766	4610	3613	95	1	144	0	4	0	54	0	131	0	2	1	3	0	0	0	36	51	0	15	0	0	165	0	6	0	0	0	0	0	1	0	0	0	0	29	48	0	93	97	0	0	0	4	0	57	0	0	0	4	1	0	0	0	0	0	1	10	20	2
15710	24108	"Velký Ded"	50.084794	17.217524	60	"AWI"	60	3260	5126	4264	15	4	150	0	4	1	18	0	58	0	0	0	0	0	0	0	208	50	0	16	0	0	83	0	5	0	0	0	0	0	1	0	0	0	1	62	44	0	176	71	0	0	0	8	0	40	0	0	2	0	5	0	0	0	0	3	1	32	25	0
15710	24108	"Velký Ded"	50.084794	17.217524	65	"AWI"	65	4015	5526	4885	10	1	143	1	9	0	8	0	43	0	5	0	0	0	0	0	251	16	0	13	0	0	52	0	10	0	0	0	0	0	1	0	0	0	1	20	25	0	127	50	0	166	0	4	0	21	0	0	0	0	1	0	1	0	0	3	4	41	12	1
15710	24108	"Velký Ded"	50.084794	17.217524	70	"AWI"	70	4588	6223	5417	1	2	67	0	7	1	14	0	53	0	0	0	0	0	0	0	216	14	0	24	0	0	8	0	2	0	1	0	0	0	0	1	0	0	1	4	5	0	36	64	0	161	0	2	0	1	0	0	0	0	1	1	1	0	0	2	5	43	11	0
