"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Datiscaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Loranthaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prosopis"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3429	4442	"Sögüt Gölü"	36.9975	29.89833	355	"AWI"	355	10444	13729	11400	0	0.444444444444444	0	0.444444444444444	0	0	0	61.3333333333333	0	0	0	1.77777777777778	0	0	0	0	0	0.444444444444444	0	0.444444444444444	0	0	0	0	6.66666666666667	0	0	3.11111111111111	0	0	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0	0	0	0	0	0	3.55555555555556	0	0	12.4444444444444	0	0	0	4	3.11111111111111	0	0	0	0	0	0	0	0	0	0	0	0.888888888888889	0	0	0.888888888888889	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	365	"AWI"	365	10762	14680	11980	0	0	0	0	0	0	0	77.1028037383178	0	0	0	2.33644859813084	0	0	0	0	0	0.467289719626168	0	0.934579439252336	0	0	0	0	3.97196261682243	0	0	0.700934579439252	0	0	0	0	0	0	0	0	0.467289719626168	0	0	0	0	0	0	0	0	0	0	1.63551401869159	0	0	7.24299065420561	0	0	0	3.73831775700935	0.233644859813084	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233644859813084	0.934579439252336	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	375	"AWI"	375	10992	15803	12535	0	0	0	0.306748466257669	0	0	0	57.0552147239264	0	0	0	3.06748466257669	0	0	0.306748466257669	0	0	1.22699386503067	0	2.76073619631902	0	0	0	0	7.66871165644172	0	0	0.920245398773006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13496932515337	0	0	13.1901840490798	0	0	0	4.9079754601227	0.613496932515337	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306748466257669	1.53374233128834	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	385	"AWI"	385	11332	16603	13144	0.183150183150183	0	0	0	0	0	0	24.5421245421245	0	0	0	0.915750915750916	0	0	0	0	0	0.366300366300366	0	0.732600732600733	0	0	0	0	41.3919413919414	0	0	0.549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0.183150183150183	0	0	0	0	0	0	6.22710622710623	0	0.183150183150183	19.7802197802198	0	0	0.183150183150183	2.56410256410256	0.549450549450549	0	0	0	0.183150183150183	0	0	0	0	0	0	0	0	0	0	1.46520146520147	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	405	"AWI"	405	12040	18490	14368	0	0	0	0.77319587628866	0	0	0	12.1134020618557	0	0	0	0.257731958762887	0	0.257731958762887	0	0	0	0.515463917525773	0	2.31958762886598	0	0	0.257731958762887	0	13.659793814433	0	0	0	0	0	0	0	0	0	0	0	1.54639175257732	0	0	0	0	0	0	0	0	0	0	18.0412371134021	0	0	36.0824742268041	0	0	0	12.1134020618557	1.28865979381443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515463917525773	0	0.257731958762887
3429	4442	"Sögüt Gölü"	36.9975	29.89833	415	"AWI"	415	12409	19294	15000	0	0	0	1.8348623853211	0	0	0	9.63302752293578	0	0	0	1.8348623853211	0	0	0.458715596330275	0	0	0.458715596330275	0	0.458715596330275	0	0	0.458715596330275	0	2.29357798165138	0	0	0	1.37614678899083	1.8348623853211	0	0	0	0	0	0	0.458715596330275	0	0	0	0	0	0	0	0	0	0	3.6697247706422	0	0	34.4036697247706	0	0	0	0	2.29357798165138	0	0	0	1.37614678899083	0	0	0	0	0	0	0	0	0.458715596330275	0	36.697247706422	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	432	"AWI"	432	13048	20766	15985	0	0	0	1.69491525423729	0	0	0	54.2372881355932	0	0	0	0	0	0	0	0	0	1.69491525423729	0	1.69491525423729	0	0	0	0	5.08474576271187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47457627118644	0	0	10.1694915254237	0	0	0	6.77966101694915	1.69491525423729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47457627118644	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	440	"AWI"	440	13328	21456	16471	0	0	0	0.909090909090909	0	0	0	38.1818181818182	0	0	0	0.909090909090909	0	0	0	0	0	5.45454545454545	0	0.909090909090909	0	0	0	0	11.8181818181818	0	0	0	0	0	0	0	0	0.909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72727272727273	0	0	0	0	0	0	35.4545454545455	1.81818181818182	0	0	0	0.909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	450	"AWI"	450	13772	22319	17091	0	0	0	0	0	0	0	30.8139534883721	0	0	0	0.581395348837209	0	0	0	0	0	4.06976744186047	0	0	0	0	0	0	6.97674418604651	0.581395348837209	0	0	0	0	0	0	0	0.581395348837209	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74418604651163	0	0	0	0	0	0	51.7441860465116	1.16279069767442	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16279069767442	0.581395348837209	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	460	"AWI"	460	14199	23290	17715	0	0	0	0.595238095238095	0	0	0	30.3571428571429	0	0	0	1.19047619047619	0	0	0.595238095238095	0	0	4.76190476190476	0	0	0	0	0.595238095238095	0	3.57142857142857	0	2.97619047619048	0	0	0	0	0	0	0.595238095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	48.8095238095238	0.595238095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	475	"AWI"	475	14794	24432	18647	0	0.206185567010309	0	0.412371134020619	0	0	0	57.319587628866	0	0	0	0.412371134020619	0	0	0	0	0	1.85567010309278	0	0	0	0.206185567010309	0.206185567010309	0.206185567010309	0.824742268041237	0	1.03092783505155	0	0	0.618556701030928	0	0	0	0.412371134020619	0	0.206185567010309	0	0	0	0	0	0	0.206185567010309	0	0	0	0	1.44329896907216	0	0	3.71134020618557	0	0.206185567010309	0	28.659793814433	0.412371134020619	0	0	0	0.206185567010309	0	0	0	0	0	0	0	0	0	0	1.23711340206186	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	485	"AWI"	485	15224	25364	19248	0	0	0	0.790513833992095	0	0	0	20.5533596837945	0	0	0	0	1.58102766798419	0	0	0	0	3.95256916996047	0	0.395256916996047	0	0	0	0	4.74308300395257	0	1.97628458498024	0	0	0	0	0	0	0.790513833992095	0	0	0.395256916996047	0	0	0	0	0	0	0	0	0	0	3.55731225296443	0	0.395256916996047	0	0	0	0	58.8932806324111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97628458498024	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	495	"AWI"	495	15659	25951	19807	0	0.540540540540541	0	0.540540540540541	22.972972972973	0	0	14.5945945945946	0	0	0	0.540540540540541	0	0.27027027027027	0	0	0	2.7027027027027	0	0.27027027027027	0	0	0.27027027027027	0	1.35135135135135	0	0.540540540540541	0	0	0	0	0	0	0	0	0	0	0	0.27027027027027	0	0	0	0	0	0	0	0	2.16216216216216	0	0	2.97297297297297	0	0	0	49.7297297297297	0	0	0	0	0.27027027027027	0	0	0	0	0	0	0	0	0	0	0	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	505	"AWI"	505	16155	26710	20390	0	1.3840830449827	0.346020761245675	0	0	0	0	24.2214532871972	0	0	0	0.346020761245675	0	0	0	0	0	3.80622837370242	0	2.07612456747405	0	0	0.346020761245675	0	2.07612456747405	0	1.73010380622837	0	0	0	0	0	0	1.03806228373702	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22837370242214	0	0	10.3806228373702	0	0	0	44.9826989619377	0	0	0	0	0.346020761245675	0	0	0	0	0	0	0	0	0	0.346020761245675	0.346020761245675	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	515	"AWI"	515	16680	27552	21005	0.184162062615101	0.184162062615101	0	0	0	0.368324125230203	0	32.0441988950276	0	0	0	1.84162062615101	0	0	0	0	0	1.47329650092081	0	2.02578268876611	0	0	0.184162062615101	0	9.20810313075506	0	0.368324125230203	0	0	0	0	0	0	0	0	0	1.10497237569061	0	0.184162062615101	0	0	0	0.184162062615101	0	0	0	0	9.20810313075506	0	0	13.8121546961326	0	0	0	26.7034990791897	0.184162062615101	0	0	0	0	0	0	0	0	0	0	0	0.736648250460405	0	0	0	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	525	"AWI"	525	17171	28185	21633	0	0.184162062615101	0	0	12.2467771639042	0	0	30.3867403314917	0.184162062615101	0	0	0.736648250460405	0	0	0	0	0	1.38121546961326	0	2.76243093922652	0	0	0	0	6.07734806629834	0	0.276243093922652	0.460405156537753	0	0	0	0	0	0.0920810313075506	0	0	0.0920810313075506	0	0	0	0	0	0	0	0	0	0	8.83977900552486	0	0	21.0865561694291	0	0	0	14.6408839779006	0.184162062615101	0	0	0	0.0920810313075506	0	0	0	0	0	0	0	0.276243093922652	0	0	0	0	0
3429	4442	"Sögüt Gölü"	36.9975	29.89833	535	"AWI"	535	17482	28862	22207	0	0	0	0	13.3764832793959	0	0	33.4412081984898	0	0	0	0.323624595469256	0	0	0	0	0	1.07874865156419	0	1.94174757281553	0	0	0	0	5.50161812297735	0	0	0	0	0	0	0	0	0	0	0	0.323624595469256	0	0	0	0	0	0	0	0	0	0	9.81661272923409	0	0	20.7119741100324	0	0	0	13.0528586839266	0.215749730312837	0	0	0	0	0	0	0	0	0	0	0	0.215749730312837	0	0	0	0	0
