"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16670	26499	"Schönwies"	46.84652	11.01591	2.5	"AWI"	2.5	12	715	283	1	0	85	1	0	4	0	6	0	1	0	0	0	2	0	0	5	343	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	66	178	0	305	0	0	0	0	1	0	0	0	0	2	3	0	0	1	1	0	2	0	0	1
16670	26499	"Schönwies"	46.84652	11.01591	5	"AWI"	5	59	1421	573	3	0	134	0	0	5	0	9	0	0	0	0	0	1	0	0	3	577	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	45	203	1	198	0	6	0	0	1	0	0	0	1	1	4	0	0	1	1	0	0	0	0	0
16670	26499	"Schönwies"	46.84652	11.01591	7.5	"AWI"	7.5	98.5	2129.5	861	3	0	86	0	0	5	0	3	0	0	0	0	0	6	0	0	3	503	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	60	124	1	256	0	2	0	2	2	0	0	0	0	2	6	0	0	0	5	0	1	0	2	0
16670	26499	"Schönwies"	46.84652	11.01591	10	"AWI"	10	135	2839	1153	2	0	107	0	0	9	0	10	0	4	0	0	0	6	0	1	9	797	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	1	54	187	2	186	0	2	0	3	0	0	0	0	0	0	7	0	0	0	3	0	0	0	1	0
16670	26499	"Schönwies"	46.84652	11.01591	12.5	"AWI"	12.5	420.5	2973.5	1471	6	0	125	1	0	10	0	5	0	1	0	0	0	0	0	0	8	719	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	1	69	136	2	186	0	0	0	4	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0
16670	26499	"Schönwies"	46.84652	11.01591	15	"AWI"	15	593	3135	1832	4	0	77	4	0	6	0	5	0	0	0	0	0	3	0	0	3	640	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	46	83	0	207	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
16670	26499	"Schönwies"	46.84652	11.01591	17.5	"AWI"	17.5	727	3331.5	2193	4	0	103	0	0	9	0	9	0	1	0	0	0	0	0	0	2	1074	0	0	0	0	6	0	0	1	1	0	0	0	0	0	0	0	76	133	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
16670	26499	"Schönwies"	46.84652	11.01591	20	"AWI"	20	834	3667	2508	6	0	78	0	0	1	0	7	0	0	0	0	0	3	0	0	4	488	0	0	0	0	7	0	0	1	0	0	3	0	0	0	0	0	67	162	0	298	0	0	0	6	1	0	0	0	0	1	2	0	0	1	1	0	0	0	1	0
16670	26499	"Schönwies"	46.84652	11.01591	22.5	"AWI"	22.5	1503.5	3722	2787	6	0	120	0	0	4	0	17	0	0	0	0	0	0	0	0	4	496	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	73	154	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0
16670	26499	"Schönwies"	46.84652	11.01591	25	"AWI"	25	2154	3794	3074	7	0	165	1	0	12	0	12	0	0	0	0	0	1	0	0	6	269	0	0	0	0	6	0	0	1	5	0	1	0	0	0	0	0	84	125	5	377	0	2	0	10	2	0	0	0	1	2	0	0	0	1	2	1	1	0	1	3
