"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3432	4446	"Lake Solsø"	56.12833	8.613126	386	"AWI"	386	1174	3222	2464	106	1	0	0	4	0	166	0	0	1	0	0	83	0	1	30	0	0	0	0	5	0	6	4	0	0	0	0	0	0	53	0	2	0	41	0	0	0	0	0	1	84	3	0	0	0	0	0	0	0	1	4	8	2
3432	4446	"Lake Solsø"	56.12833	8.613126	406	"AWI"	406	2347	3581	3191	107	4	0	0	1	0	154	0	0	0	0	0	69	0	0	25	0	271	0	0	6	0	8	1	0	0	0	0	0	0	24	0	3	1	29	0	0	0	1	0	1	82	1	0	0	0	0	0	0	2	0	1	7	7
3432	4446	"Lake Solsø"	56.12833	8.613126	416	"AWI"	416	3232	3751	3501	147	3	0	0	3	4	158	0	0	0	0	0	110	0	0	37	0	0	0	0	3	0	12	3	0	1	0	2	0	0	5	0	0	0	34	0	153	0	1	2	0	99	1	0	0	0	1	0	0	0	1	7	16	4
3432	4446	"Lake Solsø"	56.12833	8.613126	422	"AWI"	422	3354	3910	3637	142	2	0	3	3	0	159	0	3	1	0	0	113	0	0	31	0	210	0	0	4	0	16	2	0	0	0	0	0	0	2	0	1	0	42	0	0	0	2	0	0	114	1	0	0	7	0	0	0	0	0	2	13	3
3432	4446	"Lake Solsø"	56.12833	8.613126	432	"AWI"	432	3540	4205	3864	165	0	0	1	5	0	196	1	0	0	1	0	126	0	0	31	1	0	0	0	1	0	17	1	0	0	0	0	0	0	0	2	2	0	31	0	0	0	2	0	0	129	1	0	0	0	2	0	1	1	1	8	13	0
3432	4446	"Lake Solsø"	56.12833	8.613126	442	"AWI"	442	3785	4394	4098	146	0	0	0	3	0	197	0	0	0	0	0	119	0	0	37	0	0	0	0	3	0	14	3	0	3	0	0	0	0	2	0	1	2	23	0	0	0	1	0	0	123	0	0	0	0	1	0	0	0	0	4	17	4
3432	4446	"Lake Solsø"	56.12833	8.613126	452	"AWI"	452	4022	4559	4312	154	2	0	0	3	0	188	0	0	1	0	0	161	0	1	44	0	226	0	0	3	0	23	5	0	0	0	0	0	0	0	0	1	1	40	0	0	0	2	0	0	129	0	0	0	6	4	0	0	0	0	8	18	2
3432	4446	"Lake Solsø"	56.12833	8.613126	462	"AWI"	462	4192	4760	4483	170	5	0	0	6	0	197	0	0	0	0	0	141	0	0	35	0	148	0	0	2	0	14	2	0	1	0	0	0	1	0	0	0	1	30	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	9	19	2
3432	4446	"Lake Solsø"	56.12833	8.613126	472	"AWI"	472	4332	4940	4626	210	1	0	0	3	0	213	0	0	0	0	0	147	0	0	26	0	0	0	0	0	1	13	5	0	0	0	0	0	0	0	0	0	1	28	0	0	0	2	0	0	155	2	0	0	0	2	2	0	1	0	8	14	2
3432	4446	"Lake Solsø"	56.12833	8.613126	478	"AWI"	478	4415	5039	4712	175	2	0	1	2	0	232	0	0	0	0	0	157	0	0	23	0	0	0	0	2	0	16	2	0	0	1	0	0	0	0	0	0	2	38	0	0	0	1	0	0	141	0	0	1	0	1	0	0	0	0	2	15	3
