"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26575	46475	"Velikoye raised bog"	54.95167	22.34111	0	"AWI"	0	-125	44	-50	42	1	1	13	0	0	0	3	1	61	0	3	7	4	124	4	43	2	0	0	4	2	1	1	0
26575	46475	"Velikoye raised bog"	54.95167	22.34111	20	"AWI"	20	8	423	320	43	4	1	10	3	0	1	4	12	62	0	0	3	35	141	2	58	4	0	0	8	3	0	0	0
26575	46475	"Velikoye raised bog"	54.95167	22.34111	40	"AWI"	40	309	564	493	41	1	0	4	0	96	0	7	2	34	1	0	13	21	67	3	18	9	0	0	1	0	0	2	1
26575	46475	"Velikoye raised bog"	54.95167	22.34111	70	"AWI"	70	523	693	608	83	0	0	2	0	80	0	14	3	10	0	0	29	49	49	1	13	14	0	0	0	2	0	3	1
26575	46475	"Velikoye raised bog"	54.95167	22.34111	90	"AWI"	90	619	821	708	110	0	0	1	0	102	0	7	0	26	0	1	18	17	85	1	11	13	0	0	0	2	0	7	7
26575	46475	"Velikoye raised bog"	54.95167	22.34111	160	"AWI"	160	903	1152	1016	29	0	0	1	0	0	3	8	1	7	1	1	26	23	38	0	0	10	0	0	0	0	0	4	2
26575	46475	"Velikoye raised bog"	54.95167	22.34111	220	"AWI"	220	1155	1391	1287	79	0	0	0	0	0	0	13	2	0	0	1	14	25	66	0	0	8	0	0	0	0	0	2	1
26575	46475	"Velikoye raised bog"	54.95167	22.34111	300	"AWI"	300	1517	1752	1652	47	0	0	0	0	76	0	8	2	3	0	0	18	19	26	0	0	11	0	0	2	2	0	1	1
26575	46475	"Velikoye raised bog"	54.95167	22.34111	390	"AWI"	390	1941	2149	2053	36	0	0	0	0	47	0	11	2	0	1	2	8	25	28	0	0	6	0	0	0	0	0	4	1
26575	46475	"Velikoye raised bog"	54.95167	22.34111	500	"AWI"	500	2250	2714	2340	77	0	0	1	0	72	0	25	2	48	1	0	18	15	70	0	0	22	0	0	1	1	0	7	5
26575	46475	"Velikoye raised bog"	54.95167	22.34111	510	"AWI"	510	2599	2987	2687	74	0	0	1	0	42	0	25	1	43	0	3	6	7	63	0	0	25	0	0	0	0	0	6	7
26575	46475	"Velikoye raised bog"	54.95167	22.34111	520	"AWI"	520	3047	3402	3222	95	0	0	1	0	0	0	63	1	13	0	3	0	11	49	0	0	59	0	0	0	0	0	11	10
26575	46475	"Velikoye raised bog"	54.95167	22.34111	540	"AWI"	540	3631	4274	3937	120	0	0	0	0	0	0	6	0	20	0	1	2	15	44	0	0	38	0	0	0	0	0	13	10
26575	46475	"Velikoye raised bog"	54.95167	22.34111	574	"AWI"	574	4829	5598	5269	120	0	0	1	0	0	0	72	2	19	0	1	1	1	55	0	0	27	0	0	0	0	0	8	12
26575	46475	"Velikoye raised bog"	54.95167	22.34111	594	"AWI"	594	5650	6125	5867	129	0	0	0	0	0	0	61	5	0	0	0	0	4	85	0	0	26	0	0	0	0	0	12	12
26575	46475	"Velikoye raised bog"	54.95167	22.34111	614	"AWI"	614	6300	6692	6509	181	0	0	1	0	0	0	45	20	0	0	6	0	1	37	0	0	20	0	0	0	0	0	11	13
26575	46475	"Velikoye raised bog"	54.95167	22.34111	634	"AWI"	634	6507	6946	6691	222	0	1	0	0	0	0	29	3	0	0	4	0	1	21	0	0	24	1	0	0	0	0	3	12
26575	46475	"Velikoye raised bog"	54.95167	22.34111	654	"AWI"	654	6816	7598	7375	78	0	0	7	0	81	0	17	57	0	0	0	0	1	99	0	0	2	0	0	0	0	1	2	2
26575	46475	"Velikoye raised bog"	54.95167	22.34111	657	"AWI"	657	6837	7736	7478	29	1	1	28	0	86	0	9	29	0	0	0	1	4	130	0	0	6	0	0	0	1	0	2	0
