"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	20	"AWI"	20	-144	18	-67	5	0	17	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	9	0	9	0	0	1	0	0	0	0	6	0	0	0	0	0	1	68	0	18	45	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	30	"AWI"	30	133	928	493	23	1	35	0	0	0	0	11	0	0	1	0	0	3	0	0	0	0	0	0	5	0	19	1	0	0	0	0	0	0	2	0	1	0	0	1	0	104	0	0	59	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	43	"AWI"	43	1027	1593	1321	30	0	56	0	0	0	1	3	0	0	1	0	0	1	0	0	1	0	0	0	17	0	5	0	0	0	1	0	0	0	5	0	0	0	0	0	0	125	0	0	26	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	46	"AWI"	46	1237	1879	1517	10	0	42	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	6	0	11	0	0	1	0	0	0	0	3	0	1	0	0	0	0	69	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	55.5	"AWI"	55.5	1628	2728.5	2085.5	20	1	42	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	45	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	60	"AWI"	60	1827	3009	2334	44	0	46	1	0	0	0	6	0	0	2	0	1	0	0	0	0	0	0	0	9	0	7	0	0	0	1	0	0	0	3	0	0	0	0	0	0	122	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	66	"AWI"	66	2063	3435	2708	35	1	45	1	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	94	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	70	"AWI"	70	2260	3628	2947	52	1	59	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	17	0	6	1	0	0	0	0	0	0	4	0	0	0	0	0	0	90	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	76	"AWI"	76	2583	3891	3294	45	1	83	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	1	20	0	2	0	0	0	3	0	0	0	6	0	1	0	0	0	0	108	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0
16675	26520	"Lac  Superieur de Fully"	46.17667	7.09361	81	"AWI"	81	2901	4146	3598	52	2	48	2	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	1	0	0	3	0	4	0	0	0	0	58	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
