"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
9690	14274	"Brackloon Lough"	53.76021	-9.56165	0	"AWI"	0	-147	26	-49	42	0	0	0	0	0	156	0	0	0	20	24	0	0	4	0	0	2	38	0	1	1	0	0	0	1	14	0	0	0	0	27	3	70	2	0	96	0	0	1	0	0	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	16	"AWI"	16	-108	167	9	56	0	1	3	0	0	92	0	0	1	43	17	0	0	0	2	0	1	25	0	0	1	0	0	0	0	11	0	0	0	0	35	0	48	1	0	103	1	0	1	0	2	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	32	"AWI"	32	-61	286	69	45	0	3	0	0	0	117	0	0	0	50	37	0	0	0	1	0	3	44	0	2	0	0	0	0	0	9	0	0	0	0	39	0	18	2	0	68	0	0	2	0	3	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	48	"AWI"	48	-22	383	134	41	0	0	2	0	0	108	0	0	0	28	16	0	0	5	0	0	7	22	0	0	0	0	0	0	0	4	0	0	0	0	23	3	29	0	0	121	0	0	0	0	2	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	64	"AWI"	64	17	478	197	38	0	1	2	0	0	148	0	0	0	37	15	0	0	1	2	0	5	20	0	0	0	0	0	0	0	6	0	0	0	0	26	0	24	1	0	56	0	0	0	1	3	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	80	"AWI"	80	62	569	265	38	0	0	1	0	0	135	0	0	0	38	26	0	0	2	2	0	1	26	0	0	0	0	0	0	0	12	0	0	0	0	32	0	21	1	2	98	0	0	0	0	3	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	96	"AWI"	96	112	647	328	49	0	0	1	0	0	144	0	0	0	38	23	0	0	2	4	0	2	34	0	0	0	0	0	0	0	7	0	0	1	0	39	0	8	1	0	66	0	0	1	0	5	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	112	"AWI"	112	159	721	392	49	0	0	1	0	0	125	0	0	0	26	43	0	0	0	0	0	4	36	0	0	0	0	0	0	0	6	0	0	0	0	36	0	0	1	0	29	0	0	1	0	2	3	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	128	"AWI"	128	203	801	453	36	0	0	2	0	0	125	0	0	0	30	34	0	0	4	0	0	1	25	0	0	0	0	0	0	0	26	0	0	0	0	15	0	0	0	0	9	0	0	0	0	1	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	144	"AWI"	144	248	876	515	36	0	0	1	0	0	131	0	0	1	27	27	0	0	1	0	0	0	21	1	0	0	0	0	0	0	51	0	0	0	0	17	0	7	0	0	20	0	0	0	0	2	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	154	"AWI"	154	285	915	557	24	1	0	1	0	0	115	0	0	0	37	23	0	0	6	0	0	1	35	0	0	0	1	0	0	0	40	0	52	0	0	22	0	11	2	0	16	0	1	0	0	0	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	170	"AWI"	170	335	995	626	70	0	0	2	0	0	137	0	0	0	20	61	0	0	4	1	0	2	39	0	0	0	0	0	0	0	53	0	0	0	0	25	0	0	8	9	4	0	0	0	0	5	4	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	186	"AWI"	186	381	1070	688	74	0	1	2	0	0	132	0	0	1	61	32	0	0	0	4	0	5	37	0	0	1	0	0	0	0	12	0	0	0	0	54	0	13	1	0	10	0	0	3	0	3	2	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	202	"AWI"	202	439	1146	751	52	0	3	4	0	0	132	6	0	0	35	55	0	0	1	3	0	0	27	0	0	0	0	0	0	0	5	0	0	0	0	22	0	10	5	0	7	0	0	0	0	3	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	218	"AWI"	218	498	1220	818	50	0	0	3	0	0	119	14	0	1	40	35	0	0	0	4	0	1	29	0	0	0	0	0	0	0	2	0	0	0	0	27	0	8	4	0	11	0	0	0	0	2	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	238	"AWI"	238	567	1303	897	77	0	1	2	0	0	141	0	0	0	46	35	0	0	0	2	0	1	33	0	0	0	0	0	0	0	5	0	0	0	0	30	0	9	1	0	17	1	0	0	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	254	"AWI"	254	621	1376	962	94	0	1	0	0	0	136	0	0	2	47	25	0	0	0	1	0	2	18	0	1	0	0	0	0	0	4	0	0	0	0	24	0	12	1	0	17	0	0	2	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	270	"AWI"	270	674	1443	1030	53	0	0	3	0	0	129	0	0	1	34	45	0	0	0	4	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	35	0	8	0	0	12	0	0	0	0	4	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	286	"AWI"	286	737	1501	1093	56	0	1	5	1	0	162	0	0	0	41	40	0	0	0	6	0	3	8	0	0	0	0	0	0	0	3	0	0	0	0	27	0	12	1	0	24	0	0	0	0	3	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	302	"AWI"	302	802	1569	1154	46	0	1	0	0	0	163	2	0	0	48	39	0	0	0	4	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	32	0	14	0	0	18	0	0	0	0	0	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	318	"AWI"	318	861	1637	1218	47	1	0	2	2	0	121	0	0	0	43	35	0	0	0	4	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	42	0	5	0	0	27	0	0	1	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	334	"AWI"	334	923	1702	1283	53	0	3	1	0	0	158	0	0	0	54	36	0	0	0	6	0	1	10	0	0	0	0	0	0	0	2	0	0	0	0	36	0	8	0	0	15	0	0	0	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	354	"AWI"	354	1013	1785	1360	58	0	0	1	0	0	188	0	0	0	46	19	0	0	0	6	0	6	3	0	0	0	0	0	0	0	2	0	0	0	0	38	0	7	0	0	28	0	0	0	0	1	1	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	370	"AWI"	370	1092	1856	1429	40	0	0	2	0	0	197	0	0	0	71	17	0	0	0	8	0	3	5	0	0	0	0	0	0	0	1	0	0	0	0	24	0	8	1	0	45	0	1	0	0	0	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	386	"AWI"	386	1155	1915	1488	52	0	0	0	0	0	126	0	0	0	70	24	0	0	0	6	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	48	0	5	0	0	44	0	0	0	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	402	"AWI"	402	1228	1973	1550	54	0	0	4	0	0	101	0	0	0	74	11	0	0	0	5	0	1	9	0	0	0	0	0	0	0	3	0	0	0	0	48	0	10	0	0	72	0	0	0	0	2	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	418	"AWI"	418	1285	2031	1615	41	0	0	3	0	0	174	0	0	0	103	17	0	0	1	7	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	18	0	0	1	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	434	"AWI"	434	1347	2095	1676	52	0	0	0	0	0	127	0	0	0	85	36	0	0	0	3	0	4	25	0	0	0	0	0	0	0	2	0	0	0	0	16	0	14	0	0	14	0	0	3	0	1	2	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	442	"AWI"	442	1398	2131	1708	36	0	0	0	0	0	112	0	0	0	73	42	0	0	1	4	0	11	20	0	0	0	0	0	0	0	2	0	0	0	0	32	0	13	0	0	8	0	0	4	0	2	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	462	"AWI"	462	1494	2218	1785	26	0	0	1	0	0	96	0	0	0	68	41	0	0	0	5	0	3	21	0	0	1	0	0	0	0	1	0	0	0	0	31	0	10	0	0	18	0	0	1	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	478	"AWI"	478	1575	2304	1849	47	0	0	1	0	0	109	0	0	0	97	29	0	0	0	4	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	18	0	0	0	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	494	"AWI"	494	1671	2378	1909	52	0	1	1	0	0	156	0	0	1	96	49	0	0	0	9	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	1	0	12	0	0	4	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	510	"AWI"	510	1766	2471	1964	40	0	0	1	0	0	177	0	0	0	86	41	0	0	1	12	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	20	1	0	1	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	526	"AWI"	526	1872	2573	2040	36	0	0	1	1	0	186	0	0	0	98	31	0	0	0	5	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	42	0	8	0	0	21	0	0	5	0	3	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	542	"AWI"	542	1946	2678	2150	55	0	0	4	0	0	130	0	0	0	193	24	0	0	0	8	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	0	0	22	0	0	16	0	5	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	558	"AWI"	558	2013	2824	2309	52	0	0	2	0	0	139	0	0	0	106	9	0	0	0	9	0	9	7	0	0	0	0	0	0	0	2	0	0	0	0	50	0	0	0	0	48	0	0	10	0	4	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	574	"AWI"	574	2101	3007	2457	31	0	0	1	0	0	212	0	0	0	59	11	0	0	0	9	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	16	0	0	6	0	0	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	590	"AWI"	590	2191	3210	2607	69	0	0	1	0	0	116	0	0	0	84	14	0	0	0	9	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	56	0	7	0	0	36	0	0	6	0	0	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	606	"AWI"	606	2285	3409	2761	84	1	0	0	0	0	113	0	0	0	93	11	0	0	0	13	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	61	0	0	0	0	38	0	0	2	0	3	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	622	"AWI"	622	2387	3578	2926	70	0	0	3	1	0	122	0	0	0	71	9	0	0	0	7	0	1	11	0	0	0	0	0	0	0	1	0	0	0	0	50	0	5	0	0	50	0	0	3	0	5	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	638	"AWI"	638	2521	3753	3086	85	0	1	1	0	0	100	0	0	0	90	12	0	0	0	6	0	3	14	0	0	0	0	0	0	0	3	0	0	0	0	66	0	0	0	0	49	0	0	5	0	4	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	654	"AWI"	654	2654	3902	3243	52	0	0	0	0	0	80	0	0	0	80	23	0	0	1	3	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	121	0	0	0	0	24	0	0	2	0	1	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	670	"AWI"	670	2786	4051	3396	55	0	0	0	0	0	91	0	0	0	93	13	0	0	0	12	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	124	0	6	0	0	22	0	0	4	0	7	0	0
9690	14274	"Brackloon Lough"	53.76021	-9.56165	686	"AWI"	686	2903	4207	3553	57	0	0	2	0	0	94	0	0	0	84	13	0	0	0	6	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	97	0	0	0	0	16	0	0	4	0	5	0	0
