"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16094	24846	"Carquefou"	47.30917	-1.47694	5	"AWI"	5	1854	2183	2014	1	0	352	0	0	0	0	0	6	0	0	4	0	0	1	0	36	0	4	0	0	0	5	0	1	0	3	0	1	0	0	1	0	1	2	98	0	0	20	0	0	0	8	0	0	2	0	0	0	0	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	10	"AWI"	10	1869	2196	2027	0	1	392	2	1	1	0	0	4	0	1	1	2	0	1	0	52	0	7	0	0	1	1	0	1	0	3	0	0	0	0	0	1	1	4	80	0	0	14	1	0	0	10	1	0	3	0	0	0	1	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	14	"AWI"	14	1879	2205	2037	1	1	449	1	1	1	1	0	1	0	0	0	0	0	1	1	47	0	5	2	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	48	0	0	15	1	0	14	11	0	0	1	0	0	1	1	0	1	0
16094	24846	"Carquefou"	47.30917	-1.47694	18	"AWI"	18	1890	2215	2048	0	0	310	1	1	1	1	0	5	0	1	0	0	0	1	0	38	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	1	1	1	35	0	0	12	1	0	0	6	2	0	0	0	0	0	0	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	23	"AWI"	23	1902	2227	2060	1	0	125	0	1	1	1	0	2	0	1	0	0	0	3	0	7	0	15	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10	186	0	1	10	3	0	0	19	1	0	1	0	1	0	0	0	2	0
16094	24846	"Carquefou"	47.30917	-1.47694	28	"AWI"	28	1915	2239	2073	0	0	75	1	1	3	2	0	2	0	1	0	2	0	1	0	1	0	10	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	14	121	0	0	10	3	0	0	36	0	0	4	0	0	0	0	1	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	32	"AWI"	32	1925	2249	2083	0	0	74	1	2	0	0	0	1	0	1	0	1	0	2	0	2	0	6	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	11	239	0	0	4	1	0	5	4	1	0	2	0	0	1	0	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	37	"AWI"	37	1939	2262	2095	0	0	24	19	1	0	0	0	1	0	1	0	0	0	3	0	0	0	21	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	10	190	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	42	"AWI"	42	1951	2274	2108	0	0	43	23	1	0	1	0	0	0	1	0	0	0	3	0	2	0	15	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	7	191	0	1	0	1	0	0	9	0	0	2	1	0	0	0	0	0	0
16094	24846	"Carquefou"	47.30917	-1.47694	47	"AWI"	47	1964	2286	2121	1	0	98	9	1	2	0	0	1	0	0	0	2	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	170	0	1	10	0	0	0	12	0	0	2	0	0	0	0	0	0	0
