"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23831	41305	"Winneys Down"	50.62278	-3.94271	16.5	"AWI"	16.5	-24.5	288	121	0	4	1	0	0	0	12	0	0	0	22	13	51	0	2	0	0	0	0	0	1	1	0	0	0	0	10	10	0	0	0	13	9	0	0	0	0	0	0	0	0	1
23831	41305	"Winneys Down"	50.62278	-3.94271	24.5	"AWI"	24.5	34.5	404	225	0	8	0	0	1	0	3	1	0	0	12	26	81	0	0	2	0	0	5	0	0	0	0	0	0	0	24	20	0	1	0	20	0	0	0	0	0	0	0	0	2	0
23831	41305	"Winneys Down"	50.62278	-3.94271	32.5	"AWI"	32.5	117	464	316.5	0	7	0	0	0	0	3	0	0	0	17	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	17	3	0	0	0	0	0	0	0	0	2
23831	41305	"Winneys Down"	50.62278	-3.94271	40.5	"AWI"	40.5	293	500.5	408.5	0	10	2	1	1	0	5	0	0	0	36	15	35	0	5	3	0	0	11	0	0	0	0	0	0	0	4	32	0	0	0	72	2	0	0	4	0	0	0	0	2	0
23831	41305	"Winneys Down"	50.62278	-3.94271	48.5	"AWI"	48.5	384.5	544	497.5	0	12	0	2	0	0	13	1	0	0	19	21	0	0	3	4	0	0	7	0	0	0	0	0	0	0	1	17	0	0	0	45	1	0	0	2	2	0	0	0	2	1
23831	41305	"Winneys Down"	50.62278	-3.94271	56.5	"AWI"	56.5	470	668.5	569.5	0	9	0	0	2	0	3	5	0	0	30	22	28	0	7	2	0	0	0	0	0	0	0	0	0	1	2	10	139	0	0	24	0	0	0	0	0	0	0	0	0	0
23831	41305	"Winneys Down"	50.62278	-3.94271	64.5	"AWI"	64.5	531	771	641.5	0	7	1	0	1	0	9	1	0	0	31	26	12	0	4	1	0	0	10	0	0	0	0	0	0	0	1	11	112	0	0	26	0	0	1	0	0	0	0	0	0	1
23831	41305	"Winneys Down"	50.62278	-3.94271	72.5	"AWI"	72.5	588	857.5	718	0	13	2	1	1	0	12	0	0	0	52	19	62	0	4	7	0	1	0	0	0	0	0	0	0	0	3	12	82	0	0	26	0	0	0	0	0	0	0	0	1	0
23831	41305	"Winneys Down"	50.62278	-3.94271	80.5	"AWI"	80.5	641	937.5	793	0	10	0	1	0	0	3	0	0	0	27	13	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	8	0	0	0	13	1	0	0	0	0	0	0	0	0	0
23831	41305	"Winneys Down"	50.62278	-3.94271	88.5	"AWI"	88.5	692	989	859	0	18	0	0	1	0	13	0	0	0	42	19	33	0	4	1	0	0	5	0	0	0	0	0	0	0	0	16	0	0	0	58	1	0	1	2	0	1	1	0	0	0
23831	41305	"Winneys Down"	50.62278	-3.94271	96.5	"AWI"	96.5	852.5	1031.5	924	0	15	1	3	0	0	11	0	0	0	68	7	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	35	1	0	0	0	0	0	0	0	0	0
23831	41305	"Winneys Down"	50.62278	-3.94271	104.5	"AWI"	104.5	950.5	1140.5	1027.5	0	12	0	1	3	0	7	1	0	0	76	7	39	0	6	2	0	0	0	0	0	0	0	0	0	1	2	9	0	0	0	49	2	0	0	5	0	0	0	0	3	0
23831	41305	"Winneys Down"	50.62278	-3.94271	112.5	"AWI"	112.5	981.5	1360	1137.5	0	19	1	1	1	0	6	0	0	0	41	6	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	23	4	0	0	0	0	0	0	0	2	0
23831	41305	"Winneys Down"	50.62278	-3.94271	120.5	"AWI"	120.5	1035	1453	1243.5	0	21	0	1	0	0	28	0	0	0	80	7	0	0	2	8	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0	41	3	0	0	5	1	0	0	0	3	0
23831	41305	"Winneys Down"	50.62278	-3.94271	128.5	"AWI"	128.5	1119	1531.5	1347	0	9	0	0	0	0	5	0	0	0	62	8	14	0	3	2	0	0	0	0	2	1	0	0	0	0	0	6	0	0	0	24	3	0	0	0	0	0	0	0	0	0
23831	41305	"Winneys Down"	50.62278	-3.94271	136.5	"AWI"	136.5	1242	1621	1451	0	14	1	1	1	0	13	0	1	0	94	9	62	0	11	2	0	0	3	0	0	0	0	0	0	1	2	7	0	0	0	56	0	0	0	0	0	0	0	1	1	0
23831	41305	"Winneys Down"	50.62278	-3.94271	144.5	"AWI"	144.5	1417.5	1678	1558	0	32	1	0	1	0	10	0	0	0	73	3	0	0	4	1	0	0	10	1	0	0	0	1	0	1	0	5	0	0	0	31	2	0	1	0	4	0	0	0	0	1
23831	41305	"Winneys Down"	50.62278	-3.94271	152.5	"AWI"	152.5	1577	1760.5	1673	0	27	1	0	2	0	12	0	0	0	90	10	48	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	31	0	0	0	0	1	0	0	0	5	0
23831	41305	"Winneys Down"	50.62278	-3.94271	160.5	"AWI"	160.5	1640	1901	1769	0	14	3	0	0	0	9	0	0	0	24	4	12	0	2	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	11	1	0	1	0	0	1	0	0	0	0
