"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Taxodium"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
15862	24412	"La Chaumette"	44.74722	3.085	5	"AWI"	5	3749	5084	4491	0	0	0	15	0	0	0	1	0	26	0	0	0	0	0	0	0	18	0	26	0	0	0	0	0	42	0	0	1	0	0	0	1	0	0	0	19	0	0	0	22	2	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0
15862	24412	"La Chaumette"	44.74722	3.085	10	"AWI"	10	3926	5140	4589	15	1	0	8	1	2	0	1	0	22	0	0	0	0	0	0	0	39	0	32	0	0	0	0	0	110	3	0	0	0	0	0	0	0	0	0	24	0	0	0	22	0	0	0	39	0	0	0	0	0	0	0	0	0	0	6	0	13	0	0
15862	24412	"La Chaumette"	44.74722	3.085	15	"AWI"	15	4041	5226	4690	3	0	0	5	0	2	0	0	0	13	0	0	0	0	1	0	0	13	0	26	0	0	0	0	0	70	3	0	0	0	0	0	0	0	0	0	11	0	0	0	13	0	0	0	41	0	0	0	2	0	0	0	0	1	0	2	0	2	0	0
15862	24412	"La Chaumette"	44.74722	3.085	20	"AWI"	20	4245	5272	4784	15	0	0	42	0	0	0	1	0	25	0	0	0	0	0	0	0	40	0	32	0	0	0	0	0	59	5	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	65	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0
15862	24412	"La Chaumette"	44.74722	3.085	25	"AWI"	25	4370	5338	4884	7	1	0	4	1	1	0	2	0	7	0	0	0	0	0	0	0	44	1	46	0	1	0	0	0	21	3	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	58	0	0	0	0	1	0	0	0	1	0	14	0	5	0	0
15862	24412	"La Chaumette"	44.74722	3.085	30	"AWI"	30	4456	5475	4982	11	0	0	11	0	0	0	1	0	9	0	0	0	0	0	0	0	32	0	20	0	0	0	0	0	12	3	0	0	0	0	1	0	0	1	0	26	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0
15862	24412	"La Chaumette"	44.74722	3.085	35	"AWI"	35	4582	5530	5068	1	0	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	21	0	27	0	0	0	0	0	7	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	70	0	0	0	0	2	0	1	0	0	0	14	0	5	0	0
15862	24412	"La Chaumette"	44.74722	3.085	40	"AWI"	40	4675	5615	5157	2	0	0	4	0	1	0	0	0	11	0	0	0	0	1	0	0	35	0	38	0	0	0	0	1	13	8	0	0	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	77	1	0	0	0	2	0	0	0	0	0	10	0	14	0	1
15862	24412	"La Chaumette"	44.74722	3.085	45	"AWI"	45	4737	5743	5244	1	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	59	0	54	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	65	0	0	0	0	2	0	1	0	0	0	10	0	5	0	0
15862	24412	"La Chaumette"	44.74722	3.085	50	"AWI"	50	4872	5804	5328	4	1	0	6	0	0	6	1	0	7	0	0	0	0	0	0	0	60	0	98	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	46	0	0	0	1	1	0	0	0	0	0	8	0	0	0	0
