"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3451	4468	"Suovalampi"	69.603	28.83694	0	"AWI"	0	-146	23	-67	2	1	1	0	155	0	0	10	2	4	272	4	0	0	1	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	5	"AWI"	5	-47	1068	275	2	0	0	0	208	0	0	10	1	7	279	5	0	0	0	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	10	"AWI"	10	122	1623	696	1	0	2	0	161	0	0	6	2	4	231	2	0	2	0	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	15	"AWI"	15	373	2077	1123	5	2	0	0	217	0	0	17	7	5	361	4	0	0	0	1	0	1	0	0
3451	4468	"Suovalampi"	69.603	28.83694	20	"AWI"	20	676	2484	1551	5	0	1	0	134	0	0	10	3	4	241	3	0	0	0	0	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	25	"AWI"	25	1050	2823	1971	3	0	0	0	150	0	0	6	6	5	284	2	0	2	1	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	30	"AWI"	30	1471	3131	2396	8	1	1	0	130	0	0	7	6	4	335	2	0	0	0	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	35	"AWI"	35	1980	3394	2829	3	0	1	0	112	0	0	10	7	2	212	1	0	0	0	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	40	"AWI"	40	2742	3617	3217	4	0	0	0	180	0	0	6	7	5	297	3	0	0	1	1	0	0	1	0
3451	4468	"Suovalampi"	69.603	28.83694	45	"AWI"	45	2916	3962	3441	7	1	0	0	162	0	0	4	6	0	240	0	0	0	0	0	0	0	1	0
3451	4468	"Suovalampi"	69.603	28.83694	50	"AWI"	50	3118	4232	3676	9	0	1	0	132	0	0	6	3	1	227	3	0	0	0	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	55	"AWI"	55	3351	4471	3920	7	0	0	1	175	0	1	7	9	1	292	2	1	0	0	3	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	60	"AWI"	60	3579	4686	4156	11	0	0	0	164	0	1	4	8	1	296	2	0	0	0	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	65	"AWI"	65	3844	4898	4397	9	0	4	0	133	0	0	8	4	1	300	2	0	2	0	0	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	70	"AWI"	70	4183	5120	4626	4	0	1	0	155	0	1	3	13	3	321	3	0	0	0	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	75	"AWI"	75	4413	5578	4916	9	0	1	0	154	0	1	3	7	2	288	1	0	0	0	0	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	80	"AWI"	80	4638	5884	5234	11	0	1	0	172	0	0	10	4	2	324	4	0	0	0	1	0	1	0	0
3451	4468	"Suovalampi"	69.603	28.83694	85	"AWI"	85	4900	6161	5554	13	1	0	0	148	0	2	7	2	1	360	1	0	2	0	3	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	90	"AWI"	90	5211	6401	5867	20	0	2	0	191	0	0	6	5	0	326	1	0	0	0	1	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	95	"AWI"	95	5612	6624	6178	17	0	1	0	170	0	2	4	4	0	362	5	0	0	0	0	0	1	0	2
3451	4468	"Suovalampi"	69.603	28.83694	100	"AWI"	100	6054	6876	6467	12	0	0	0	214	1	0	6	3	0	424	0	0	0	0	1	0	0	0	3
3451	4468	"Suovalampi"	69.603	28.83694	105	"AWI"	105	6290	7384	6773	11	0	0	0	171	0	2	2	5	0	389	1	0	0	0	0	0	0	0	0
