"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Malvaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Ulmus"	"Violaceae"	"Vitaceae"
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	0	"AWI"	0	-144	19	-66	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	26	0	0	6	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	5	0	0	0	343	0	0	0	13	0	0	5	15	2	0	0	21	2	0	0	1	0	0	0	0	1
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	4	"AWI"	4	-71	400	104	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	278	0	3	0	23	0	0	15	0	1	0	0	0	1	0	0	0	0	1	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	10	"AWI"	10	-31	1070	347	0	1	0	4	0	2	0	0	0	0	1	0	0	0	0	0	5	0	0	27	0	0	20	0	0	0	0	0	1	2	0	0	0	0	0	8	0	0	0	342	0	0	0	34	0	0	12	0	1	0	0	0	7	0	0	0	0	0	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	15	"AWI"	15	58	1475	567	0	0	2	1	0	1	0	0	0	0	1	0	0	0	1	0	5	0	0	26	0	0	19	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	304	0	0	0	49	0	0	18	0	1	0	0	0	1	1	0	0	0	0	0	0	1
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	20	"AWI"	20	166	1703	802	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	29	0	0	8	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	287	0	0	0	21	0	0	4	0	1	0	0	2	1	0	0	0	0	0	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	30	"AWI"	30	448	2268	1273	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	57	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	437	0	0	0	22	0	0	2	6	0	0	0	0	3	0	0	0	0	0	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	40	"AWI"	40	760	2771	1771	0	1	4	7	0	11	0	0	2	0	2	0	0	0	4	0	7	0	0	95	0	0	38	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	59	0	7	0	55	2	0	40	0	9	0	0	2	5	0	0	0	0	1	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	50	"AWI"	50	1183	3042	2250	0	0	7	10	0	43	0	0	0	0	1	0	0	0	13	0	14	0	0	35	0	2	48	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	49	0	0	82	0	5	1	0	3	1	1	0	0	0	0	1	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	60	"AWI"	60	2017	3280	2722	1	0	1	7	0	62	0	1	0	0	1	0	0	0	8	0	65	0	0	11	0	0	27	0	0	0	0	1	1	0	0	2	0	0	0	1	0	1	0	134	0	0	0	34	0	0	56	0	1	0	0	0	2	1	0	0	0	0	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	70	"AWI"	70	2846	3667	3241	0	1	1	3	0	81	0	1	1	0	1	0	0	0	12	0	40	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	241	0	0	0	30	0	0	42	13	2	0	0	0	2	3	0	0	0	0	3	0	0
