"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cathaya"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Myrtus"	"Olea"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Urticaceae"	"Vitaceae"
24038	41758	"Posidonia Lligat"	42.29222	3.29111	55	"AWI"	55	293	493	392	0	1	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	9	14	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	58	"AWI"	58	323	517	418	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	2	0	15	0	0	0	0	0	1	0	0	0	0	0	11	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	21	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	61	"AWI"	61	348	547	444	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	64	"AWI"	64	374	576	473	0	4	11	0	2	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	0	2	0	0	0	12	0	0	0	0	0	16	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	67	"AWI"	67	402	612	504	0	2	7	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	14	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	70	"AWI"	70	422	665	535	0	0	7	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9	2	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	73	"AWI"	73	455	694	568	0	1	6	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	76	"AWI"	76	482	732	601	0	1	4	3	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	7	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	79	"AWI"	79	509	765	633	0	2	5	3	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	2	24	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	8	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	82	"AWI"	82	546	797	666	0	5	0	0	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	2	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	85	"AWI"	85	574	834	699	0	10	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	88	"AWI"	88	616	859	731	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	23	0	0	0	0	0	6	14	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	91	"AWI"	91	644	890	761	0	5	2	0	0	0	7	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	2	0	0	0	0	0	0	0	37	8	0	0	0	0	0	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	103	"AWI"	103	734	1008	868	0	5	5	0	2	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	13	0	0	0	0	0	0	0	0	43	7	0	0	0	0	7	0	0	0	0	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	121	"AWI"	121	888	1182	1025	0	4	3	3	5	0	6	0	2	0	1	0	0	0	5	0	0	0	0	0	0	51	2	2	0	0	0	9	2	0	0	0	2	7	1	0	0	0	0	0	0	0	35	0	0	2	2	1	11	0	0	0	2	0
