"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	5	"AWI"	5	83	398	268	5	0	4	3	2	0	3	0	39	0	0	0	10	2	266	15	0	6	1	0	4	59	83	0	156	0	15	0	0	0	8	0	0	0	0	3	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	10	"AWI"	10	199	790	561	4	0	14	1	3	0	3	0	44	0	0	0	7	0	140	10	0	6	1	15	2	52	87	0	85	0	27	0	0	1	2	0	0	0	0	0	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	15	"AWI"	15	324	1170	842	8	0	19	1	2	0	3	8	50	0	0	0	10	0	177	45	0	1	0	0	6	42	110	4	63	0	18	0	0	0	2	0	0	0	0	3	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	20	"AWI"	20	638	1203	961	12	0	78	1	0	0	13	0	80	0	0	0	13	0	21	201	0	3	0	0	17	14	10	0	27	0	77	0	0	0	0	0	0	0	1	0	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	25	"AWI"	25	879	1256	1088	97	0	61	0	0	0	6	0	71	0	0	0	14	3	0	150	0	1	0	0	33	11	26	0	0	0	47	0	0	0	1	1	0	0	1	7	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	35	"AWI"	35	1092	1431	1253	78	0	40	1	1	0	8	0	33	0	0	0	9	0	0	186	0	10	0	0	13	43	27	0	0	0	64	0	0	0	0	0	0	0	1	5	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	45	"AWI"	45	1200	1518	1345	125	0	53	0	1	0	2	0	42	0	0	0	5	2	0	150	0	2	0	0	26	25	53	0	0	0	35	0	0	1	1	1	0	0	4	2	1
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	55	"AWI"	55	1337	1673	1514	97	0	54	0	0	0	10	0	45	0	0	0	6	0	0	211	0	1	0	0	33	43	17	0	0	0	35	0	0	0	0	0	0	0	0	1	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	65	"AWI"	65	1447	1805	1634	98	0	38	1	0	0	4	0	42	0	0	0	13	3	0	185	0	1	0	0	33	55	30	0	0	0	70	0	0	1	0	1	0	0	3	3	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	80	"AWI"	80	1619	1909	1771	12	0	75	1	0	0	4	0	53	0	0	0	26	0	3	184	0	1	0	0	10	33	52	0	0	0	52	0	0	0	0	0	0	0	0	4	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	85	"AWI"	85	1658	1938	1808	58	0	50	0	0	0	2	0	50	0	0	0	10	1	0	123	0	0	0	0	20	30	111	0	0	0	40	0	0	0	1	0	0	0	0	1	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	100	"AWI"	100	1768	2034	1896	49	0	63	2	0	0	5	0	104	0	0	0	25	0	0	105	0	1	0	0	17	42	42	0	0	0	67	0	0	0	0	0	0	0	2	3	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	105	"AWI"	105	1795	2067	1923	150	0	28	0	0	0	0	0	23	0	0	0	8	2	0	137	0	0	0	0	12	67	52	0	0	0	16	0	0	0	0	0	0	0	1	3	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	110	"AWI"	110	1828	2102	1954	91	0	40	0	0	0	10	0	82	1	0	0	9	0	0	153	1	2	0	0	25	53	38	0	0	0	43	0	0	1	0	0	0	0	1	4	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	115	"AWI"	115	1851	2155	1985	92	0	68	5	0	0	6	0	73	0	0	0	8	0	0	106	0	1	0	0	44	69	56	0	0	0	55	0	0	0	0	0	0	0	1	2	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	125	"AWI"	125	1928	2251	2057	135	1	17	2	0	0	5	0	35	0	0	0	6	4	0	136	0	1	0	0	14	46	76	0	0	0	25	0	0	1	0	0	0	0	1	4	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	135	"AWI"	135	1985	2343	2135	85	4	47	6	1	0	12	0	68	0	0	0	19	0	0	179	0	7	0	0	36	54	37	0	0	0	61	0	0	0	0	0	0	0	0	5	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	145	"AWI"	145	2047	2448	2224	90	0	49	2	2	0	7	0	86	0	0	0	23	2	0	131	0	2	0	0	18	27	62	0	0	0	46	0	0	0	2	2	0	0	0	4	1
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	155	"AWI"	155	2171	2542	2333	50	2	30	3	0	0	8	0	66	0	0	0	18	0	0	106	0	4	0	0	28	45	76	0	0	0	51	0	0	0	0	0	0	0	0	3	0
