"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
17506	29236	"Praz Rodet"	46.56667	6.17361	0	"AWI"	0	-147	14	-58	4	0	0	3	0	0	0	0	0	26	0	0	2	0	0	0	0	3	0	0	0	0	5	0	10	0	0	0	0	0	7	0	21	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	19	0	0	0	2	0	0	1	0	0	13	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	11	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	1	"AWI"	1	-138	21	-50	3	0	0	0	0	0	0	0	0	16	0	2	1	0	0	0	0	2	0	0	0	0	4	0	10	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	33	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	3	"AWI"	3	-125	42	-34	2	1	7	0	0	0	0	0	0	15	0	1	0	0	0	0	0	3	0	0	0	0	10	0	9	0	0	0	0	0	24	1	7	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	41	79	0	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	4	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	5	"AWI"	5	-118	75	-21	13	3	0	0	0	0	0	2	0	18	0	1	0	0	0	0	0	4	0	0	0	0	15	0	4	0	0	0	0	0	7	0	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	27	140	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	7	"AWI"	7	-110	115	-7	8	1	0	0	0	0	0	0	0	39	0	1	1	0	0	0	0	6	0	0	0	0	14	0	13	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	52	75	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1
17506	29236	"Praz Rodet"	46.56667	6.17361	9	"AWI"	9	-103	162	6	4	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	15	0	20	0	0	0	0	0	35	0	3	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	81	64	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	11	"AWI"	11	-92	191	20	8	0	6	1	0	0	0	0	0	22	0	1	0	0	0	0	0	1	0	0	0	0	15	0	25	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	35	122	0	0	0	0	0	0	1	0	21	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	1	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	13	"AWI"	13	-77	201	37	13	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	3	0	0	0	0	12	0	7	0	0	0	0	0	9	0	7	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	7	0	27	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	11	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	15	"AWI"	15	-67	213	56	7	0	0	1	0	0	0	5	0	20	0	0	0	0	0	0	0	1	0	0	0	0	15	0	35	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	51	0	0	0	3	0	0	0	0	0	19	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	8	0	0
17506	29236	"Praz Rodet"	46.56667	6.17361	17	"AWI"	17	-55	230	73	12	0	0	1	0	0	0	4	0	35	0	2	0	0	0	0	0	6	0	0	0	0	12	0	43	0	0	0	0	0	13	0	23	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	6	0	36	0	0	0	1	0	0	1	0	0	19	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	4	8	0	0
