"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Diapensiaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1290	"AWI"	1290	-134	34	-47	6	0	0	1	0	0	202	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	6	0	23	0	0	0	2	86	0	0	42	0	0	0	0	0	0	0	0	0	0	2	0	0	1
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1294	"AWI"	1294	-57	529	126	9	0	0	2	0	0	192	0	0	0	0	1	1	0	32	0	0	0	0	0	0	1	10	0	42	0	1	0	4	64	0	0	36	1	0	0	0	0	0	0	0	0	0	1	0	0	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1298	"AWI"	1298	49	799	337	8	0	2	0	0	0	168	0	0	0	0	0	1	0	38	0	0	0	0	0	0	1	14	0	33	0	0	0	4	42	0	0	42	0	0	1	0	0	0	0	0	0	0	2	0	1	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1302	"AWI"	1302	204	1016	572	13	0	0	1	0	0	217	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	6	0	42	0	0	0	4	80	0	0	51	1	1	0	0	0	0	0	0	0	1	2	0	0	2
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1306	"AWI"	1306	393	1190	819	12	0	0	1	1	0	178	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1	6	0	30	0	0	0	2	95	0	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1310	"AWI"	1310	617	1344	1039	5	0	0	1	2	0	205	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	10	0	27	0	2	0	1	45	0	0	32	0	0	0	2	0	0	0	0	0	1	0	0	0	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1314	"AWI"	1314	917	1486	1250	12	0	0	2	0	0	252	0	0	0	0	0	1	0	24	0	0	0	0	0	0	1	7	0	32	0	0	0	6	79	0	0	29	1	0	0	0	0	0	0	8	0	0	3	0	0	4
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1318	"AWI"	1318	1081	1701	1414	7	0	0	0	1	0	211	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	4	0	25	0	0	0	4	98	0	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	2
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1322	"AWI"	1322	1210	1927	1560	18	0	0	1	1	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	7	0	29	0	0	0	2	97	0	0	21	0	0	0	2	0	0	0	0	0	1	1	0	0	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1326	"AWI"	1326	1320	2130	1705	7	0	0	0	0	0	189	0	0	0	0	0	1	0	34	0	0	0	0	0	0	0	10	0	27	0	0	0	1	81	0	0	31	0	1	0	0	0	0	0	0	0	0	1	1	0	0
26169	45642	"Bjørnfjelltjørn"	68.44417	18.07167	1330	"AWI"	1330	1443	2320	1856	14	0	0	1	0	0	282	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	8	0	25	0	0	0	2	103	0	0	26	1	0	0	0	0	0	0	0	0	0	3	0	0	1
