"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14557	22822	"Kružlová"	49.36417	21.58361	2.5	"AWI"	2.5	-111	68	-22.5	0	0.371747211895911	0.743494423791822	1.11524163568773	0	0	0.743494423791822	0	9.66542750929368	0.743494423791822	0	0	0	0	0.743494423791822	1.48698884758364	0	0	1.85873605947955	0	0	0	0	0	0.371747211895911	0	0	0	0	0	0.743494423791822	0	1.48698884758364	54.6468401486989	0	0	0	1.48698884758364	0	0	3.3457249070632	0	0	0.371747211895911	0	20.0743494423792	0	0	0	0	0	0	0
14557	22822	"Kružlová"	49.36417	21.58361	12.5	"AWI"	12.5	-53.5	302	72.5	0	0	1.55642023346304	1.55642023346304	0.778210116731518	0	0	0	12.4513618677043	0	0	0	0	0	0.778210116731518	6.22568093385214	0	0	9.33852140077821	0	0	0	0	0	0.778210116731518	0	0	0	0	0	0.778210116731518	0	1.55642023346304	50.9727626459144	0	0	0	1.55642023346304	0	0	2.33463035019455	0	0	0	0	9.33852140077821	0	0	0	0	0	0	0
14557	22822	"Kružlová"	49.36417	21.58361	22.5	"AWI"	22.5	12	446	180.5	0.598802395209581	0	2.9940119760479	2.9940119760479	0	0	0.598802395209581	0	9.58083832335329	0	0	0	0	0	4.19161676646707	1.19760479041916	0	0	7.18562874251497	0	0	0	0	0	1.79640718562874	0	0	0	0	0	2.39520958083832	0	0.598802395209581	55.0898203592814	0	0	0	0	0	0	4.19161676646707	0	0	0.598802395209581	0	5.38922155688623	0	0	0	0	0.598802395209581	0	0
14557	22822	"Kružlová"	49.36417	21.58361	32.5	"AWI"	32.5	87	572.5	291.5	1.72839506172839	0.246913580246914	1.72839506172839	0.246913580246914	0.493827160493827	0	0	0	15.8024691358025	0.246913580246914	0	0	0	0	2.46913580246914	14.8148148148148	0	0	13.0864197530864	0	0	0	0	0.246913580246914	5.18518518518519	0	0	0	0	0	1.23456790123457	0	0	33.0864197530864	0	0	0	0.493827160493827	0	0	3.7037037037037	0	0	0.740740740740741	0	3.95061728395062	0	0	0	0	0	0.246913580246914	0.246913580246914
14557	22822	"Kružlová"	49.36417	21.58361	42.5	"AWI"	42.5	171	682.5	401	1.48514851485149	0	1.81518151815182	0.495049504950495	0.165016501650165	0	0.495049504950495	0	14.3564356435644	0.495049504950495	0	0	0	0	3.3003300330033	40.4290429042904	0	0	6.76567656765677	0	0	0	0	0	9.73597359735974	0	0	0.33003300330033	0	0	0.66006600660066	0	1.48514851485149	8.58085808580858	0	0	0	0	0	0.165016501650165	4.29042904290429	0	0	2.14521452145215	0.825082508250825	1.48514851485149	0	0	0	0	0.165016501650165	0.165016501650165	0.165016501650165
14557	22822	"Kružlová"	49.36417	21.58361	52.5	"AWI"	52.5	274	788.5	509.5	1.53846153846154	0	2.90598290598291	2.05128205128205	0.341880341880342	0	0.341880341880342	0	14.1880341880342	1.02564102564103	0	0	0	0	1.36752136752137	40.1709401709402	0	0	4.78632478632479	0	0	0	0	0	8.71794871794872	0	0	1.53846153846154	0.341880341880342	0	0.341880341880342	0	0.512820512820513	12.1367521367521	0	0	0	0.341880341880342	0	0	3.93162393162393	0	0	2.05128205128205	0	0.341880341880342	0	0	0	0.341880341880342	0.170940170940171	0.170940170940171	0.341880341880342
14557	22822	"Kružlová"	49.36417	21.58361	62.5	"AWI"	62.5	397	887	617	1.74927113702624	0	2.04081632653061	0.583090379008746	0	0	0.291545189504373	0	5.53935860058309	0.583090379008746	0	0	0	0	0.87463556851312	20.9912536443149	0	0	20.6997084548105	0	0	0	0	0	13.4110787172012	0	0	0	0	0	0.583090379008746	0	0	18.9504373177843	0	0	0	2.04081632653061	0	0	4.66472303206997	0	0.87463556851312	1.45772594752187	1.45772594752187	0.583090379008746	0	0	0	0	0	0.291545189504373	2.33236151603499
14557	22822	"Kružlová"	49.36417	21.58361	70	"AWI"	70	484	979	695	0.860420650095602	0	1.33843212237094	0.191204588910134	0.956022944550669	0	0.860420650095602	0	1.81644359464627	0.0956022944550669	0	0	0	0	1.7208413001912	58.604206500956	0	0	14.7227533460803	0	0	0	0	0	1.81644359464627	0	0	0.191204588910134	0	0	0.382409177820268	0	0	8.50860420650096	0	0	0	1.24282982791587	0	0	2.77246653919694	0	0	0.956022944550669	0	0.0956022944550669	0.0956022944550669	0	0	2.48565965583174	0	0	0.286806883365201
14557	22822	"Kružlová"	49.36417	21.58361	77.5	"AWI"	77.5	615	1078.5	799.5	5.57522123893805	0	2.92035398230089	0.0884955752212389	0.884955752212389	0	0.530973451327434	0	2.74336283185841	0.176991150442478	0	0	0	0	4.07079646017699	46.283185840708	0	0	8.49557522123894	0	0	0	0.265486725663717	0	0.353982300884956	0	0.0884955752212389	0.353982300884956	0	0	0.884955752212389	0	0.530973451327434	11.3274336283186	0	0	0.442477876106195	2.30088495575221	0	0	3.6283185840708	0	0	1.41592920353982	0	0.530973451327434	0.0884955752212389	0	0	4.86725663716814	0.707964601769911	0.265486725663717	0.176991150442478
14557	22822	"Kružlová"	49.36417	21.58361	87.5	"AWI"	87.5	753.5	1316.5	1014	7.52351097178683	0	2.35109717868339	0.235109717868339	0.313479623824451	0	0.783699059561128	0	1.56739811912226	0.235109717868339	0	0.156739811912226	0.470219435736677	0	3.84012539184953	54.6238244514107	0	0	9.40438871473354	0	0.0783699059561128	0	0	0.0783699059561128	0.235109717868339	0	0	0.783699059561128	0	0	1.33228840125392	0	0.235109717868339	9.09090909090909	0	0	0	0	0.0783699059561128	0	1.72413793103448	0	0	2.11598746081505	0	0.391849529780564	0	0.0783699059561128	0	0	1.72413793103448	0.470219435736677	0.0783699059561128
