"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	0	"AWI"	0	750	1328	1002	2	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	10	"AWI"	10	918	1743	1244	11	0	0	0	0	0	0	0	3	1	0	0	7	0	0	5	72	0	0	0	1	0	1	1	0	0	1	6	0	0	47	0	0	240	0	0	0	7	28	1	0	1	4	0	0	0	0	0	1	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	20	"AWI"	20	1075	2028	1503	1	0	0	0	0	0	1	0	2	4	0	0	9	0	0	4	95	0	0	0	9	1	0	0	1	2	0	6	0	0	35	0	0	0	0	0	0	9	0	0	0	1	45	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	30	"AWI"	30	1282	2288	1779	8	1	69	0	0	0	0	0	16	0	0	0	1	0	0	9	44	0	0	0	0	5	0	0	0	0	0	1	0	0	175	0	0	0	0	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	40	"AWI"	40	1527	2499	2047	4	0	88	1	1	0	13	0	15	14	0	0	2	0	0	5	186	0	0	0	0	5	2	0	0	0	0	6	0	0	51	78	0	0	0	0	0	13	0	0	0	4	9	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	50	"AWI"	50	1804	2662	2306	9	0	75	0	0	0	0	0	6	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	3	0	0	49	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	60	"AWI"	60	2219	2819	2545	6	0	94	1	0	0	4	0	14	2	0	0	1	0	0	8	54	0	0	0	0	1	0	0	0	6	0	11	1	0	133	0	0	0	0	0	0	18	0	0	0	0	13	3	0	0	0	0	1	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	70	"AWI"	70	2403	3198	2758	15	0	158	0	0	0	1	0	6	0	0	0	0	0	0	3	20	0	0	0	0	0	1	0	0	0	0	2	0	0	62	0	0	0	0	0	0	8	0	0	0	0	2	4	0	0	0	0	4	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	80	"AWI"	80	2580	3456	2988	76	2	73	0	0	0	5	0	83	0	0	0	0	2	0	0	33	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	11	0	0	0	1	4	5	0	0	1	0	6	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	90	"AWI"	90	2776	3669	3220	38	0	36	0	0	0	3	0	31	0	0	0	2	0	0	5	22	0	0	0	1	2	0	0	0	0	0	5	0	0	47	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0
