"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Caryophyllaceae"	"Cyperaceae"	"Polygonaceae"	"Rubiaceae"	"Rumex"
15969	24624	"La Grange"	46.08972	-0.77528	10	"AWI"	10	295	1077	809	0	70	2	0	0
15969	24624	"La Grange"	46.08972	-0.77528	14	"AWI"	14	998	1364	1144	1	67	2	3	0
15969	24624	"La Grange"	46.08972	-0.77528	18	"AWI"	18	1077	2351	1464	0	81	1	3	0
15969	24624	"La Grange"	46.08972	-0.77528	22	"AWI"	22	1225	2979	1851	0	83	1	2	0
15969	24624	"La Grange"	46.08972	-0.77528	28	"AWI"	28	1389	3677	2496	0	56	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	34	"AWI"	34	1758	4358	3038	0	29	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	40	"AWI"	40	2061	4978	3578	0	22	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	47	"AWI"	47	2900	5232	4205	0	32	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	53	"AWI"	53	3621	5503	4762	0	61	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	59	"AWI"	59	4398	5647	5354	0	13	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	65	"AWI"	65	4657	5769	5550	0	143	0	3	0
15969	24624	"La Grange"	46.08972	-0.77528	71	"AWI"	71	4848	5931	5657	0	108	0	2	0
15969	24624	"La Grange"	46.08972	-0.77528	77	"AWI"	77	5016	5999	5728	0	71	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	83	"AWI"	83	5173	6069	5799	0	91	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	90	"AWI"	90	5344	6161	5883	0	93	1	2	0
15969	24624	"La Grange"	46.08972	-0.77528	96	"AWI"	96	5523	6202	5963	0	45	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	102	"AWI"	102	5692	6265	6039	0	102	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	108	"AWI"	108	5869	6326	6119	0	152	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	114	"AWI"	114	6029	6425	6233	0	171	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	120	"AWI"	120	6092	6692	6337	0	102	0	3	0
15969	24624	"La Grange"	46.08972	-0.77528	126	"AWI"	126	6224	6884	6517	0	91	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	132	"AWI"	132	6334	7135	6686	0	33	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	139	"AWI"	139	6458	7330	6901	0	59	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	145	"AWI"	145	6645	7462	7082	0	45	0	3	0
15969	24624	"La Grange"	46.08972	-0.77528	151	"AWI"	151	6805	7614	7260	0	72	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	157	"AWI"	157	7140	7713	7422	0	48	0	3	0
15969	24624	"La Grange"	46.08972	-0.77528	163	"AWI"	163	7521	7991	7709	0	49	0	1	1
15969	24624	"La Grange"	46.08972	-0.77528	169	"AWI"	169	7650	8887	8081	0	42	0	1	0
15969	24624	"La Grange"	46.08972	-0.77528	175	"AWI"	175	8009	9313	8629	0	62	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	182	"AWI"	182	8483	9870	9234	0	43	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	188	"AWI"	188	8984	10224	9687	0	28	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	192	"AWI"	192	9163	10612	9928	0	22	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	196	"AWI"	196	9299	10993	10109	0	35	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	200	"AWI"	200	9406	11497	10277	0	31	0	0	0
