"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14594	22876	"Lac de Lod"	45.8025	7.60972	250	"AWI"	250	239	835	473	1	0	5	1	1	3	4	2	1	0	11	0	3	1	0	2	10	0	0	0	1	0	0	0	4	8	2	3	0	0	0	0	0	0	0	0	2	77	0	1	0	6	0	4	0	0	14	0	0	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	270	"AWI"	270	288	891	518	0	1	0	0	7	10	12	0	0	0	4	0	1	0	1	0	2	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	3	51	0	0	0	2	0	3	0	0	12	0	0	0	1	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	280	"AWI"	280	304	911	539	0	0	0	0	5	7	8	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	65	0	0	1	0	0	0	0	1	5	0	0	2	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	290	"AWI"	290	323	945	561	1	0	0	0	4	4	0	2	1	0	90	0	0	1	1	0	30	0	0	0	1	0	0	0	11	17	0	1	0	0	0	0	0	5	0	0	0	96	0	0	0	4	1	0	0	1	8	0	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	300	"AWI"	300	353	974	582	0	0	4	1	7	3	2	2	0	0	100	1	0	3	0	0	36	0	0	0	2	0	0	0	15	9	0	1	0	0	1	0	0	5	0	0	6	95	2	0	0	8	0	2	0	1	6	1	0	0	0	1	0
14594	22876	"Lac de Lod"	45.8025	7.60972	310	"AWI"	310	378	1001	604	0	0	6	0	10	3	2	3	0	1	117	0	0	0	0	0	16	0	1	0	0	0	0	0	15	13	0	1	0	0	2	0	0	5	0	0	6	109	0	0	1	7	1	3	0	0	7	1	1	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	320	"AWI"	320	401	1027	626	0	1	0	1	11	15	8	1	1	0	81	0	4	1	0	0	14	0	0	0	1	0	0	0	3	11	0	1	0	0	0	0	0	2	0	0	6	144	0	0	0	0	0	2	0	0	5	0	1	1	0	0	1
14594	22876	"Lac de Lod"	45.8025	7.60972	340	"AWI"	340	451	1086	668	0	1	2	0	9	6	15	2	0	0	31	0	2	1	0	1	33	0	1	0	0	0	0	0	5	5	2	3	0	0	0	0	0	3	28	0	0	103	0	0	0	4	0	3	0	3	10	0	0	1	1	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	350	"AWI"	350	482	1108	690	0	1	7	0	6	1	11	1	1	2	65	0	6	4	0	1	33	0	6	0	0	0	0	0	11	15	3	1	0	0	0	0	1	3	0	0	0	131	0	0	1	5	0	5	0	0	4	2	0	1	1	0	1
14594	22876	"Lac de Lod"	45.8025	7.60972	360	"AWI"	360	504	1133	713	1	0	2	5	17	2	40	0	0	1	15	0	13	1	0	1	2	0	0	0	1	0	1	0	1	3	0	1	0	0	0	0	0	3	0	0	0	178	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0
