"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26217	45719	"Grostjørna"	58.537336	7.73367	1021	"AWI"	1021	-134	31	-46	0	58	0	0	0	0	3	0	0	197	0	0	0	0	0	8	11	0	0	0	0	1	0	0	7	0	19	0	7	0	3	0	4	360	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	2	3	0
26217	45719	"Grostjørna"	58.537336	7.73367	1024	"AWI"	1024	-87	149	17	0	53	1	0	0	0	0	0	0	172	0	0	0	0	0	10	19	0	0	0	0	0	0	0	4	0	14	0	5	0	1	1	2	317	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	3	1	8	0
26217	45719	"Grostjørna"	58.537336	7.73367	1028	"AWI"	1028	-61	375	96	0	83	1	0	0	0	1	0	0	238	0	0	0	0	0	12	15	0	0	2	0	0	0	0	10	1	82	0	21	1	0	0	3	237	0	0	0	0	0	0	8	0	0	0	8	0	0	0	2	0	0	1	1	4	0
26217	45719	"Grostjørna"	58.537336	7.73367	1032	"AWI"	1032	-46	607	177	0	72	0	0	0	0	0	0	0	228	0	0	0	0	0	8	16	0	0	0	1	1	0	1	4	0	38	0	4	0	1	0	1	202	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	1	0	4	0
26217	45719	"Grostjørna"	58.537336	7.73367	1036	"AWI"	1036	25	701	283	0	77	0	0	0	0	1	0	0	192	0	0	0	0	0	9	13	0	0	0	1	1	0	0	5	0	26	0	8	0	4	0	0	0	0	0	0	1	0	1	14	0	0	0	0	0	0	0	2	0	0	2	0	1	0
26217	45719	"Grostjørna"	58.537336	7.73367	1040	"AWI"	1040	72	789	402	0	40	1	0	0	0	0	0	0	172	0	0	0	0	0	9	9	0	0	0	0	0	0	0	5	0	11	0	9	0	0	0	1	236	0	0	0	7	0	0	10	0	0	0	9	0	0	0	0	0	0	1	0	7	0
26217	45719	"Grostjørna"	58.537336	7.73367	1044	"AWI"	1044	104	943	505	0	47	0	0	0	0	1	0	0	203	0	0	0	0	0	13	10	0	0	0	0	0	0	0	1	0	25	0	6	0	0	0	1	204	0	0	0	1	0	1	12	0	0	0	8	0	0	0	0	0	0	0	0	4	0
26217	45719	"Grostjørna"	58.537336	7.73367	1048	"AWI"	1048	249	991	612	0	79	0	0	0	0	0	0	0	158	0	0	0	0	0	11	0	0	0	0	0	1	0	0	8	0	31	0	4	0	0	0	0	202	0	0	0	3	0	1	10	0	0	1	0	0	0	0	2	0	0	3	1	1	0
26217	45719	"Grostjørna"	58.537336	7.73367	1052	"AWI"	1052	348	1042	731	0	68	0	0	0	0	0	0	0	273	0	0	0	0	0	5	0	0	0	0	2	2	0	0	5	0	7	0	13	0	5	0	0	235	0	0	0	2	0	0	22	0	0	0	3	0	0	0	3	0	0	0	0	4	1
26217	45719	"Grostjørna"	58.537336	7.73367	1056	"AWI"	1056	408	1143	846	0	49	0	0	0	0	0	0	0	222	0	0	0	0	0	13	0	0	0	0	2	0	0	0	5	0	4	0	12	0	2	0	2	313	0	0	0	0	0	0	9	0	0	0	6	0	0	0	2	0	0	0	0	1	0
