"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"
3403	4411	"Sérent"	47.80944	-2.46806	5	"AWI"	5	-54	320	82	3	1	0	0	0	0	1	0	25	0	0	0	0	5	3	5	108	0	1	2	0	0	0	0	0	1	0	0	0	23	0	0	105	0	31	0	0	0	35	1	0	4	0	0	0	0	3	0	0
3403	4411	"Sérent"	47.80944	-2.46806	10	"AWI"	10	-25	670	204	4	1	0	0	0	0	1	0	0	0	0	0	0	2	9	14	155	0	1	10	0	1	0	0	0	0	0	0	0	26	0	0	7	0	46	0	0	0	23	0	0	1	0	1	0	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	15	"AWI"	15	65	745	353	0	4	0	0	0	0	1	0	0	0	0	0	2	2	1	7	170	0	0	9	0	0	2	0	1	3	0	1	0	15	0	0	1	22	94	0	0	0	23	1	0	1	0	1	0	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	20	"AWI"	20	114	920	492	2	2	0	0	1	0	2	0	0	0	0	0	0	1	4	1	189	0	1	6	0	0	0	0	4	1	0	0	0	211	0	0	4	0	43	1	0	0	14	0	0	1	0	3	0	0	0	0	1
3403	4411	"Sérent"	47.80944	-2.46806	30	"AWI"	30	360	1115	800	5	0	0	1	1	0	10	0	0	0	1	0	0	0	8	5	86	0	0	7	1	0	0	0	0	1	0	0	0	149	0	1	0	0	96	0	0	0	28	0	0	1	0	15	0	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	35	"AWI"	35	652	1153	924	11	2	0	0	0	0	5	0	0	0	0	0	0	0	2	6	78	0	1	8	0	0	0	0	0	0	0	0	0	301	0	0	0	0	85	0	0	0	18	0	1	12	1	16	3	0	1	0	0
3403	4411	"Sérent"	47.80944	-2.46806	40	"AWI"	40	837	1231	1063	16	5	0	1	0	0	9	5	0	0	0	0	0	1	17	17	54	0	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	96	1	0	0	23	0	0	3	3	14	3	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	45	"AWI"	45	1011	1317	1171	34	1	0	0	1	0	44	0	0	0	0	0	0	1	13	5	11	0	0	36	0	0	1	0	0	0	0	0	0	207	0	1	0	0	55	0	0	0	26	1	0	0	0	1	0	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	50	"AWI"	50	1070	1575	1274	24	1	0	1	0	0	52	0	0	0	0	0	4	0	13	3	6	0	0	37	0	0	0	0	0	0	0	0	0	163	0	0	1	0	0	0	0	0	30	3	0	0	2	3	1	0	1	1	0
3403	4411	"Sérent"	47.80944	-2.46806	55	"AWI"	55	1155	1677	1378	59	1	0	3	1	0	54	0	0	0	0	0	0	1	17	0	0	0	1	62	0	0	1	0	0	1	0	0	0	162	0	0	1	0	0	0	0	0	60	0	0	1	0	1	1	0	1	0	0
3403	4411	"Sérent"	47.80944	-2.46806	60	"AWI"	60	1198	1858	1469	31	0	0	2	0	0	36	0	0	0	0	0	0	0	7	1	0	0	0	46	0	0	0	0	0	0	0	0	0	203	0	0	2	0	0	0	0	0	50	0	1	0	0	0	1	0	0	0	1
3403	4411	"Sérent"	47.80944	-2.46806	65	"AWI"	65	1296	1941	1566	21	1	0	4	0	0	22	0	0	0	2	0	0	0	5	0	15	0	0	70	0	0	1	0	0	0	0	0	0	41	0	0	0	0	0	0	0	1	70	3	0	5	0	5	1	0	1	0	0
3403	4411	"Sérent"	47.80944	-2.46806	70	"AWI"	70	1347	2071	1664	32	0	0	1	1	0	22	0	0	0	0	0	0	0	3	1	9	0	0	22	0	1	0	0	0	1	0	0	0	256	0	0	1	8	0	0	0	2	72	0	0	2	0	5	1	0	1	0	0
3403	4411	"Sérent"	47.80944	-2.46806	75	"AWI"	75	1483	2147	1762	21	0	0	2	0	0	8	0	0	0	0	0	0	0	2	1	28	0	0	4	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0
3403	4411	"Sérent"	47.80944	-2.46806	80	"AWI"	80	1564	2255	1860	15	2	0	2	0	0	29	0	0	1	0	0	0	0	1	7	0	0	1	9	0	0	2	0	0	1	0	0	0	250	0	0	1	0	0	0	0	0	53	0	0	0	0	3	4	0	0	0	1
3403	4411	"Sérent"	47.80944	-2.46806	85	"AWI"	85	1785	2547	2070	11	0	0	1	0	0	54	0	0	0	0	2	1	0	9	11	0	0	0	1	0	1	1	0	0	1	0	0	0	271	0	0	1	0	53	0	0	0	6	0	0	3	0	0	1	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	90	"AWI"	90	1863	3055	2264	25	13	1	2	1	0	111	0	0	0	0	0	1	0	20	8	0	0	1	4	0	1	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	15	1	0	22	0	0	1	0	0	1	0
3403	4411	"Sérent"	47.80944	-2.46806	95	"AWI"	95	2040	3435	2606	53	1	1	2	0	0	114	0	0	0	0	2	0	0	8	10	0	0	1	4	0	0	0	0	0	0	0	0	0	79	1	0	1	0	0	0	0	0	56	0	0	3	0	0	0	0	1	1	0
3403	4411	"Sérent"	47.80944	-2.46806	100	"AWI"	100	2128	4131	2907	77	1	1	2	0	0	22	0	0	0	0	0	0	0	6	5	0	0	0	2	0	0	0	0	0	1	0	0	0	95	0	0	1	0	0	0	0	0	48	1	1	1	1	1	1	0	0	1	0
3403	4411	"Sérent"	47.80944	-2.46806	105	"AWI"	105	2397	4384	3259	133	1	1	3	0	0	31	0	0	0	0	0	0	0	10	18	0	0	1	1	1	0	1	0	0	2	0	0	1	69	0	0	1	0	0	0	0	1	81	2	10	2	0	0	0	0	0	4	1
3403	4411	"Sérent"	47.80944	-2.46806	110	"AWI"	110	2542	4835	3587	135	2	0	24	0	0	25	0	0	0	0	0	0	0	10	2	0	0	0	0	2	0	3	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	89	0	0	5	0	0	1	0	0	15	0
3403	4411	"Sérent"	47.80944	-2.46806	115	"AWI"	115	2900	5010	3944	134	0	0	2	0	0	73	0	0	0	0	0	0	0	13	1	0	0	0	1	1	0	6	0	0	0	0	0	0	72	0	0	2	0	0	0	0	0	79	0	1	0	0	0	0	0	0	4	1
3403	4411	"Sérent"	47.80944	-2.46806	120	"AWI"	120	3108	5321	4293	183	2	0	4	0	0	42	0	1	0	0	0	0	0	6	1	0	1	1	0	0	0	64	0	0	0	0	0	0	43	0	0	1	0	0	0	0	0	68	0	6	2	0	0	1	0	0	6	1
3403	4411	"Sérent"	47.80944	-2.46806	125	"AWI"	125	3569	5457	4628	155	0	0	5	3	0	25	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	9	0	0	2	0	0	0	38	0	0	0	0	0	0	0	0	55	0	0	29	0	0	0	0	1	24	1
3403	4411	"Sérent"	47.80944	-2.46806	130	"AWI"	130	3803	5723	4991	114	0	0	3	0	0	67	0	0	0	0	0	0	0	23	3	0	0	0	0	0	0	1	0	0	0	0	0	0	57	0	0	1	0	0	0	0	1	66	0	0	7	1	0	0	0	0	7	1
3403	4411	"Sérent"	47.80944	-2.46806	135	"AWI"	135	4567	5838	5278	193	0	0	0	0	0	22	0	0	0	0	0	0	0	10	2	0	0	0	0	3	0	0	0	0	0	0	1	0	66	0	0	1	0	0	0	0	0	70	0	1	1	0	0	1	0	0	4	2
3403	4411	"Sérent"	47.80944	-2.46806	140	"AWI"	140	5039	6058	5606	219	0	1	2	0	0	11	0	0	0	0	0	0	0	8	3	0	0	0	0	3	0	4	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	55	0	2	7	0	0	1	0	0	5	3
3403	4411	"Sérent"	47.80944	-2.46806	142	"AWI"	142	5372	6131	5738	225	0	0	4	0	0	2	0	0	0	0	9	0	0	8	1	0	0	0	0	1	0	6	0	0	0	0	0	0	36	0	0	1	0	0	0	0	0	35	0	0	0	2	0	0	1	0	10	4
3403	4411	"Sérent"	47.80944	-2.46806	145	"AWI"	145	5634	6348	5963	249	0	1	3	1	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	1	0	0	0	0	0	40	0	0	1	0	0	1	0	0	5	2
3403	4411	"Sérent"	47.80944	-2.46806	150	"AWI"	150	5773	7170	6300	208	0	0	2	0	0	7	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	0	39	1	0	0	0	0	0	0	0	7	4
3403	4411	"Sérent"	47.80944	-2.46806	155	"AWI"	155	6064	7385	6684	111	1	0	4	1	0	20	0	1	0	0	0	2	0	27	11	0	0	0	0	0	2	0	0	0	0	0	0	0	43	0	0	3	0	0	0	0	0	26	0	0	0	0	0	1	0	0	2	0
3403	4411	"Sérent"	47.80944	-2.46806	165	"AWI"	165	6749	7938	7383	141	0	0	0	2	0	8	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	1	0	0	0	41	0	0	1	0	0	0	0	0	27	1	0	1	0	0	1	0	0	0	0
3403	4411	"Sérent"	47.80944	-2.46806	175	"AWI"	175	7644	8368	8028	6	0	0	1	3	0	14	0	0	0	0	0	1	0	27	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	5	1	0	6	2	0	2	0	0	0	0
