"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Tilia"	"Ulmus"
3364	4362	"Punso"	57.68477	27.25948	130	"AWI"	130	-124	346	96	12.2994652406417	0.53475935828877	0.53475935828877	0.53475935828877	25.1336898395722	2.13903743315508	1.06951871657754	1.06951871657754	9.09090909090909	41.1764705882353	2.67379679144385	1.06951871657754	1.06951871657754	0	0	1.60427807486631
3364	4362	"Punso"	57.68477	27.25948	140	"AWI"	140	136	626	407	13.5	0.5	0	1	24	2	2	2	14.5	35	2.5	0.5	1.5	0	0	1
3364	4362	"Punso"	57.68477	27.25948	150	"AWI"	150	564	808	681	13.6612021857924	1.63934426229508	0	0.546448087431694	33.3333333333333	1.09289617486339	2.73224043715847	0.546448087431694	8.19672131147541	33.879781420765	1.09289617486339	0	1.63934426229508	0	0.546448087431694	1.09289617486339
3364	4362	"Punso"	57.68477	27.25948	160	"AWI"	160	687	959	812	11.4457831325301	0	1.20481927710843	0	34.3373493975904	3.01204819277108	2.40963855421687	1.20481927710843	12.6506024096386	27.1084337349398	1.80722891566265	3.01204819277108	1.20481927710843	0	0	0.602409638554217
3364	4362	"Punso"	57.68477	27.25948	170	"AWI"	170	803	1181	969	14.6341463414634	0.609756097560976	0.609756097560976	0.609756097560976	32.9268292682927	3.04878048780488	3.04878048780488	1.21951219512195	8.53658536585366	26.219512195122	1.82926829268293	3.04878048780488	1.21951219512195	0	0.609756097560976	1.82926829268293
3364	4362	"Punso"	57.68477	27.25948	180	"AWI"	180	986	1437	1198	15.979381443299	1.03092783505155	0	0	32.9896907216495	3.60824742268041	3.09278350515464	1.03092783505155	7.21649484536082	29.3814432989691	1.54639175257732	0.515463917525773	1.54639175257732	0	0.515463917525773	1.54639175257732
3364	4362	"Punso"	57.68477	27.25948	190	"AWI"	190	1202	1796	1442	15.8730158730159	0.529100529100529	0	0.529100529100529	31.7460317460317	5.29100529100529	2.64550264550265	0.529100529100529	13.7566137566138	19.047619047619	1.58730158730159	3.7037037037037	2.11640211640212	0	2.11640211640212	0.529100529100529
3364	4362	"Punso"	57.68477	27.25948	200	"AWI"	200	1405	2180	1750	16.3934426229508	0.546448087431694	0.546448087431694	0	25.6830601092896	6.55737704918033	3.27868852459016	0.546448087431694	19.672131147541	15.8469945355191	1.09289617486339	3.27868852459016	1.63934426229508	0	2.73224043715847	2.18579234972678
3364	4362	"Punso"	57.68477	27.25948	210	"AWI"	210	1631	2503	2055	18.6363636363636	0.454545454545455	0.909090909090909	0.454545454545455	29.0909090909091	4.09090909090909	2.27272727272727	0.909090909090909	17.7272727272727	15.4545454545455	1.36363636363636	3.63636363636364	0.454545454545455	0	2.27272727272727	2.27272727272727
3364	4362	"Punso"	57.68477	27.25948	220	"AWI"	220	1895	2778	2359	21.3219616204691	0.852878464818763	0.426439232409382	0.426439232409382	25.5863539445629	4.26439232409382	3.19829424307036	0.852878464818763	16.2046908315565	12.7931769722815	2.98507462686567	3.41151385927505	0.639658848614073	0.639658848614073	2.98507462686567	3.41151385927505
3364	4362	"Punso"	57.68477	27.25948	230	"AWI"	230	2207	3035	2661	18.5792349726776	0.728597449908925	0.546448087431694	0.728597449908925	22.2222222222222	9.47176684881603	1.63934426229508	0.910746812386157	14.936247723133	12.7504553734062	2.73224043715847	3.64298724954463	0.910746812386157	0.728597449908925	4.00728597449909	5.46448087431694
3364	4362	"Punso"	57.68477	27.25948	240	"AWI"	240	2584	3255	2949	19.7938144329897	0.824742268041237	1.44329896907216	1.03092783505155	24.3298969072165	11.9587628865979	3.09278350515464	0.824742268041237	9.07216494845361	9.48453608247423	1.85567010309278	2.06185567010309	1.44329896907216	0.412371134020619	4.94845360824742	7.42268041237113
