"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15748	24188	"Hopschensee"	46.2525	8.02306	0.3	"AWI"	0.3	-117.2	18.5	-45.3	0.581395348837209	0	14.5348837209302	0	0	0	0	0	0.872093023255814	0	3.19767441860465	0	0	0	0	0	0	0	2.61627906976744	0	0	0	2.90697674418605	0	13.6627906976744	0	0	0	0	0	1.74418604651163	0.872093023255814	0	0	0.290697674418605	0.290697674418605	0	0.872093023255814	4.65116279069767	0	3.19767441860465	0	0	0	0.872093023255814	0	0	0	13.3720930232558	29.6511627906977	0	0	0	0	0	0	0	0	2.32558139534884	0	2.03488372093023	0	0.290697674418605	0	0.581395348837209	0	0	0	0	0	0	0	0	0.581395348837209	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	0.8	"AWI"	0.8	-109.2	21	-40.8	1.66204986149584	0	18.005540166205	0.277008310249307	0	0	0	0	1.66204986149584	0	4.15512465373961	0	0	0	0	1.66204986149584	0	0	2.77008310249307	0	0	0	3.8781163434903	0	16.0664819944598	0	0	0	0	0	1.38504155124654	0.831024930747922	0	0	0	0.277008310249307	0	0.277008310249307	2.77008310249307	0	1.10803324099723	0	0	0	0	0	0	0	9.41828254847645	26.0387811634349	0	0	0	0	0	0	0	0	1.93905817174515	0	3.601108033241	0	0.277008310249307	0	0.554016620498615	0	0	0	0	0	0	0	0	1.38504155124654	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	1.3	"AWI"	1.3	-102.1	23.5	-36.3	1.23839009287926	0	16.4086687306502	0.619195046439629	0	0	0	0	0.619195046439629	0	4.02476780185759	0.309597523219814	0	0	0	0	0	0	2.1671826625387	0	0	0	3.09597523219814	0	14.2414860681115	0	0	0	0	0	0.619195046439629	0	0	0	0	0	0	1.85758513931889	3.09597523219814	0	2.1671826625387	0	0.309597523219814	0	0	0	0	0	15.4798761609907	26.3157894736842	0	0	0	0	0	0	0	0	2.1671826625387	0	0.928792569659443	0	1.23839009287926	0	0.309597523219814	0	0	0	0	0	0.309597523219814	0	0.619195046439629	1.85758513931889	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	1.8	"AWI"	1.8	-95.6	26	-31.8	0.714285714285714	0	14.7619047619048	0	0	0	0	0	1.9047619047619	0	4.04761904761905	0	0	0	0	1.42857142857143	0	0	1.66666666666667	0	0	0	3.80952380952381	0	16.9047619047619	0.238095238095238	0	0	0	0	1.19047619047619	0	0	0.714285714285714	0	0.238095238095238	0	0.238095238095238	4.52380952380952	0	2.61904761904762	0	0	0	0.952380952380952	0	0	0	12.1428571428571	26.1904761904762	0	0	0	0	0	0	0	0	2.38095238095238	0	1.42857142857143	0	0	0	0	0	0	0	0	0	0.476190476190476	0	0	1.19047619047619	0	0	0.238095238095238
15748	24188	"Hopschensee"	46.2525	8.02306	2.3	"AWI"	2.3	-89.1	28.8	-27.3	0.8	0	12.5333333333333	0	0	0	0	0	1.33333333333333	0	3.73333333333333	0	0	0	0	2.13333333333333	0	0	2.4	0	0	0.266666666666667	1.86666666666667	0	16.8	0	0	0	0	0	1.06666666666667	0	0	0	0.266666666666667	0	0	0.533333333333333	2.4	0	2.66666666666667	0	0	0	0.533333333333333	0	0	0	13.6	30.1333333333333	0	0	0	0	0	0	0	0	2.4	0	3.46666666666667	0	0	0	0	0	0	0	0	0	0.266666666666667	0.266666666666667	0	0.533333333333333	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	2.8	"AWI"	2.8	-82.6	31.8	-22.8	0.869565217391304	0	20.8695652173913	0	0	0	0	0	1.44927536231884	0	4.34782608695652	0	0	0	0	0	0	0	2.31884057971015	0.289855072463768	0	0	3.76811594202899	0	16.5217391304348	0	0	0	0	0	1.44927536231884	0	0	0	0.289855072463768	0	0	0.869565217391304	4.34782608695652	0	2.89855072463768	0	0	0	0	0	0	0.579710144927536	10.1449275362319	24.0579710144928	0	0	0	0	0	0	0	0	1.15942028985507	0	1.73913043478261	0	0.289855072463768	0	0	0.289855072463768	0	0	0	0	0	0	0	1.15942028985507	0	0	0.289855072463768
15748	24188	"Hopschensee"	46.2525	8.02306	3.3	"AWI"	3.3	-75.8	35.1	-18.3	0	0	17.8272980501393	0.835654596100279	0	0	0	0	0.557103064066852	0	3.06406685236769	0	0	0	0	1.67130919220056	0	0	2.22841225626741	0	0	0	1.94986072423398	0	15.5988857938719	0	0	0	0	0	0.278551532033426	0	0	0	0	0.278551532033426	0	0.557103064066852	5.57103064066852	0	2.50696378830084	0	0	0	0	0	0	0	10.5849582172702	29.2479108635098	0	0	0	0	0	0	0	0	3.06406685236769	0	1.39275766016713	0	0.278551532033426	0	0.278551532033426	0	0	0	0	0	0	0.278551532033426	0	1.94986072423398	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	3.8	"AWI"	3.8	-68.8	38.6	-13.8	0	0	17.8191489361702	0.265957446808511	0	0	0	0	0.797872340425532	0	3.72340425531915	0	0	0	0	3.19148936170213	0	0	1.59574468085106	0	0	0.531914893617021	2.3936170212766	0	18.0851063829787	0	0	0	0	0	1.06382978723404	0	0	0	0.265957446808511	0	0	0.265957446808511	4.52127659574468	0	1.86170212765957	0	0	0	0	0	0	0	10.3723404255319	26.3297872340426	0	0	0	0	0	0	0	0	1.06382978723404	0	1.06382978723404	0	0.265957446808511	0	0.265957446808511	0.265957446808511	0	0	0	0.265957446808511	0.265957446808511	0.265957446808511	0	2.65957446808511	0	0.265957446808511	0.265957446808511
15748	24188	"Hopschensee"	46.2525	8.02306	4.3	"AWI"	4.3	-63	42.7	-9.3	0.694444444444444	0	17.1296296296296	1.62037037037037	0	0	0	0	0.231481481481481	0	7.17592592592593	0	0	0	0	0	0	0	1.38888888888889	0	0	0.462962962962963	1.15740740740741	0	12.5	0	0	0	0	0	1.15740740740741	0.694444444444444	0	0	0	0	0	0.462962962962963	4.39814814814815	0	1.62037037037037	0	0	0	0.462962962962963	0	0	0	11.1111111111111	31.0185185185185	0	0	0	0	0	0	0.231481481481481	0	1.62037037037037	0	2.31481481481481	0	0	0	0.462962962962963	0	0	0	0	0.231481481481481	0.694444444444444	0	0	0.694444444444444	0	0	0.462962962962963
15748	24188	"Hopschensee"	46.2525	8.02306	4.8	"AWI"	4.8	-58	47.2	-4.8	0.847457627118644	0.282485875706215	18.6440677966102	0	0	0	0	0	0.847457627118644	0	4.80225988700565	0	0.282485875706215	0	0	0	0	0	3.38983050847458	0	0	0	2.82485875706215	0	15.2542372881356	0	0	0	0	0	1.9774011299435	0.847457627118644	0	1.41242937853107	0.282485875706215	0.282485875706215	0	0.282485875706215	2.82485875706215	0	1.9774011299435	0	0.282485875706215	0	0.847457627118644	0	0	0	8.75706214689266	26.8361581920904	0	0	0	0	0	0	0	0	1.12994350282486	0	2.82485875706215	0	0	0	0.282485875706215	0	0	0	0	0	0	0	0.564971751412429	1.12994350282486	0	0	0.282485875706215
