"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Larix"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16617	26321	"Atemlöchermoos"	46.9375	11.01528	560	"AWI"	560	1918	5065	3688	37	2	82	0	0	0	0	2	0	53	0	0	0	0	0	0	0	3	6	0	0	0	26	1	0	0	0	3	1	0	1	611	549	0	24	0	7	1	0	0	0	0	0	0	0	0	0	1	1	2	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	570	"AWI"	570	2156	5273	3991	19	1	102	0	0	2	1	3	0	49	0	0	0	0	0	0	0	6	18	0	0	0	24	0	0	0	0	2	0	0	1	384	251	0	36	0	4	1	0	0	0	0	2	0	0	0	0	2	1	2	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	580	"AWI"	580	2618	5443	4276	18	0	121	1	0	1	0	1	0	27	1	0	0	0	2	0	0	8	14	0	0	0	29	4	0	0	0	5	0	0	0	559	384	0	19	0	17	0	0	0	1	0	2	0	0	0	0	0	2	7	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	590	"AWI"	590	2988	5673	4560	13	3	101	1	0	0	0	1	0	20	0	0	0	0	0	0	0	13	8	0	0	0	23	1	0	0	0	1	0	0	0	384	289	0	34	0	13	0	0	0	0	2	0	0	0	0	1	1	0	1	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	600	"AWI"	600	3393	5830	4825	22	0	141	0	0	0	0	3	0	51	0	0	0	0	0	0	0	16	27	0	0	0	31	2	0	0	2	13	0	0	1	449	360	0	21	0	17	0	0	0	1	0	2	0	0	0	1	0	3	3	1
16617	26321	"Atemlöchermoos"	46.9375	11.01528	610	"AWI"	610	3731	6011	5118	13	3	178	0	0	2	0	1	0	29	0	0	0	0	0	1	0	18	14	0	0	0	24	8	0	0	0	3	0	0	0	409	289	0	32	0	18	0	0	0	1	2	2	0	0	0	3	1	4	11	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	620	"AWI"	620	4134	6184	5398	9	3	170	0	0	2	0	4	0	25	1	0	0	0	0	0	0	14	6	0	0	0	23	4	0	0	1	2	0	0	1	464	265	0	32	0	14	1	0	0	0	0	1	0	0	0	1	1	1	7	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	630	"AWI"	630	4450	6358	5650	13	2	310	1	0	4	0	4	0	42	0	0	0	0	1	0	0	37	27	0	0	0	37	6	0	1	2	10	0	0	2	606	425	0	55	3	13	1	0	0	0	3	0	0	1	0	1	1	4	11	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	640	"AWI"	640	4910	6528	5915	5	0	141	0	0	3	0	2	0	42	0	0	0	0	0	0	0	18	36	0	0	0	29	5	1	0	6	4	0	0	1	373	228	0	36	0	22	0	0	0	0	1	1	0	0	0	2	2	1	5	0
16617	26321	"Atemlöchermoos"	46.9375	11.01528	650	"AWI"	650	5320	6666	6185	4	1	304	1	0	1	0	4	0	115	0	0	0	0	0	0	0	17	24	0	0	0	31	13	0	0	5	4	0	0	1	350	311	0	54	0	35	1	1	0	0	3	1	1	0	0	2	1	3	4	0
