"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Ranunculaceae"	"Salix"	"Ulmus"
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	356	"AWI"	356	9458	10066	9826	0	1	0	2	0	0	0	0	3	0	0	0	0	0	2	180	0	0	0	1	9
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	360	"AWI"	360	9584	10128	9919	0	0	2	0	0	241	0	0	11	8	0	0	2	0	3	206	3	0	0	0	15
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	365	"AWI"	365	9811	10157	10011	0	1	0	3	2	283	1	1	8	2	0	0	0	0	2	175	6	0	0	2	18
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	370	"AWI"	370	9917	10222	10123	0	0	1	3	0	315	0	0	12	0	0	0	0	0	0	203	14	0	0	1	12
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	372	"AWI"	372	9982	10293	10192	0	0	0	6	0	319	0	0	5	5	0	0	0	0	4	210	13	0	1	9	1
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	375	"AWI"	375	10036	10493	10272	0	0	0	3	0	419	0	0	1	3	0	0	0	0	0	111	11	0	0	6	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	377	"AWI"	377	10060	10645	10329	0	3	2	5	0	166	0	0	1	4	0	0	0	0	1	65	5	0	0	4	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	382	"AWI"	382	10181	10918	10494	0	0	0	5	0	108	0	0	0	4	0	0	0	0	3	43	0	0	0	4	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	387	"AWI"	387	10302	11029	10701	0	0	0	28	0	99	0	0	0	12	0	0	2	0	4	33	3	0	0	3	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	390	"AWI"	390	10346	11171	10812	0	10	0	20	0	76	0	0	0	37	0	0	0	3	11	20	16	0	0	8	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	392	"AWI"	392	10510	11186	10884	0	7	0	22	1	41	0	0	0	30	0	0	0	0	6	9	2	1	1	2	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	395	"AWI"	395	10704	11236	11007	2	12	0	12	1	49	0	1	0	37	0	0	0	0	2	12	6	3	1	0	0
