"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	0	"AWI"	0	-135	33	-52	0	1	0	0	3	0	0	5	0	4	37	0	1	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	147	0	109	0	1	0	26	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0	67	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	4	"AWI"	4	-103	89	-12	0	1	1	0	5	0	0	3	0	0	79	0	1	1	1	0	0	0	0	1	34	0	0	0	0	0	2	0	4	0	2	0	0	1	0	0	0	0	3	4	231	9	69	0	0	0	37	0	0	0	2	0	5	9	73	0	0	0	1	0	0	0	2	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	12	"AWI"	12	-74	277	61	0	0	0	0	0	0	0	1	0	0	26	0	1	0	1	0	0	0	0	2	95	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	403	0	40	0	0	0	49	0	0	0	0	0	1	16	16	0	0	0	0	0	0	2	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	20	"AWI"	20	-55	482	132	0	0	0	0	0	0	0	1	0	0	9	0	0	0	4	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	7	0	2	0	1	0	0	0	0	1	440	0	43	0	0	0	44	0	0	0	0	0	0	21	4	0	0	0	0	0	0	0	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	28	"AWI"	28	-24	660	209	0	0	0	0	0	0	0	0	0	0	37	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	418	0	55	0	0	0	68	0	0	0	0	0	2	13	4	0	0	0	0	0	0	0	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	36	"AWI"	36	39	731	315	0	0	0	0	0	0	0	1	0	0	19	0	0	1	0	0	0	0	0	1	22	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	4	472	0	30	0	0	0	32	0	0	0	0	0	1	9	3	0	0	0	0	0	0	0	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	44	"AWI"	44	78	851	413	0	0	0	0	0	0	0	3	0	0	39	0	3	0	0	0	0	0	0	9	17	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	1	2	433	0	31	0	0	0	15	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	52	"AWI"	52	109	1006	506	0	0	0	0	2	0	0	10	0	0	98	0	1	1	6	0	0	0	0	26	54	0	0	0	0	0	11	0	4	0	0	0	2	0	0	0	0	0	14	2	208	0	140	0	1	0	62	0	0	0	0	0	0	41	16	0	0	0	0	0	0	3	0	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	60	"AWI"	60	228	1069	587	0	0	0	0	7	0	0	67	0	0	114	0	5	9	22	0	0	0	0	34	147	0	0	0	0	0	7	1	2	3	2	0	5	2	0	0	0	0	21	4	144	0	429	0	0	1	46	0	0	0	0	0	2	109	28	0	0	0	1	0	0	4	6	0
14487	22687	"Langes Fenn Kemnitzerheide"	52.31361	12.91361	68	"AWI"	68	315	1135	677	0	0	0	0	7	0	0	31	0	0	85	0	2	3	6	0	0	0	1	16	89	0	0	0	0	0	8	0	3	1	14	0	0	0	0	0	0	0	16	3	235	24	383	0	0	0	38	0	0	1	0	7	2	80	16	0	0	0	0	1	1	3	1	0
