"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3327	4319	"Olbramovice"	48.988224	16.392582	50	"AWI"	50	244	1071	602	3	0	3	37	2	0	0	0	1	5	14	0	0	0	0	0	0	0	88	0	0	0	5	0	9	0	0	0	0	0	0	0	2	1	18	21	3	95	0	0	6	5	0	0	0	0	1	0	0	0	1	2	0
3327	4319	"Olbramovice"	48.988224	16.392582	60	"AWI"	60	345	1230	744	2	0	4	71	0	3	1	0	1	0	16	1	0	0	0	0	0	2	102	0	0	0	5	0	14	0	0	0	0	0	3	0	1	2	2	47	0	118	0	0	2	2	0	0	0	0	6	0	0	0	1	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	70	"AWI"	70	438	1380	874	1	0	5	54	1	8	0	0	2	0	10	0	1	0	0	0	0	0	41	0	1	0	2	0	6	0	0	0	0	0	0	0	1	1	9	36	21	0	0	0	3	4	0	0	0	0	1	0	0	0	0	3	0
3327	4319	"Olbramovice"	48.988224	16.392582	80	"AWI"	80	559	1519	1008	0	0	3	55	1	8	0	0	0	0	12	0	1	0	0	0	0	1	103	0	0	0	8	0	6	0	0	0	0	0	0	0	1	1	12	42	0	105	0	0	1	5	0	0	0	0	4	0	0	2	0	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	90	"AWI"	90	670	1659	1151	2	0	6	19	1	6	0	0	4	0	14	0	2	0	0	0	0	1	126	0	3	0	13	0	14	1	0	0	0	0	0	0	0	3	32	98	0	74	0	0	0	3	0	0	2	0	6	0	0	0	2	0	1
3327	4319	"Olbramovice"	48.988224	16.392582	100	"AWI"	100	779	1796	1289	1	1	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	95	0	2	0	0	0	4	1	0	0	0	0	0	0	2	1	26	42	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0
3327	4319	"Olbramovice"	48.988224	16.392582	110	"AWI"	110	910	1927	1420	5	0	9	11	0	9	0	0	1	0	0	0	0	0	0	0	0	1	60	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	12	56	0	0	0	0	0	8	0	0	3	0	6	0	0	0	1	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	120	"AWI"	120	1031	2052	1554	4	0	10	25	5	13	0	0	3	0	0	0	1	0	0	0	0	0	88	0	2	0	0	0	8	0	0	0	0	0	0	0	0	4	12	40	0	0	1	0	2	16	0	0	4	0	7	0	0	0	3	0	4
3327	4319	"Olbramovice"	48.988224	16.392582	130	"AWI"	130	1159	2182	1690	0	0	15	29	12	29	0	0	3	0	19	0	0	0	0	0	0	2	125	0	3	0	2	0	7	0	0	0	0	0	0	0	1	4	28	20	0	144	0	0	0	16	0	0	1	0	2	0	0	1	3	1	1
3327	4319	"Olbramovice"	48.988224	16.392582	140	"AWI"	140	1302	2313	1822	10	0	7	7	0	10	1	0	5	0	9	0	1	0	0	0	0	3	148	0	9	0	9	0	11	0	1	0	0	1	0	0	2	2	27	50	3	156	0	0	0	27	0	0	4	0	2	0	0	0	1	0	0
3327	4319	"Olbramovice"	48.988224	16.392582	150	"AWI"	150	1433	2420	1964	5	1	6	8	0	6	0	0	4	0	9	0	0	0	0	0	0	0	158	0	0	0	3	0	3	0	0	0	0	2	0	0	0	0	13	44	0	33	0	0	0	14	0	0	1	0	2	0	0	0	0	0	2
3327	4319	"Olbramovice"	48.988224	16.392582	160	"AWI"	160	1585	2542	2102	35	0	0	7	0	4	0	0	2	0	17	0	0	0	0	0	0	0	169	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	22	40	3	0	0	0	3	13	0	0	0	0	1	0	0	0	0	0	0
3327	4319	"Olbramovice"	48.988224	16.392582	170	"AWI"	170	1732	2643	2234	16	1	5	9	2	26	1	0	3	0	20	0	0	0	0	0	0	5	148	0	6	0	1	0	14	0	0	0	0	0	0	0	0	0	36	23	7	83	0	0	25	0	0	0	3	0	7	0	0	0	0	2	1
3327	4319	"Olbramovice"	48.988224	16.392582	180	"AWI"	180	1889	2757	2369	4	0	8	9	3	9	1	0	1	0	5	0	0	0	0	0	1	4	93	0	4	0	0	0	6	0	1	0	0	0	0	0	1	0	24	49	0	0	0	0	0	24	0	0	1	0	1	0	0	0	1	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	190	"AWI"	190	2052	2862	2501	5	0	6	14	1	13	0	0	0	0	0	0	0	0	0	0	0	0	33	0	3	0	1	0	11	0	2	0	0	0	1	0	2	0	4	11	0	0	0	0	0	14	0	0	0	0	1	0	0	3	1	0	0
