"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"
3138	4082	"Håkulls Mosse"	56.28818	12.519322	655	"AWI"	655	10036	10612	10336	0.0344708721130645	0.689417442261289	1.79248534987935	1.96483971044467	0.241296104791451	0.62047569803516	2.82661151327129	0.0344708721130645	1.89589796621855	0.206825232678387	0.551533953809031	2.82661151327129	0.517063081695967	0.31023784901758	1.34436401240951	0	0.275766976904516	0.0344708721130645	44.5363667700793	1.41330575663564	0.103412616339193	0.0344708721130645	0.275766976904516	0.0689417442261289	23.6470182695622	4.13650465356774	4.79145122371596	0.0344708721130645	1.82695622199242	0.206825232678387	1.65460186142709	0.103412616339193	0.103412616339193	0.586004825922096	0.206825232678387	0.103412616339193
3138	4082	"Håkulls Mosse"	56.28818	12.519322	658	"AWI"	658	10125	10641	10386	0.03385240352065	0.575490859851049	1.25253893026405	0.541638456330399	0.0677048070412999	0.541638456330399	1.92958700067705	0	1.65876777251185	0.10155721056195	0.4739336492891	0.2031144211239	3.8591740013541	1.1509817197021	0.846310088016249	0	0.23696682464455	1.04942450914015	44.3466486120515	0.880162491536899	0.03385240352065	0.1354096140826	0.16926201760325	0.0677048070412999	28.1651997291808	1.92958700067705	2.67433987813135	1.25253893026405	1.59106296547055	0.1354096140826	0.914014895057549	0.10155721056195	0.2708192281652	2.67433987813135	0.1354096140826	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	662	"AWI"	662	10204	10703	10461	0.0383288616328095	0.651590647757762	1.99310080490609	0.689919509390571	0.076657723265619	0.613261786124952	2.72134917592948	0.0383288616328095	2.10808738980452	0.76657723265619	0.498275201226524	0.114986584898429	3.90954388654657	0.076657723265619	1.03487926408586	0	0.268302031429667	0.268302031429667	44.3081640475278	2.22307397470295	0.306630893062476	0.574932924492143	0.306630893062476	0.076657723265619	21.7707934074358	2.60636259103105	4.40781908777309	0.613261786124952	2.0314296665389	0.153315446531238	1.41816788041395	0.114986584898429	0.306630893062476	0.421617477960905	2.14641625143733	0.344959754695286
3138	4082	"Håkulls Mosse"	56.28818	12.519322	666	"AWI"	666	10261	10785	10523	0.0636132315521628	0.636132315521628	1.74936386768448	0.922391857506361	0.159033078880407	0.572519083969466	2.98982188295165	0	2.09923664122137	0.159033078880407	0.508905852417303	1.84478371501272	0.604325699745547	0.318066157760814	1.59033078880407	0	0.254452926208651	0	57.029262086514	2.5763358778626	0.190839694656489	0.0318066157760814	0.0954198473282443	0.0636132315521628	17.1119592875318	3.30788804071247	0	0.0318066157760814	1.94020356234097	0.190839694656489	1.8765903307888	0.0954198473282443	0.0954198473282443	0.795165394402036	0	0.0954198473282443
3138	4082	"Håkulls Mosse"	56.28818	12.519322	670	"AWI"	670	10307	10830	10582	0.0442673749446658	0.796812749003984	2.08056662239929	0.752545374059318	0.177069499778663	0.752545374059318	3.14298362107127	0.0442673749446658	2.25763612217796	0.0885347498893316	0.664010624169987	3.27578574590527	0.575475874280655	0.265604249667995	1.59362549800797	0	0.354138999557326	0.0885347498893316	41.4342629482072	1.50509074811864	0.0442673749446658	0.0885347498893316	0.30987162461266	0.0885347498893316	25.0553342186808	2.96591412129261	3.4971226206286	1.90349712262063	2.12483399734396	0.265604249667995	1.63789287295263	0.132802124833997	0.132802124833997	0.30987162461266	1.41655599822931	0.132802124833997
3138	4082	"Håkulls Mosse"	56.28818	12.519322	674	"AWI"	674	10351	10895	10636	1.1010617381046	0.707825403067243	2.08415257569799	0.668501769563508	0.0786472670074715	0.668501769563508	5.15139598898938	0	2.39874164372788	2.87062524577271	0.511207235548565	0.0393236335037357	0.393236335037357	0.432559968541093	1.45497443963822	0	0.235941801022414	1.17970900511207	43.6885568226504	0.27526543452615	0.0393236335037357	0.0393236335037357	0.353912701533622	0.0786472670074715	21.0381439244986	3.61777428234369	3.38183248132127	1.69091624066064	2.12347620920173	0.157294534014943	1.92685804168305	0.117970900511207	0.117970900511207	0.983090837593394	0.0786472670074715	0.314589068029886
3138	4082	"Håkulls Mosse"	56.28818	12.519322	678	"AWI"	678	10406	10944	10691	0.665622552858262	0.783085356303837	1.87940485512921	2.58418167580266	0.234925606891151	0.743931088488645	4.46358653093187	0.0391542678151919	2.11433046202036	0.195771339075959	0.665622552858262	2.97572435395458	0.43069694596711	0.274079874706343	1.13547376664056	0	0.313234142521535	1.9185591229444	45.301487862177	0.195771339075959	0.195771339075959	0.704776820673453	0.195771339075959	0.0783085356303837	20.9866875489428	2.4275646045419	3.48472983555208	0.0391542678151919	2.03602192638998	0.234925606891151	1.01801096319499	0.117462803445576	0.0783085356303837	1.33124510571652	0.0391542678151919	0.117462803445576
3138	4082	"Håkulls Mosse"	56.28818	12.519322	682	"AWI"	682	10449	10995	10750	1.33432171979244	0.852483320978503	1.9644180874722	1.74203113417346	0.0741289844329133	0.667160859896219	7.0051890289103	0	2.26093402520385	0.11119347664937	0.593031875463306	0.0741289844329133	3.00222386953299	0.296515937731653	1.44551519644181	0	0.259451445515196	0.0741289844329133	44.6627131208302	0.593031875463306	0.11119347664937	0.0741289844329133	0.33358042994811	0.0741289844329133	16.7160859896219	3.85470719051149	3.55819125277984	0.22238695329874	2.00148257968866	0.185322461082283	1.85322461082283	0.11119347664937	0.185322461082283	1.1119347664937	2.59451445515196	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	686	"AWI"	686	10500	11050	10803	2.39912758996728	1.30861504907306	2.94438386041439	2.56270447110142	0.163576881134133	1.25408942202835	3.81679389312977	0	3.48964013086151	0.381679389312977	0.926935659760087	1.52671755725191	0.926935659760087	0.109051254089422	2.88985823336968	0	0.436205016357688	0	41.4394765539804	0	0.054525627044711	1.19956379498364	0.109051254089422	0.109051254089422	19.3020719738277	4.03489640130862	0	0.054525627044711	2.99890948745911	0.327153762268266	3.9803707742639	0.163576881134133	0.218102508178844	0.708833151581243	0	0.163576881134133
3138	4082	"Håkulls Mosse"	56.28818	12.519322	690	"AWI"	690	10574	11080	10863	0.0518134715025907	1.24352331606218	2.69430051813472	2.7979274611399	0.103626943005181	1.03626943005181	4.76683937823834	0	2.84974093264249	0.259067357512953	0.880829015544041	2.2279792746114	0.932642487046632	0.207253886010363	1.96891191709845	0	0.414507772020725	3.21243523316062	43.3160621761658	0.310880829015544	0.0518134715025907	0.880829015544041	0.414507772020725	0.103626943005181	9.4300518134715	3.47150259067358	5.38860103626943	0.155440414507772	2.74611398963731	0.310880829015544	2.43523316062176	0.155440414507772	0.259067357512953	0.673575129533679	4.09326424870466	0.155440414507772
