"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14663	23006	"Khomin Mokh"	51.206374	28.044644	10	"AWI"	10	-51	209	67	0	10	4	0	4	16	0	4	0	0	4	0	4	6	0	0	0	0	0	0	2	4	156	2	6	2	4	2	2	0	2	2	2	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	20	"AWI"	20	34	316	168	0	8	2	2	0	18	0	0	0	2	4	2	4	2	0	2	0	0	2	0	6	0	158	0	4	4	4	0	4	0	0	4	2	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	30	"AWI"	30	129	410	269	0	6	4	0	0	16	2	0	0	0	6	2	0	0	0	0	0	2	0	2	0	0	170	0	4	0	2	0	0	0	4	4	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	40	"AWI"	40	242	496	372	0	10	0	0	0	20	0	2	2	0	4	0	0	4	0	0	4	0	0	2	0	4	154	2	2	2	6	0	0	0	2	0	2	2
14663	23006	"Khomin Mokh"	51.206374	28.044644	50	"AWI"	50	390	801	527	2	10	0	0	2	18	0	2	0	0	8	0	0	10	2	0	4	0	0	0	6	0	148	0	4	0	10	0	4	0	2	2	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	60	"AWI"	60	561	1246	836	0	16	0	0	2	14	0	0	0	0	4	2	2	4	0	2	0	0	0	0	0	0	164	0	2	4	6	0	0	2	2	0	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	70	"AWI"	70	796	1608	1176	2	6	0	2	4	8	0	0	0	0	2	0	4	2	0	0	0	0	0	0	2	0	176	0	2	2	4	0	0	2	0	0	2	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	80	"AWI"	80	1094	1874	1518	0	18	0	0	0	16	0	0	0	2	4	0	4	8	0	0	0	0	2	0	0	0	160	0	0	0	4	0	2	0	2	2	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	90	"AWI"	90	1487	2113	1855	0	24	4	0	4	18	0	2	0	0	8	2	4	2	2	2	0	2	0	0	0	0	160	0	0	2	6	0	0	0	0	4	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	100	"AWI"	100	1985	2751	2220	0	20	0	0	0	30	0	0	0	0	6	2	2	4	0	0	0	0	0	0	0	4	142	0	4	0	4	0	6	0	0	0	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	120	"AWI"	120	2674	4031	3325	0	18	2	2	0	16	0	0	0	2	8	0	4	4	0	2	2	2	0	0	0	2	156	2	2	0	0	0	0	0	0	4	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	130	"AWI"	130	3194	4463	3924	0	16	0	0	0	18	2	2	0	0	6	2	6	0	0	0	0	0	0	0	0	0	162	0	2	4	2	0	0	0	0	2	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	140	"AWI"	140	3875	4773	4465	0	18	2	0	0	14	2	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	166	0	0	0	0	2	4	0	0	0	2	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	150	"AWI"	150	4691	5807	5019	0	14	0	0	0	16	2	0	0	0	6	0	0	0	0	0	0	0	4	0	0	2	162	0	6	2	4	0	0	0	0	2	0	2
14663	23006	"Khomin Mokh"	51.206374	28.044644	160	"AWI"	160	5127	6849	5854	0	18	0	0	4	26	0	4	4	0	0	0	2	2	2	0	0	2	0	0	0	0	144	0	2	4	6	0	0	0	0	4	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	170	"AWI"	170	5750	7665	6689	0	42	0	2	0	40	0	0	0	0	4	0	6	0	0	4	0	0	0	0	0	0	114	0	6	0	2	0	0	2	4	0	2	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	180	"AWI"	180	6495	8343	7522	0	14	4	0	0	12	2	0	0	0	4	0	2	2	0	0	0	0	2	0	0	4	168	0	4	4	0	0	0	0	0	0	2	2
14663	23006	"Khomin Mokh"	51.206374	28.044644	190	"AWI"	190	7520	8800	8363	2	18	2	2	0	16	0	0	0	0	0	2	4	4	2	0	0	0	0	0	0	4	156	0	4	2	2	2	0	0	0	2	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	200	"AWI"	200	8646	9584	8979	0	10	2	0	4	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	6	4	2	0	2	0	2	0	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	210	"AWI"	210	8955	10538	9546	0	8	0	2	0	18	4	0	0	0	2	2	2	2	0	0	0	0	0	0	0	2	170	2	2	0	2	0	0	0	0	0	0	0
14663	23006	"Khomin Mokh"	51.206374	28.044644	220	"AWI"	220	9314	11350	10102	0	16	4	4	0	24	0	0	0	0	4	2	2	4	0	0	0	0	2	0	0	2	156	0	0	6	2	0	0	0	2	0	0	0
