"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
15774	24243	"Brve"	50.06635	14.23871	5	"AWI"	5	-68	208	47	3	0	8	16	0	0	14	0	21	59	0	8	0	0	0	0	0	3	142	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	34	369	0	134	0	0	0	16	0	0	4	0	10	1	0	0	2	1	6	0	0
15774	24243	"Brve"	50.06635	14.23871	10	"AWI"	10	-45	433	130	8	0	5	37	0	0	30	0	25	107	0	10	2	0	0	0	0	2	323	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	41	468	23	311	0	0	0	16	0	0	4	0	3	0	0	3	0	0	39	0	0
15774	24243	"Brve"	50.06635	14.23871	15	"AWI"	15	25	498	235	6	0	7	19	0	0	21	0	14	62	0	4	0	0	0	0	0	5	215	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	22	309	0	268	10	0	0	11	0	0	5	0	2	0	0	2	1	0	16	0	1
15774	24243	"Brve"	50.06635	14.23871	20	"AWI"	20	68	625	334	5	0	8	11	0	0	21	0	10	46	0	0	0	0	0	0	0	9	192	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	303	0	354	0	0	0	12	0	0	8	0	0	0	0	0	1	0	0	0	2
15774	24243	"Brve"	50.06635	14.23871	25	"AWI"	25	181	667	440	9	0	4	12	0	0	28	0	14	36	0	3	0	0	0	0	0	4	115	1	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	17	310	6	234	0	0	0	10	0	0	5	0	0	0	0	1	2	1	0	0	1
15774	24243	"Brve"	50.06635	14.23871	30	"AWI"	30	251	758	550	17	0	1	18	0	0	39	0	26	46	0	0	0	0	0	0	0	1	101	0	1	0	4	1	0	1	0	1	0	1	0	0	0	0	2	28	493	0	246	0	0	0	14	0	0	3	0	4	0	0	2	2	5	0	0	0
15774	24243	"Brve"	50.06635	14.23871	35	"AWI"	35	468	805	635	22	0	2	16	0	0	27	0	27	51	0	7	1	0	0	0	0	1	174	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	28	394	0	176	0	0	0	22	0	0	12	48	6	0	0	2	2	4	0	0	1
15774	24243	"Brve"	50.06635	14.23871	40	"AWI"	40	581	886	721	23	0	8	10	0	0	9	0	22	45	0	11	0	0	0	0	0	9	212	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	21	217	0	0	0	0	0	26	0	0	19	71	5	0	0	1	1	2	0	0	0
15774	24243	"Brve"	50.06635	14.23871	45	"AWI"	45	652	979	792	38	0	7	12	0	0	12	0	39	57	0	12	0	0	0	0	0	11	231	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	27	314	0	0	0	0	0	33	0	0	7	81	8	0	0	1	3	5	0	0	0
15774	24243	"Brve"	50.06635	14.23871	50	"AWI"	50	685	1143	854	33	1	5	7	0	0	8	0	36	39	0	6	0	0	0	0	0	6	128	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	2	18	245	0	93	0	0	0	21	0	0	0	0	6	0	0	0	2	5	0	0	0
15774	24243	"Brve"	50.06635	14.23871	55	"AWI"	55	736	1225	929	41	0	10	6	0	0	6	0	72	36	0	5	0	0	0	0	0	6	116	0	0	0	6	1	0	0	0	0	5	0	0	0	0	0	1	30	367	0	115	0	2	0	56	0	0	7	0	7	0	0	0	3	6	0	0	0
15774	24243	"Brve"	50.06635	14.23871	60	"AWI"	60	768	1337	999	37	0	13	2	0	0	1	0	87	22	0	0	0	0	0	0	0	3	71	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	34	386	0	0	0	3	0	74	0	0	11	0	6	0	0	0	3	4	0	0	0
15774	24243	"Brve"	50.06635	14.23871	65	"AWI"	65	825	1401	1072	54	0	21	3	0	0	2	0	90	16	0	0	0	0	0	0	0	17	47	0	0	0	10	4	0	0	0	0	0	1	0	0	0	0	2	23	363	0	97	0	2	0	68	0	0	13	31	5	0	0	0	4	2	0	0	0
15774	24243	"Brve"	50.06635	14.23871	70	"AWI"	70	862	1495	1145	74	0	51	3	0	0	2	0	98	9	0	0	0	0	0	0	0	32	24	0	0	0	15	7	0	0	0	0	5	0	0	0	0	0	6	13	361	0	94	0	0	0	65	0	0	14	42	3	0	0	0	5	0	2	0	0
15774	24243	"Brve"	50.06635	14.23871	75	"AWI"	75	929	1548	1221	46	0	17	3	0	0	4	0	86	20	0	0	0	0	0	0	0	37	41	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	6	20	343	0	135	0	1	1	77	0	0	15	49	6	0	0	0	4	1	0	0	0
15774	24243	"Brve"	50.06635	14.23871	80	"AWI"	80	971	1637	1294	21	1	18	1	0	0	5	0	38	22	1	0	0	0	0	0	0	25	67	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	2	18	179	0	118	0	6	2	57	0	0	10	33	7	0	0	0	1	2	0	0	0
15774	24243	"Brve"	50.06635	14.23871	85	"AWI"	85	1039	1686	1366	55	1	21	10	0	0	11	0	38	20	0	5	0	0	0	0	0	28	231	0	0	0	18	3	0	0	0	0	0	0	0	0	0	5	3	30	255	0	145	0	4	1	90	0	0	8	28	9	0	0	1	1	2	0	0	0
15774	24243	"Brve"	50.06635	14.23871	90	"AWI"	90	1091	1761	1435	81	0	19	16	0	0	14	0	31	8	0	9	0	0	0	0	0	27	361	0	0	0	17	4	0	0	0	0	0	0	0	0	0	7	4	37	292	0	151	0	2	0	108	0	0	4	0	8	0	0	1	1	1	0	0	0
15774	24243	"Brve"	50.06635	14.23871	95	"AWI"	95	1172	1811	1507	79	1	14	13	0	1	15	0	37	13	0	6	0	0	0	0	0	25	200	2	0	0	14	3	0	0	0	0	0	0	0	0	0	4	4	31	231	0	116	0	2	0	75	0	0	8	0	15	0	0	1	1	1	0	0	0
