"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14556	22820	"Löddigsee"	53.43333	11.85	78	"AWI"	78	335	683	494	0	1	141	1	0	0	0	4	0	94	0	5	0	1	0	0	0	0	0	39	0	245	0	0	0	0	0	0	31	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	18	0	0	2	66	0	0	0	0	0	0	130	0	0	0	5	0	9	0	0	0	1	0	0	0	0	2	1	0	1
14556	22820	"Löddigsee"	53.43333	11.85	79	"AWI"	79	374	704	526	0	0	144	0	0	0	0	4	0	88	0	2	0	4	0	0	0	0	0	24	0	352	0	0	0	0	0	0	36	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	85	0	0	0	0	0	0	142	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	80	"AWI"	80	412	726	559	0	0	126	2	0	0	0	5	0	75	0	1	0	1	0	0	0	0	0	27	0	324	0	0	0	0	0	0	43	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	108	0	0	0	0	0	0	146	0	0	0	3	0	4	1	0	0	0	0	0	0	0	2	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	82	"AWI"	82	489	770	624	0	0	146	2	0	0	0	6	0	83	0	6	0	2	0	0	0	0	0	25	0	185	0	0	0	0	0	0	42	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0	1	90	0	0	0	0	0	0	121	0	0	0	7	0	6	0	0	0	0	0	1	0	0	7	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	84	"AWI"	84	562	815	690	0	1	129	0	0	0	0	5	0	99	0	3	0	1	0	0	0	0	0	16	0	211	0	0	0	0	0	0	33	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	71	0	0	0	0	0	0	120	0	0	0	3	0	9	1	0	0	1	0	1	0	0	5	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	86	"AWI"	86	632	864	755	0	0	145	3	0	0	0	3	0	109	0	4	0	3	0	0	0	0	0	37	0	311	0	0	0	0	0	0	43	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	56	0	0	0	0	0	0	96	0	0	0	4	0	15	0	0	0	0	0	0	0	0	2	2	0	0
14556	22820	"Löddigsee"	53.43333	11.85	88	"AWI"	88	706	915	818	0	1	136	1	0	0	0	6	0	103	0	2	0	1	0	0	0	0	0	12	0	241	0	0	0	0	0	0	44	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	81	0	0	0	0	0	0	112	0	0	0	3	0	7	0	0	0	0	0	0	0	0	4	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	89	"AWI"	89	743	946	849	0	0	163	1	0	0	0	1	0	93	0	1	0	4	0	0	0	0	0	23	0	238	0	0	0	0	0	0	41	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	3	63	0	0	0	0	0	0	111	0	0	0	4	0	3	1	0	0	0	0	1	0	0	4	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	90	"AWI"	90	779	974	881	0	3	148	2	0	0	0	5	0	117	0	3	0	3	0	0	0	0	0	18	0	277	0	0	0	0	0	0	42	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	70	0	0	0	0	0	0	95	0	0	0	2	0	9	0	0	0	0	1	0	0	0	3	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	92	"AWI"	92	847	1032	944	0	0	154	0	0	0	0	5	0	116	0	2	0	0	0	0	0	0	0	24	0	173	0	0	0	0	0	0	52	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	2	58	0	0	0	0	0	0	83	0	0	0	3	0	11	0	0	0	0	0	0	0	0	1	1	0	0
